No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,UNIQLO Lee Theatre,+852 2577 5811,https://www.uniqlo.com.hk/zh_HK/,Email Not Found,4.2,2029 reviews,"Hong Kong, Causeway Bay, Percival St, 99號, 庫一及二層, Lee Theatre, 地鋪、地",80,🔥 High Priority,New,No,2026-08-13 01:10:47,"Subject: Elevate Your Brand's Visibility on Hong Kong's Streets

Dear UNIQLO Lee Theatre Team,

I came across your exceptional 4.2-star rating on your website, and I'm impressed with the excellent service you provide to your customers at the Lee Theatre location. As a representative of lightfantastic.tv, I'd like to introduce you to a unique opportunity to amplify your brand's presence in the heart of Hong Kong.

Lightfantastic.tv is a premier out-of-home advertising platform that allows you to showcase your brand on four high-impact windows in the city. By reserving our peak season slots, you can save against booking individual windows and make a lasting impression on your target audience. Our innovative approach has helped various businesses like yours to effectively reach and engage with their customers.

As we approach the Singles' Day campaign (5-11 Nov 2026), we're offering a special promotion: HK$120,000 per window. This is an unbeatable opportunity for UNIQLO Lee Theatre to increase brand visibility and drive sales during this peak shopping period.

If you're interested in taking advantage of this limited-time offer, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team will be delighted to discuss the details and help you create a customized campaign that meets your business objectives.

Looking forward to hearing from you.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your",
2,UNIQLO Langham Place,No Phone Number,https://www.uniqlo.com.hk/zh_HK/,langhamplace@uniqlo.com.hk,4.1,189 reviews,"12-15號舖, 九龍旺角亞皆老街8號朗豪坊L5, Mong Kok, Hong Kong",85,🔥 High Priority,New,No,2026-08-13 01:10:47,"Subject: Elevate Your Brand in the Heart of Hong Kong with lightfantastic.tv

Dear UNIQLO Langham Place Team,

As a frequent shopper at UNIQLO Langham Place, I know how important it is to stay top-of-mind for your customers. At lightfantastic.tv, we understand the power of out-of-home advertising in reaching and engaging with your target audience in Hong Kong.

Our digital screens are strategically placed in prime locations, allowing you to showcase your brand's personality and messaging to millions of potential customers. By partnering with us, you can increase brand awareness, drive foot traffic to your stores, and ultimately boost sales.

During this Singles' Day (5-11 Nov 2026), we're offering an exclusive deal for businesses like yours. Reserve all four windows for just HK$120,000 each, and experience the benefits of peak-season advertising without the hefty price tag.

If you're interested in exploring how lightfantastic.tv can elevate your brand in Hong Kong, I'd love to schedule a call to discuss further. Simply reply to this email at hello@lightfantastic.tv or give me a shout.

Looking forward to connecting.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
3,Fashion Corner Plus,No Phone Number,http://fashioncornerplus.com/,makayla@fashioncornerplus.com,4.9,27 reviews,"Yick Tai Industrial Building, 650-652 Castle Peak Rd, Cheung Sha Wan, Hong Kong",84,🔥 High Priority,New,No,2026-08-13 01:10:47,"Subject: Unlock Peak Season Success with lightfantastic.tv

Hi Fashion Corner Plus Team,

I came across your exceptional online presence and impressive 4.9-star rating on http://fashioncornerplus.com/. As a representative of lightfantastic.tv, I believe our unique out-of-home advertising solution can elevate your brand's visibility in the vibrant streets of Hong Kong.

Our digital screens provide captivating visuals and engaging content to an extensive audience, increasing brand awareness and driving customer engagement. By partnering with us, Fashion Corner Plus can reach a wider demographic, stay top-of-mind, and ultimately boost sales.

To celebrate Singles' Day, we're offering an exclusive deal: take any of our four available windows for HK$120,000 (a significant discount from our regular rate) between November 5th and 11th, 2026. Don't miss this opportunity to make a lasting impression on the streets of Hong Kong.

If you're interested in discussing how lightfantastic.tv can support your marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. We look forward to helping you shine brighter in the Hong Kong market.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
""Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.""",
4,INK-Clothing Hong Kong,+852 2808 2381,https://www.ink-clothing.com/,darkhouse@ink-clothing.com,4.5,19 reviews,"Hong Kong, Causeway Bay, 2 , Hyde Park Mansion , 53 Paterson Street , Causeway Bay, Flat A & B , Floor",92,🔥 High Priority,New,No,2026-08-13 01:10:47,"Subject: Elevate Your Brand's Visibility in Hong Kong

Dear INK-Clothing Hong Kong Team,

I came across your website (https://www.ink-clothing.com/) and noticed your impressive 4.5-star rating - truly a testament to your dedication to quality and style. As a business looking to reach a wider audience in Hong Kong, I'd like to introduce you to lightfantastic.tv, a cutting-edge out-of-home advertising platform that can help take your brand to the next level.

Our innovative approach allows you to reserve all four windows in prime locations across Hong Kong for a fixed price of HK$400,000. This not only secures your spots during the peak season but also offers significant savings compared to booking individual windows.

To make it even more compelling, we're excited to announce our Singles' Day special offer from November 5th to 11th, 2026. For just HK$120,000 per window, you can amplify your brand's visibility to thousands of potential customers in the heart of Hong Kong.

If you're interested in learning more about this limited-time opportunity or would like to reserve a spot, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
5,Suitsupply Hong Kong,+852 5808 9488,https://suitsupply.com/stores/hong-kong?utm_medium=organic&utm_source=google&utm_campaign=gmb_hongkong_zh,service@suitsupply.com,4.8,646 reviews,"10 Ice House St, Central, Hong Kong",100,🔥 High Priority,New,No,2026-08-13 01:10:47,"Subject: Elevate Your Brand Visibility in Hong Kong with Lightfantastic.tv

Dear Suitsupply Hong Kong Team,

I came across your excellent 4.8-star store on Google Maps and was impressed by your presence in Hong Kong's fashion scene. As a representative of lightfantastic.tv, I'd like to introduce you to an innovative out-of-home advertising solution that can help take your brand to the next level.

Our LED windows are strategically located in prime areas of Hong Kong, providing a unique opportunity for brands like yours to showcase their message to a massive audience. By partnering with us, you'll not only increase brand visibility but also tap into a targeted demographic that aligns with your values.

This Singles' Day (November 5-11, 2026), we're offering a special promotion that's hard to miss: book any of our windows at an unbeatable rate of HK$120,000 per window. Imagine the impact you can make with a dedicated visual showcase in the heart of Hong Kong!

If you're interested in exploring this opportunity further, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be delighted to schedule a call to discuss how lightfantastic.tv can support your business goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
6,"SPY HENRY LAU (Central Shop) - Fashion designer, Men's and Ladie's wear, Accessories",+852 2530 3128,http://www.spyhenrylau.com/,Email Not Found,4.9,23 reviews,"G/F, 125 Wellington St, Central, Hong Kong",79,🔥 High Priority,New,No,2026-08-13 01:10:47,"Subject: Elevate Your Brand in the Heart of Hong Kong

Dear SPY HENRY LAU (Central Shop),

I came across your exceptional fashion brand and couldn't help but notice the impeccable style and quality of your designs. As a leading fashion designer, you understand the importance of making a lasting impression, especially in a vibrant city like Hong Kong.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong, where it matters most. Our platform allows you to reserve premium advertising spaces, effectively reaching a captive audience of locals and tourists alike. By partnering with us, you'll be able to amplify your brand's visibility and drive foot traffic to your Central Shop.

To help you make the most of the upcoming peak season, we're offering a special promotion for Singles' Day (5-11 Nov 2026): HK$120,000 per window, a significant savings compared to booking individual windows. This is an incredible opportunity to reserve multiple windows and dominate the streets of Hong Kong with your brand.

If you're interested in learning more about how lightfantastic.tv can help take your brand to the next level, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss how our out-of-home advertising solutions can work for your business.

Best regards,

Emily Wong
Business Development Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on",
7,AAPE STORE HK Langham Place,+852 3514 9377,https://aape.com/,aapecs@bape.com,4.8,339 reviews,"Shop 01 & 21, Level 5, Langham Place, 8 Argyle St, Mong Kok, Hong Kong",100,🔥 High Priority,New,No,2026-08-13 01:10:47,"Subject: Elevate Your Brand's Visibility in HK with Lightfantastic.tv

Dear AAPE STORE HK Langham Place Team,

I hope this email finds you well. As a sales representative at lightfantastic.tv, I'm excited to introduce our innovative out-of-home advertising solution that's been helping businesses like yours reach and engage with their target audience in Hong Kong.

At lightfantastic.tv, we believe that effective advertising should be both eye-catching and impactful. Our network of high-quality digital displays is strategically placed across the city, providing unparalleled visibility for your brand. By partnering with us, you can expect to increase brand awareness, drive foot traffic, and ultimately boost sales.

Given your excellent reputation (4.8 rating on your website https://aape.com/), we're confident that our solution can help take your marketing efforts to the next level. And, with our current Singles' Day offer, you can secure a prime spot on our high-impact displays for just HK$120,000 per window from 5 to 11 Nov 2026 - a saving of up to HK$280,000 compared to booking each window individually.

Don't miss this opportunity to reserve a spot and make a lasting impression on your customers. To learn more about our solution and how to book, please get in touch with us at hello@lightfantastic.tv.

Looking forward to helping you shine in the streets of Hong Kong.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv",
8,Trade Point,+852 5993 7042,https://tradepointhk.com/,67ac20c9-54f6-4cb2-adf6-9eac3d8f664c_1024x1024@2x.jpg,5,209 reviews,"Hong Kong, Mong Kok, Nathan Rd, 582-592號, 8/F Sino Centre 信和中心804室, Room 804",100,🔥 High Priority,New,No,2026-08-13 01:10:47,"Subject: Unlock Peak Season Success with lightfantastic.tv

Dear Trade Point Team,

I came across your impressive website (https://tradepointhk.com/) and was impressed by your 5-star rating. As a specialist in out-of-home advertising, I'd like to introduce you to lightfantastic.tv, the perfect solution to elevate your brand's visibility in Hong Kong.

Lightfantastic.tv offers a unique opportunity to reserve all four windows of our screens for a fixed price of HK$400,000, ensuring your brand dominates the streets of Hong Kong during peak season. However, we're running a special promotion, just in time for Singles' Day from 5 to 11 November 2026. For a limited time, you can secure a window for HK$120,000.

Our solution is designed to help businesses like yours increase brand awareness, drive foot traffic, and engage with your target audience. By partnering with lightfantastic.tv, you'll be able to:

- Reach a vast audience in high-traffic areas
- Create a lasting impression with eye-catching visuals
- Enjoy cost-effective advertising compared to traditional methods

If you're interested in learning more about how lightfantastic.tv can support your business goals, please don't hesitate to reach out to our team at hello@lightfantastic.tv.

Looking forward to discussing how we can help Trade Point shine in Hong Kong.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising",
9,BIGMASTER HK,+852 5703 9475,https://www.instagram.com/bigmaster.hk/,Email Not Found,5,37 reviews,"Hong Kong, Mong Kok, Fa Yuen St, 1樓-A7, 百祥大廈, 41B",79,🔥 High Priority,New,No,2026-08-13 01:10:47,"Subject Line: Elevate Your Brand in Hong Kong's Busy Streets

Dear BIGMASTER HK Team,

I came across your impressive Instagram presence (https://www.instagram.com/bigmaster.hk/) and noticed your 5-star rating. As a business owner in Hong Kong, you understand the importance of standing out in a crowded market. That's where lightfantastic.tv comes in - we're the go-to platform for out-of-home advertising in the city.

Our LED screens are strategically located across Hong Kong, allowing you to reach a massive audience and drive brand awareness. By partnering with us, you can increase your brand's visibility, engage with potential customers, and ultimately drive sales. Our solution is ideal for businesses like yours, which value creative and effective marketing strategies.

To celebrate Singles' Day, we're offering an exclusive deal for new customers. From November 5th to 11th, you can reserve our LED screens for HK$120,000 per window. This is a unique opportunity to reserve the full peak season and save compared to booking each window individually at the usual price of HK$400,000.

If you're interested in learning more about this limited-time offer or would like to discuss how lightfantastic.tv can help BIGMASTER HK achieve your marketing goals, please don't hesitate to reach out. Simply reply to this email or contact us at hello@lightfantastic.tv.

Looking forward to collaborating with you.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv",
10,LoveIt,+852 9137 3837,https://www.loveit.com.hk/,info@loveit.com.hk,4.7,35 reviews,"Unit K, 25/F, Tower 2, Kingley Industrial Building, 35 Yip Kan St, Wong Chuk Hang, Hong Kong",94,🔥 High Priority,New,No,2026-08-13 01:10:47,"Subject: Elevate Your Brand in the Heart of Hong Kong

Dear LoveIt Team,

I came across your wonderful website (https://www.loveit.com.hk/) and was impressed by your 4.7-star rating - a testament to your excellent service. As a representative from lightfantastic.tv, I'd like to introduce you to an innovative way to take your brand to the streets of Hong Kong.

At lightfantastic.tv, we offer out-of-home advertising solutions that help businesses like yours reach a wider audience and create memorable experiences. Our digital billboards are strategically located in high-traffic areas, ensuring maximum visibility and engagement for your brand.

By partnering with us, LoveIt can benefit from increased brand awareness, improved customer retention, and ultimately drive sales. Our flexible solutions allow you to tailor your advertising strategy to suit your business needs.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th, 2026: HK$120,000 per window. This is an excellent opportunity to secure a prime spot in the heart of Hong Kong and make a lasting impression on your target audience.

If you're interested in learning more about how lightfantastic.tv can help LoveIt shine, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss your goals and create a customized plan to drive your brand's success.

Best regards,

Emily Wong
Sales Representative, lightfantastic",
