No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Hong Kong Film Archive,+852 2739 2139,https://www.filmarchive.gov.hk/,hkfa@hkfilm.org,3.9,747 reviews,"50 Lei King Rd, Sai Wan Ho, Hong Kong",90,🔥 High Priority,New,No,2026-08-13 01:41:34,"Subject: Amplify Your Brand's Presence on Hong Kong's Streets

Dear Hong Kong Film Archive Team,

I came across your website and was impressed by the rich collection of films and resources at the Hong Kong Film Archive. As a leading organization in the cultural sector, I believe you understand the importance of effectively reaching and engaging your audience.

At lightfantastic.tv, we're dedicated to providing innovative out-of-home advertising solutions that help businesses like yours connect with the people of Hong Kong. Our unique approach involves transforming four iconic billboards into a single, seamless canvas, creating a powerful visual impact that can't be missed.

By partnering with us, you can reserve the full peak season at an exclusive rate, saving against booking each window individually. This opportunity allows you to reach a broader audience and amplify your brand's presence on the streets of Hong Kong.

As part of our Singles' Day promotion, we're offering a special deal from November 5th to 11th, 2026. For just HK$120,000 per window, you can take advantage of this limited-time offer and elevate your brand's visibility.

If you're interested in learning more about this unique opportunity, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be happy to discuss how our out-of-home advertising solutions can help you achieve your marketing goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand",
2,MOViE MOViE Pacific Place,+852 2388 0002,http://cinema.com.hk/,advise@cinema.com.hk,4.4,862 reviews,"Hong Kong, Admiralty, One Pacific Place 88 Queensway",95,🔥 High Priority,New,No,2026-08-13 01:41:34,"Subject: Elevate Your Brand in the Heart of Hong Kong

Dear MOViE MOViE Pacific Place Team,

I came across your cinema and was impressed by your 4.4-star rating. As a fan of cinema, I understand the importance of creating engaging experiences for your audience. That's where lightfantastic.tv comes in – a unique platform that brings your brand to life in the streets of Hong Kong.

Our digital screens, strategically located across the city, provide an unbeatable opportunity to captivate your target audience. By partnering with us, you can:

- Reach a captive audience of over a million people
- Create memorable brand experiences that drive engagement and loyalty
- Stand out from the competition with our premium out-of-home advertising solutions

To make your brand shine, we'd like to offer you an exclusive deal for Singles' Day (5-11 Nov 2026). Book any of our windows at a special rate of HK$120,000 per window. Don't miss this chance to reserve your spot and save against individual bookings.

If you're interested in learning more about how lightfantastic.tv can elevate your brand, please reply to hello@lightfantastic.tv. Our team would be delighted to discuss your requirements and create a tailored solution for you.

Best regards,

Emily Wong
Lightfantastic.tv

Tagline: Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong.",
3,Golden Scene Cinema 高先電影院,+852 2151 1226,http://www.goldenscene.com/,Email Not Found,4.4,660 reviews,"2 Catchick St, Kennedy Town, Hong Kong",80,🔥 High Priority,New,No,2026-08-13 01:41:34,"Subject: Elevate Your Brand, Elevate the City

Dear Golden Scene Cinema Team,

I hope this email finds you well. My name is Emily Wong, and I'm a sales representative from lightfantastic.tv. As a leading out-of-home advertising platform in Hong Kong, we've been helping businesses like yours to reach and engage with their target audience in the most effective way possible.

At lightfantastic.tv, we believe that a city's streets are the perfect canvas for your brand story. That's why we offer an innovative and impactful platform for you to showcase your brand, right where it matters most. Imagine your brand's message displayed on four prominent windows in the heart of Hong Kong, reserved exclusively for peak season and tailored to maximize your ROI.

As a cinema chain with a 4.4-star rating, you understand the importance of creating memorable experiences for your customers. That's exactly what lightfantastic.tv can help you achieve. By partnering with us, you'll be able to:

- Increase brand awareness and recognition in the city
- Drive foot traffic and sales to your cinemas
- Enjoy premium advertising space at an unbeatable price

To celebrate Singles' Day, we're offering an exclusive promotion: HK$120,000 per window from November 5th to 11th, 2026. This is an incredible opportunity to make a lasting impression on the streets of Hong Kong.

If you're interested in exploring how lightfantastic.tv can elevate your brand and business",
4,The Hong Kong Fixer film and video productions,+852 9511 2352,https://thehongkongfixer.com/,user@domain.com,4.9,10 reviews,"Level 6, Core C, Cyberport 3, Telegraph Bay, Pok Fu Lam, Hong Kong",92,🔥 High Priority,New,No,2026-08-13 01:41:34,"Subject: Unlock the Magic of Out-of-Home Advertising in Hong Kong

Dear The Hong Kong Fixer film and video productions team,

I came across your impressive work at thehongkongfixer.com and was impressed by your 4.9-star rating. As a leading out-of-home advertising platform in Hong Kong, I'd like to introduce you to lightfantastic.tv - a unique opportunity to showcase your brand on four iconic digital windows across the city.

Our platform offers a hassle-free way to reserve high-impact ad space, ensuring maximum visibility for your business during peak seasons. By booking our full peak season package, you can save significantly compared to individual window bookings.

To celebrate Singles' Day, we're offering an exclusive promotion: book any of our four windows from November 5th to 11th, 2026, for a special rate of HK$120,000 per window. This is a fantastic chance to amplify your brand's reach and generate buzz around your services.

If you're interested in learning more about how lightfantastic.tv can help elevate your marketing efforts, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be more than happy to discuss how our platform can benefit your business.

Looking forward to hearing from you.

Best regards,

Emily Chan
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
5,Hong Kong Film Archives,No Phone Number,No Website,No Website,N/A,0 reviews,"50 Lei King Rd, Aldrich Bay, Hong Kong",30,💡 Low Priority,New,No,2026-08-13 01:41:34,"Subject: Elevate Your Brand on the Streets of Hong Kong

Dear Hong Kong Film Archives,

I came across your organization and was impressed by your commitment to preserving and promoting Hong Kong's rich cinematic heritage. As a representative of lightfantastic.tv, I'd like to introduce you to a unique opportunity to take your brand to the next level through out-of-home advertising in Hong Kong.

Our digital screens are strategically placed in high-traffic areas, allowing you to reach a vast and engaged audience. By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately boost sales. Our screens are perfect for promoting your upcoming events, exhibitions, or even your own film productions.

As a special treat, we're offering an exclusive promotion for Singles' Day, from November 5th to 11th. For just HK$120,000 per window, you can reserve a spot on our screens and reach an estimated 100,000+ viewers daily. This is a fantastic opportunity to get your brand seen by a massive audience at a fraction of the cost of traditional advertising.

If you're interested in learning more about how lightfantastic.tv can help your organization, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call to discuss further details.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
6,"Louis Koo Cinema, Hong Kong Arts Centre",+852 2582 0200,http://www.hkac.org.hk/,hkac@hkac.org.hk,4.3,113 reviews,"2 Harbour Rd, Wan Chai, Hong Kong",95,🔥 High Priority,New,No,2026-08-13 01:41:34,"Subject: Amplify Your Brand's Presence on Hong Kong's Streets

Dear Louis Koo Cinema, Hong Kong Arts Centre Team,

I came across your esteemed arts centre and was impressed by the outstanding 4.3-star rating on your website. I'd love to introduce you to lightfantastic.tv, an innovative out-of-home advertising solution that brings your brand to life on the vibrant streets of Hong Kong.

By partnering with us, you can effectively reach and engage with your target audience, increasing brand awareness and driving foot traffic to your arts centre. Our network of high-impact digital screens is strategically located in prime areas across the city, ensuring maximum visibility for your brand.

This Singles' Day, from 5 to 11 November 2026, we're offering an unbeatable deal for businesses like yours. Book any of our four windows for a flat rate of HK$120,000, saving you thousands compared to booking each window individually.

Don't miss this opportunity to amplify your brand's presence in Hong Kong. To learn more about this exclusive offer and how lightfantastic.tv can benefit your business, please email us at hello@lightfantastic.tv.

Looking forward to hearing from you.

Best regards,

Emily Wong
LightFantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
7,HKCamera,+852 6823 2193,http://www.hkcamera.net/,Email Not Found,4.7,128 reviews,"Shop K, G/F, 90-94C Nathan Rd, Tsim Sha Tsui, Hong Kong",85,🔥 High Priority,New,No,2026-08-13 01:41:34,"Subject: Elevate Your Brand in the Heart of Hong Kong

Dear HKCamera Team,

I came across your website, http://www.hkcamera.net/, and was impressed by your 4.7-star rating - a testament to your commitment to excellence. As a representative of lightfantastic.tv, I'd like to introduce you to a unique opportunity to take your brand to the next level in the vibrant city of Hong Kong.

Our out-of-home advertising platform, lightfantastic.tv, allows you to showcase your brand on four strategically located digital windows, strategically placed in the heart of the city. By reserving the full peak season, you can save against booking each window individually, making it a cost-effective solution for businesses like yours.

To help you make the most of this opportunity, we're offering a special promotion for Singles' Day (5-11 Nov 2026): HK$120,000 per window. This is a limited-time offer that can help you reach a wider audience and drive brand awareness.

If you're interested in learning more about how lightfantastic.tv can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be more than happy to discuss the details and explore how our platform can help you achieve your marketing goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
8,Salon Films (HK) Ltd,+852 2338 0505,https://www.salonmedia.com/,2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,5,8 reviews,"Unit C, 4/F, Freder Centre, 68 Sung Wong Toi Rd, Ma Tau Kok, Hong Kong",92,🔥 High Priority,New,No,2026-08-13 01:41:34,"Subject: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear Salon Films (HK) Ltd Team,

I hope this email finds you well. As a marketing professional, I'm sure you're always looking for innovative ways to reach and engage with your target audience. I wanted to introduce you to lightfantastic.tv, an out-of-home advertising platform that puts your brand on the streets of Hong Kong, where the city's vibrant energy meets your brand's message.

Our platform offers a unique opportunity to reserve all four windows for a discounted price, ensuring that your brand is seen by a massive audience during the peak season. This strategic move not only saves you money but also guarantees a strong brand presence in the heart of Hong Kong.

As a valued business in the marketing industry, I'd like to present a special offer just for you. From November 5th to 11th, we're offering an unbeatable deal of HK$120,000 per window for our out-of-home advertising slots. This is a rare opportunity to elevate your brand's visibility at a fraction of the cost.

If you're interested in learning more about lightfantastic.tv and how we can help Salon Films (HK) Ltd reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be delighted to discuss the details and answer any questions you may have.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of",
9,SHOWA Film & Camera,+852 3001 6348,http://www.showa-store.com/,support@showa-store.com,4.3,200 reviews,"3樓, 66號 Sai Yeung Choi St S, Mong Kok, Hong Kong",95,🔥 High Priority,New,No,2026-08-13 01:41:34,"Subject: Elevate Your Brand's Reach in Hong Kong with Lightfantastic.tv

Hi SHOWA Film & Camera Team,

I came across your excellent website (http://www.showa-store.com/) and noticed your 4.3-star rating. Congratulations on delivering exceptional service to your customers. As a leading film and camera store in Hong Kong, I'm sure you're always looking for innovative ways to increase brand visibility and reach a wider audience.

That's where Lightfantastic.tv comes in. Our out-of-home advertising solution allows you to put your brand on the streets of Hong Kong, reaching millions of potential customers. By partnering with us, you can effectively increase brand awareness, drive foot traffic to your store, and ultimately boost sales.

This Singles' Day, from November 5th to 11th, is an ideal opportunity to make a big impact. We're offering a special promotion: HK$120,000 per window. Not only is this a cost-effective way to advertise, but you'll also be able to reserve the full peak season, saving against booking each window on its own.

Don't miss out on this chance to elevate your brand's reach in Hong Kong. To learn more, please reply to this email at hello@lightfantastic.tv. Our team would be delighted to discuss how Lightfantastic.tv can benefit SHOWA Film & Camera.

Best regards,

Emily Wong
Sales Representative
Lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand",
10,Cameraman Hong Kong,+852 6396 8868,http://cameramanhongkong.com/,james@cameramanhongkong.com,5,19 reviews,"Hollywood Road Studios, 19/F, IFC2, 8 Finance St, Central, Hong Kong",92,🔥 High Priority,New,No,2026-08-13 01:41:34,"Subject: Put Your Brand in the Limelight with lightfantastic.tv

Dear Cameraman Hong Kong Team,

I came across your excellent work at http://cameramanhongkong.com/ and was impressed by your 5-star rating. As a business that values high-quality visual storytelling, you understand the importance of grabbing attention and standing out in a crowded market.

That's where lightfantastic.tv comes in – we offer a unique out-of-home advertising solution that puts your brand on the streets of Hong Kong, reaching a vast and engaged audience. With our digital screens strategically placed across the city, you can effectively reach your target audience and increase brand awareness.

This Singles' Day, from November 5th to 11th, we're offering a special promotion – book any of our four windows for just HK$120,000 each. This is a fantastic opportunity to save and secure premium advertising space for the peak season.

If you're interested in taking your brand to the next level, I'd love to discuss how lightfantastic.tv can help. Simply reply to this email at hello@lightfantastic.tv or give me a call to schedule a consultation.

Looking forward to hearing from you.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
