No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Sandbox VR - TST Store,+852 2311 9995,https://sandboxvr.com/hongkong,midtown.staff@sandboxvr.com,4.8,1213 reviews,"4/F, 5號 Cameron Rd, Tsim Sha Tsui, Hong Kong",100,🔥 High Priority,New,No,2026-08-13 01:53:32,"Subject: Boost Your Brand Visibility in Hong Kong's Bustling Streets

Dear Sandbox VR - TST Store Team,

I came across your impressive 4.8-star rating on Google, and it's clear that you're making waves in the VR entertainment scene in Tsim Sha Tsui. As a representative from lightfantastic.tv, I'm excited to introduce our innovative out-of-home advertising solutions that can take your brand to the next level.

Our LED light panels are strategically placed across Hong Kong, providing an unparalleled opportunity to reach a massive audience. By partnering with us, you can reserve our entire network of windows for a fixed price of HK$400,000, ensuring that your brand gets maximum visibility during the peak season.

However, we're offering a special promotion for a limited time, just in time for Singles' Day (5-11 Nov 2026). For a one-time payment of HK$120,000 per window, you can secure a prime spot on our screens and make a lasting impression on the streets of Hong Kong.

Imagine your brand prominently displayed on our LED light panels, showcasing your latest VR experiences and attracting new customers to your TST store. Our solution is designed to drive foot traffic and boost your brand's visibility, helping you stand out from the competition.

If you're interested in learning more about this exciting opportunity, I'd be happy to schedule a call to discuss further. Please don't hesitate to reach out to me directly at hello@lightfantastic.tv",
2,Sandbox VR,+852 3751 7922,https://sandboxvr.com/hongkong,midtown.staff@sandboxvr.com,4.9,1016 reviews,"23/F, Soundwill Plaza lI, Midtown, 1 Tang Lung St, Causeway Bay, Hong Kong",100,🔥 High Priority,New,No,2026-08-13 01:53:32,"Subject: Elevate Your Brand in Hong Kong's Vibrant Streets

Dear Sandbox VR Team,

I came across your exceptional VR experiences in Hong Kong (https://sandboxvr.com/hongkong) and noticed your impressive 4.9 rating. As a business owner, you understand the importance of creating lasting impressions and reaching new audiences. That's where lightfantastic.tv comes in – your ideal partner in out-of-home advertising.

Our platform allows you to reserve and customize four high-traffic windows for HK$400,000, providing year-round visibility and a significant cost savings compared to booking each window individually. With our innovative approach, you can effectively promote your brand and drive customer engagement.

As we approach Singles' Day (5-11 Nov 2026), we're offering an exclusive promotion: reserve any window for just HK$120,000. This limited-time opportunity will amplify your brand's presence in Hong Kong's bustling streets.

If you're interested in learning more about our innovative advertising solutions or would like to book a window for Singles' Day, please reach out to hello@lightfantastic.tv. Our team would be delighted to discuss how lightfantastic.tv can help you achieve your marketing goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
3,808 Board Game,+852 3791 2799,http://www.808.games/,Email Not Found,4.1,192 reviews,"Hong Kong, Mong Kok, Sai Yeung Choi St S, 1A-1K號, Pakpolee Commercial Centre, Rm 808, 8/F",80,🔥 High Priority,New,No,2026-08-13 01:53:32,"Subject Line: Elevate Your Brand in Hong Kong with lightfantastic.tv

Dear 808 Board Game Team,

I came across your fantastic board game, 808, and noticed you have a strong online presence at http://www.808.games/. As a fan of strategic games and innovative marketing, I'd like to introduce you to lightfantastic.tv - a unique out-of-home advertising platform in Hong Kong that can help take your brand to the next level.

Our platform offers a unique opportunity to reserve all four windows for HK$400,000, securing peak season bookings and saving you money compared to individual window bookings. This strategic approach enables you to reach a wider audience, boost brand awareness, and drive customer engagement.

Considering your 4.1-star rating, I believe 808 Board Game is well-positioned to benefit from our platform. With lightfantastic.tv, you can put your brand on the streets of Hong Kong and make a lasting impression on potential customers.

To celebrate Singles' Day, we're offering an exclusive promotion from November 5th to 11th: HK$120,000 per window. This is an excellent opportunity to try out our platform and experience the impact of out-of-home advertising for yourself.

If you're interested in learning more about how lightfantastic.tv can help 808 Board Game reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Looking forward to exploring the possibilities together.

Best regards,

Em",
4,Shop @ Buy Game 2.com,+852 2702 2044,http://buygame2.com/,contact@buygame2.com,4.3,215 reviews,"Hong Kong, Sham Shui Po, Cheung Sha Wan Rd, 266-268號, 昌發商業大廈4樓402-404室",95,🔥 High Priority,New,No,2026-08-13 01:53:32,"Subject: Reach New Heights with Out-of-Home Advertising in Hong Kong

Dear Shop @ Buy Game 2.com Team,

I hope this email finds you well. My name is Emily Wong, and I'm a sales representative from lightfantastic.tv. Our company specializes in providing innovative out-of-home advertising solutions in Hong Kong, putting your brand on the streets where your target audience is most active.

At lightfantastic.tv, we understand that reaching a wider audience is crucial for businesses like yours. That's why we offer a comprehensive advertising platform that can help increase brand visibility, drive website traffic, and boost sales. Our four windows are strategically located in high-traffic areas, ensuring maximum exposure for your brand.

As a valued business with a 4.3 rating on your website, we believe that our out-of-home advertising solution can help take your brand to the next level. And to make it even more exciting, we're offering a special promotion during Singles' Day from November 5th to 11th, 2026. For HK$120,000 per window, you can reserve our entire inventory and enjoy significant savings compared to booking each window individually.

If you're interested in learning more about how lightfantastic.tv can help Shop @ Buy Game 2.com achieve your marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be more than happy to discuss a customized advertising plan tailored to your needs.

Best regards,

Emily",
5,Silvercord Amusement & Games,+852 2730 3632,http://www.silvercord.hk/eng/shopping/details.php?s=32563&back=/eng/floorplan.php,Email Not Found,4,84 reviews,"B03, B/F, Silvercord, 30 Canton Rd, Tsim Sha Tsui, Hong Kong",77,🔥 High Priority,New,No,2026-08-13 01:53:32,"Subject: Unlock Prime Advertising Spots in Hong Kong with Lightfantastic.tv

Dear Silvercord Amusement & Games Team,

I came across your fascinating entertainment venue at Silvercord Amusement & Games and was impressed by the variety of games and attractions you offer to your customers. As a seasoned professional in the advertising industry, I'd like to introduce you to Lightfantastic.tv - a cutting-edge out-of-home advertising platform that can elevate your brand's visibility in the heart of Hong Kong.

With Lightfantastic.tv, you can effectively reach and engage with your target audience on the streets of Hong Kong, increasing brand awareness and driving foot traffic to your venue. Our unique network of digital screens allows you to tailor your message to specific demographics, ensuring maximum impact.

To help you make the most of the peak season, we're offering an exclusive deal for our valued partners like Silvercord Amusement & Games. During this year's Singles' Day (5-11 Nov 2026), you can reserve our premium windows at an unbeatable price of HK$120,000 per window.

Don't miss this incredible opportunity to amplify your brand's presence in Hong Kong. To learn more about this limited-time offer, please don't hesitate to contact me directly at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
Lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong.",
6,Todo Games Hong Kong,+852 9123 7194,https://www.todoinc.co/,user@domain.com,5,9 reviews,"6F, 111 Bonham Strand, Sheung Wan, Hong Kong",92,🔥 High Priority,New,No,2026-08-13 01:53:32,"Subject: Elevate Your Brand in Hong Kong with lightfantastic.tv

Dear Todo Games Hong Kong Team,

I came across your company, Todo Games Hong Kong, and was impressed by your 5-star rating and innovative approach to gaming experiences (https://www.todoinc.co/). As a sales representative from lightfantastic.tv, I'd like to introduce you to a unique opportunity to amplify your brand's visibility in the heart of Hong Kong.

Our out-of-home advertising platform, lightfantastic.tv, allows you to showcase your brand on four iconic windows for an unbeatable price of HK$400,000. Booking the entire space guarantees you a premium spot and saves you money compared to individual window bookings. This strategic placement can significantly increase brand awareness and drive foot traffic to your business.

To make it even more compelling, we're excited to offer a special promotion for Singles' Day, taking place from November 5th to 11th 2026. For a limited time, you can reserve a single window for an exclusive rate of HK$120,000. This is an ideal opportunity to reach a large audience and create a lasting impression.

If you're interested in learning more about lightfantastic.tv and how it can elevate your brand, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss the details and answer any questions you may have.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv",
7,GALA 旮旯｜桌遊 Board Games,+852 5534 1996,http://galainhk.com/,galainhk@gmail.com,4.7,47 reviews,"1/F, 51 Carnarvon Rd, Tsim Sha Tsui, Hong Kong",94,🔥 High Priority,New,No,2026-08-13 01:53:32,"Subject: Boost Your Brand Visibility in Hong Kong's Bustling Streets

Dear GALA 旮旯｜桌遊 Board Games Team,

I came across your fantastic board game store, GALA, and was impressed by your 4.7-star rating on your website. It's clear that you're doing something right! As a professional with a passion for out-of-home advertising, I think I can help take your store's visibility to the next level.

At lightfantastic.tv, we specialize in transforming Hong Kong's streets into a dynamic billboard for your brand. Our cutting-edge LED displays are strategically placed in four iconic locations, providing unparalleled exposure to your target audience. By partnering with us, you can reserve a full peak season and save against booking each window on its own.

To make it even more appealing, we're excited to announce a special offer for Singles' Day from November 5th to 11th, 2026. For a limited time, you can book our LED displays for just HK$120,000 per window. This is an unbeatable opportunity to amplify your brand's presence and reach a wider audience.

If you're interested in learning more about how lightfantastic.tv can help GALA shine, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss the details and explore how our platform can support your business goals.

Looking forward to hearing from you!

Best regards,

Emily Wong
Sales Representative",
8,Partyideas HK,+852 6089 0244,https://partyideas.online/,Email Not Found,4.9,46 reviews,"Room A, 8/F, Ngai Wong Commercial Building, 11-13 Mong Kok Rd, Mong Kok, Hong Kong",79,🔥 High Priority,New,No,2026-08-13 01:53:32,"Subject Line: Elevate Your Brand on the Streets of Hong Kong

Dear Partyideas HK Team,

I came across your impressive 4.9-star rating on https://partyideas.online/ and was impressed by the creativity and enthusiasm you bring to the party planning industry in Hong Kong. As a sales representative from lightfantastic.tv, I'd love to introduce our innovative out-of-home advertising solution that can help take your brand to the next level.

Our LED window displays are strategically located in prime areas across Hong Kong, providing a unique and impactful way to showcase your brand, products, or services to a massive audience. By partnering with lightfantastic.tv, you can reserve a full peak season and save against booking each window on its own, making it a cost-effective solution for your marketing efforts.

To make it even more exciting, we're offering a special promotion for Singles' Day, from November 5th to 11th, 2026, where you can book any of our windows for just HK$120,000. This is a fantastic opportunity to elevate your brand's visibility and reach during a peak shopping period.

If you're interested in learning more about how lightfantastic.tv can help Partyideas HK, I'd be happy to schedule a call to discuss the details. Please don't hesitate to reply to this email or reach out to hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong",
9,VR ARENA CWB Hong Kong (Causeway Bay),+852 2638 8696,http://www.vrarenacwb.com/,c183baa23371454f99f417f6616b724d@sentry.wixpress.com,4.7,123 reviews,"Hong Kong, Causeway Bay, 17/F, Causeway Bay Center, 15-23 Sugar Street, Causeway Bay, Unit 1703",100,🔥 High Priority,New,No,2026-08-13 01:53:32,"Subject Line: Reach a wider audience in Hong Kong with lightfantastic.tv

Dear VR ARENA CWB Hong Kong (Causeway Bay) Team,

I came across your 4.7-star rated business on http://www.vrarenacwb.com/ and was impressed by your innovative approach to virtual reality experiences in Causeway Bay. As a representative of lightfantastic.tv, I believe our out-of-home advertising platform can help take your brand to the next level.

Our LED windows in strategic locations across Hong Kong offer a unique opportunity for businesses like yours to reach a wider audience and increase brand visibility. By advertising with us, you can reserve the full peak season and save against booking each window on its own, making it a cost-effective solution for your marketing needs.

To celebrate Singles' Day, we're offering an exclusive promotion from November 5 to 11, 2026, at an unbeatable price of HK$120,000 per window. This is a limited-time opportunity to elevate your brand's presence in Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help your business thrive, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Looking forward to hearing from you.

Best regards,
Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
10,DMZ,No Phone Number,http://playatdmz.com/,info@playatdmz.com,5,99 reviews,"Unit A1, 7/F, 342-344 Kwun Tong Rd, Ngau Tau Kok, Hong Kong",87,🔥 High Priority,New,No,2026-08-13 01:53:32,"Subject: Elevate Your Brand on Hong Kong's Streets with Lightfantastic.tv

Hi DMZ Team,

As a marketer at DMZ, you understand the importance of making a lasting impression on your audience. At lightfantastic.tv, we're passionate about helping businesses like yours connect with the people of Hong Kong through out-of-home advertising. Our innovative platform offers a unique opportunity to showcase your brand across four high-traffic windows, giving you unparalleled visibility and reach.

By partnering with lightfantastic.tv, you can reserve the full peak season and save against booking individual windows. This means you can maximize your brand's exposure during the busiest periods and make a lasting impact on your target audience.

To celebrate Singles' Day, we're offering an unbeatable deal from November 5th to 11th, 2026: HK$120,000 per window. This is a once-in-a-lifetime opportunity to elevate your brand's presence in Hong Kong without breaking the bank.

If you're ready to take your brand to the next level, we invite you to reach out to us at hello@lightfantastic.tv to learn more about our exclusive offer and how we can help you achieve your marketing goals.

Looking forward to connecting with you!

Best regards,

Emily Wong
Sales Representative
Lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
11,Gameone HK,+852 6596 5306,https://hkgameone.org/,Email Not Found,N/A,0 reviews,"Basement, 38, Hankow Rd, Tsim Sha Tsui, Hong Kong",60,⭐ Medium Priority,New,No,2026-08-13 01:53:32,"Subject: Unlock the Streets of Hong Kong with lightfantastic.tv

Dear Gameone HK Team,

I came across your website (https://hkgameone.org/) and was impressed by the exciting gaming community you've built in Hong Kong. As a sales representative for lightfantastic.tv, I'd like to introduce our innovative out-of-home advertising solution that can help take your brand to the next level.

Our digital screens are strategically located across Hong Kong, providing a unique opportunity for businesses like Gameone HK to reach a vast and engaged audience. By partnering with us, you can increase brand awareness, drive foot traffic to your stores, and ultimately boost sales.

To make it even more enticing, we're offering a special promotion for Singles' Day, from November 5th to 11th, 2026. You can reserve our four windows for an unbeatable price of HK$120,000.

Don't miss this chance to reserve the full peak season and save against booking each window on its own. Imagine having your brand showcased on four prime locations across Hong Kong, generating buzz and attracting new customers to your business.

If you're interested in learning more about how lightfantastic.tv can benefit Gameone HK, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be more than happy to discuss the details and answer any questions you may have.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong",
12,Basicland Card Game Shop (MK),+852 9300 0421,No Website,No Website,4.7,59 reviews,"15樓1506室, 總統商業中心, 608號 Nathan Rd, Mong Kok, Hong Kong",62,⭐ Medium Priority,New,No,2026-08-13 01:53:32,"Subject Line: Unlock the Streets of Hong Kong with Lightfantastic.tv

Hi Basicland Card Game Shop (MK) Team,

I came across your exceptional 4.7-star rating on reviews and was impressed by the passion of your customers towards card games. As a sales representative from lightfantastic.tv, I'd love to introduce you to a unique opportunity to amplify your brand's presence in the streets of Hong Kong.

Our out-of-home advertising platform, lightfantastic.tv, allows you to take over four high-traffic windows in the heart of Hong Kong for a competitive price of HK$400,000. This exclusive offer not only saves you money but also guarantees peak-season exposure. Imagine having a captive audience of millions, all while showcasing your brand's unique personality.

To make it even more enticing, we're running a special offer for Singles' Day from November 5th to 11th. For HK$120,000 per window, you can reserve a prime spot in the city's busiest areas. This is an unbeatable chance to connect with a massive audience and drive foot traffic to your store.

If you're interested in learning more about how lightfantastic.tv can elevate your brand's visibility and drive sales, I invite you to reply to this email at hello@lightfantastic.tv. Our team would be delighted to schedule a call to discuss the possibilities.

Best regards,

Emily Lee
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong",
13,Capstone Boardgame 桌上遊戲專門店,+852 2577 5388,https://shop.capstone.hk/,sales_bg@capstoneedu.org,4.4,139 reviews,"23樓 全層 23/F, Golden Swan Commercial Building, 銅鑼灣軒尼斯道438-444號,金鵝商業大廈, 438-444 Hennessy Rd, Causeway Bay, Hong Kong",95,🔥 High Priority,New,No,2026-08-13 01:53:32,"Subject Line: Unlock the Power of Outdoor Advertising in Hong Kong

Dear Capstone Boardgame,

I came across your wonderful board game store, Capstone Boardgame 桌上遊戲專門店, and was impressed by your 4.4-star rating on Google Reviews! It's clear that you're dedicated to providing an exceptional customer experience. As a fellow business enthusiast, I'd like to introduce you to an innovative way to reach a wider audience and take your brand to the next level.

Lightfantastic.tv is a cutting-edge out-of-home advertising platform that allows you to put your brand on the streets of Hong Kong. Our unique, large-scale displays are strategically placed in high-traffic areas, ensuring maximum visibility and engagement with your target audience. By partnering with us, you can increase brand awareness, drive foot traffic to your store, and ultimately boost sales.

Our platform is particularly beneficial for businesses like yours, as it allows you to reach a diverse and active demographic. With lightfantastic.tv, you can:

- Enhance your brand's visibility and credibility
- Target a wide range of audiences, from young professionals to families
- Enjoy the flexibility to adjust your ad campaigns as needed

To help you get started, we're offering an exclusive promotion for Singles' Day, from November 5th to 11th, 2026. Reserve a window for just HK$120,000, and take advantage of a significant discount compared to booking individual windows.

If you're",
