No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Sneakers Street,No Phone Number,https://www.sneakers-street.hk/,info@sneakers-street.hk,4.1,8076 reviews,"71-73 Fa Yuen St, Mong Kok, Hong Kong",85,🔥 High Priority,New,No,2026-08-13 01:19:38,"Subject Line: Elevate Your Brand on Hong Kong's Streets

Dear Sneakers Street Team,

I've been following your brand's growth, and I'm impressed with the 4.1-star rating on your website (https://www.sneakers-street.hk/). As a marketer who's familiar with the Hong Kong market, I think I can help you take your brand visibility to the next level.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand right where your target audience is – on the streets of Hong Kong. Our unique platform offers a seamless way to capture attention and drive engagements. By partnering with us, you'll be able to reach a wider audience, increase brand awareness, and ultimately drive sales.

This Singles' Day (5-11 Nov 2026), we're offering a special deal that's hard to resist. For just HK$120,000 per window, you can reserve a prime spot and showcase your brand to the right people at the right time. Don't miss this opportunity to make a lasting impression on your customers.

If you're interested in learning more about how lightfantastic.tv can help Sneakers Street, I'd be happy to schedule a call or provide more information. Simply reply to this email or reach out to us at hello@lightfantastic.tv.

Looking forward to hearing from you.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong
Put",
2,On Store Hong Kong H Queen's,+852 5809 0012,https://www.on.com/en-hk/,your@email.com,4.9,1012 reviews,"Shop 2, Ground Floor, 80 Queen's Road Central, Central, Hong Kong",100,🔥 High Priority,New,No,2026-08-13 01:19:38,"Subject: Elevate Your Brand Presence in Hong Kong with lightfantastic.tv

Dear On Store Hong Kong H Queen's Team,

I came across your exceptional retail store in H Queen's and was impressed by the 4.9-star rating on your website! As a local business, you understand the importance of effective out-of-home advertising to reach your target audience.

At lightfantastic.tv, we specialize in providing cutting-edge digital signage solutions that help businesses like yours dominate the streets of Hong Kong. Our innovative approach enables you to capture the attention of passersby, drive foot traffic, and increase brand awareness.

By partnering with us, you can:

- Reserve our entire network for a discounted rate of HK$400,000, ensuring maximum visibility during peak seasons.
- Leverage our special offer for Singles' Day, from November 5th to 11th, 2026, and secure each window for just HK$120,000.

This limited-time opportunity allows you to amplify your marketing efforts and connect with your audience in a more engaging way. Don't miss out on this chance to elevate your brand presence in Hong Kong!

If you're interested in learning more about how lightfantastic.tv can help your business thrive, please reply to this email at hello@lightfantastic.tv. I'd be delighted to schedule a call and discuss how our solutions can meet your specific needs.

Best regards,

Emily Li
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong",
3,On Store Hong Kong Pacific Place,+852 5809 0072,https://www.on.com/en-hk/explore/stores/hong-kong-pacific-place,your@email.com,4.9,564 reviews,"Floor 1, Pacific Place, 88 Queensway, Admiralty, Hong Kong",100,🔥 High Priority,New,No,2026-08-13 01:19:38,"Subject Line: Elevate Your Brand's Visibility in Hong Kong's Bustling Streets

Dear On Store Hong Kong Pacific Place,

I came across your store at Pacific Place and was impressed by your 4.9-star rating and commitment to delivering exceptional customer experiences. As a representative from lightfantastic.tv, I believe our out-of-home advertising solutions can help you further amplify your brand's presence in Hong Kong's vibrant streets.

Our LED light box display network spans across four windows in key locations, offering a unique opportunity to reach a massive audience. By reserving our peak season slots, you can save against booking each window individually and make the most of your marketing budget. Imagine having your brand visible to thousands of pedestrians and commuters every day.

To make it even more appealing, we're offering a special promotion for Singles' Day from November 5th to 11th: just HK$120,000 per window. This is a limited-time opportunity to elevate your brand's visibility without breaking the bank.

If you're interested in learning more about how lightfantastic.tv can help you achieve your marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. I'd be more than happy to discuss further and answer any questions you may have.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
4,Barefoot Asia - 赤足鞋香港專門店,+852 9662 1874,https://barefoot.asia/,hello@barefoot.asia,4.9,503 reviews,"Basement, Kimberley House, 35 Kimberley Rd, Tsim Sha Tsui, Hong Kong",100,🔥 High Priority,New,No,2026-08-13 01:19:38,"Subject: Elevate Your Brand's Visibility with lightfantastic.tv

Dear Barefoot Asia - 赤足鞋香港專門店 Team,

I came across your stunning 4.9-star rated shoe store (https://barefoot.asia/) and was impressed by your commitment to providing top-notch products and exceptional customer service. As a business owner in the competitive Hong Kong market, I understand the importance of standing out and reaching your target audience effectively.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Our innovative solution allows you to reserve all four windows for a fixed price of HK$400,000, ensuring you save against booking each window individually. This strategic approach guarantees maximum visibility and brand awareness for your business.

As we approach the peak season, I'd like to offer you a special promotion during Singles' Day, from 5th to 11th November 2026. For HK$120,000 per window, you can elevate your brand's visibility and reach a vast audience in the heart of Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help Barefoot Asia - 赤足鞋香港專門店 achieve its marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. I'd be more than happy to schedule a call to discuss your needs and create a customized plan that suits your business.

Best regards,

Emily Wong
Sales Representative,",
5,Nabwork Sneakers Shop 旺角波鞋服飾店 (Yeezy Air Jordan Nike Adidas Sneaker Apparel Streetwear),+852 5542 7942,http://www.nabwork.hk/,aec31088a6fb4f6eafac028a91e1cf21@o769852.ingest.sentry.io,4.4,50 reviews,"1A, Pakpolee Commercial Centre, 11/F, 1K Sai Yeung Choi St S, Mong Kok, Hong Kong",92,🔥 High Priority,New,No,2026-08-13 01:19:38,"Subject Line: Boost Your Footwear Brand's Visibility in Hong Kong

Dear Nabwork Sneakers Shop 旺角波鞋服飾店 Team,

As a fellow business in the vibrant streets of Hong Kong, I'm excited to introduce you to lightfantastic.tv, the ultimate out-of-home advertising solution. Our platform offers a unique opportunity to capture the attention of over 3 million commuters daily, putting your brand on the streets of Hong Kong like never before.

At lightfantastic.tv, we help businesses like yours increase brand awareness, drive foot traffic, and ultimately boost sales. Our digital screens are strategically placed in high-traffic areas, providing a targeted and impactful way to reach your target audience.

To help you stand out in the competitive footwear market, we're offering an exclusive deal for Singles' Day (Nov 5-11, 2026) - book any of our 4 windows for just HK$120,000, a significant savings compared to booking each window individually.

Don't miss this chance to elevate your brand's visibility and reach a vast audience of potential customers. If you're interested in learning more about how lightfantastic.tv can support Nabwork Sneakers Shop, please reply to this email at hello@lightfantastic.tv or visit our website for more information.

Looking forward to helping you put your brand on the streets of Hong Kong!

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand",
6,Twin Treads Custom Shoes,+65 8335 6763,http://www.twintreads.com/,Email Not Found,4.6,43 reviews,"Hong Kong, Central, Aberdeen St, 35號, HK Hong Kong Island PMQ, Unit S603, Block A, 6Floor 35, PMQ 元創方, S603, 6/F",79,🔥 High Priority,New,No,2026-08-13 01:19:38,"Subject Line: Amplify Your Brand's Presence in Hong Kong with lightfantastic.tv

Dear Twin Treads Custom Shoes Team,

I came across your exceptional custom shoe designs on http://www.twintreads.com/ and was impressed by your 4.6-star rating. As a business that values uniqueness and quality, I believe you'll appreciate the out-of-home advertising opportunities offered by lightfantastic.tv.

Our platform allows you to place your brand on the streets of Hong Kong, reaching a vast and diverse audience. By partnering with us, you can increase brand visibility, drive foot traffic, and ultimately boost sales. Our large-format LED displays in prime locations will showcase your brand to the masses, making it an ideal solution for businesses like yours.

To make the most of the upcoming peak season, we're offering a limited-time promotion during Singles' Day (5-11 Nov 2026). Book any of our four windows for just HK$120,000, saving you a significant amount compared to individual window bookings.

If you're interested in learning more about this opportunity, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss further and explore how lightfantastic.tv can help take your brand to the next level.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
7,Heel & Toe Hong Kong Lt澳紐健康鞋矯正墊專門店,+852 5944 4949,http://www.heelntoe.com.hk/index.php,info@heelntoe.com.hk,4.9,14 reviews,"13/F, Way On Commercial Building, 500 Jaffe Rd, Causeway Bay, Hong Kong",92,🔥 High Priority,New,No,2026-08-13 01:19:38,"Subject Line: Elevate Your Brand's Visibility in Hong Kong's Bustling Streets

Dear Heel & Toe Hong Kong Lt,

I came across your wonderful store, Heel & Toe Hong Kong Lt澳紐健康鞋矯正墊專門店, and was impressed by your 4.9-star rating on your website. It's clear that you're dedicated to providing top-notch services to your customers. As a business owner in Hong Kong, you understand the importance of effective advertising to reach your target audience.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Our innovative approach allows you to reach a wider audience and create lasting impressions. By partnering with us, you can increase your brand's visibility, drive foot traffic, and ultimately, boost sales.

To help businesses like yours succeed, we offer a special promotion during Singles' Day from November 5th to 11th, 2026. For just HK$120,000 per window, you can reserve a peak season spot and save against booking each window individually. This is an unbeatable opportunity to maximize your brand's exposure during one of the busiest shopping periods of the year.

If you're interested in learning more about how lightfantastic.tv can help Heel & Toe Hong Kong Lt grow your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss your advertising needs and create",
8,TASSELS Hong Kong,+852 2789 9911,http://www.tassels.com.hk/,info@tassels.com.hk,4.3,38 reviews,"Shop G5, The Galleria, 9 Queen's Road Central, Central, Hong Kong",89,🔥 High Priority,New,No,2026-08-13 01:19:38,"Subject Line: Light Up Your Brand in Hong Kong This Singles' Day!

Dear TASSELS Hong Kong Team,

I came across your website and was impressed with the stylish and elegant designs you offer at http://www.tassels.com.hk/. As a business owner, you understand the importance of showcasing your brand effectively to reach your target audience. At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong, where it matters most.

Our digital screens are strategically located in high-traffic areas, ensuring that your brand gets the visibility it deserves. By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately boost sales. Our platform is perfect for businesses like TASSELS Hong Kong, with a 4.3 rating, to take their brand to the next level.

To celebrate Singles' Day, we're offering an exclusive deal: HK$120,000 per window for a limited time from November 5th to 11th. Reserve your spot now and reap the benefits of being seen by thousands of potential customers.

If you're interested in learning more about how lightfantastic.tv can help your business shine, please don't hesitate to reach out to us at hello@lightfantastic.tv. We look forward to working with you to elevate your brand in Hong Kong.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the",
9,Husky Sneaker and Streetwear Shop,+852 6385 5260,http://www.huskysneaker.com/,aec31088a6fb4f6eafac028a91e1cf21@o769852.ingest.sentry.io,3.4,86 reviews,"Hong Kong, Mong Kok, Nathan Rd, 562號, 2f",82,🔥 High Priority,New,No,2026-08-13 01:19:38,"Subject: Elevate Your Brand in the Heart of Hong Kong

Dear Husky Sneaker and Streetwear Shop Team,

I came across your store online and was impressed by the unique selection of sneakers you offer. As a business owner myself, I know the importance of making a lasting impression on your target audience. That's why I wanted to introduce you to lightfantastic.tv, a cutting-edge out-of-home advertising platform that can help take your brand to the next level.

Our platform offers four prime locations in Hong Kong, allowing you to reach a massive and engaged audience. By reserving all four windows, you can save significantly against booking each window individually. Imagine the impact of having your brand showcased across the city, reaching thousands of potential customers every day.

We're excited to announce our special offer for Singles' Day (5-11 Nov 2026): book our windows at an unbeatable price of HK$120,000 per window. Don't miss this opportunity to amplify your brand's presence in the city!

If you're interested in learning more about how lightfantastic.tv can support your business goals, please reply to this email at hello@lightfantastic.tv. We'd be happy to schedule a call to discuss further.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
10,SHOELAXE Sneaker Shop,+852 6771 6774,http://shoelaxe.com/,shoelaxe.store@gmail.com,3.8,18 reviews,"2/F, Fa Yuen St, Mong Kok, Hong Kong",82,🔥 High Priority,New,No,2026-08-13 01:19:38,"Subject Line: Reach the Streets of Hong Kong with Lightfantastic.tv

Hi SHOELAXE Sneaker Shop Team,

I came across your website, shoelaxe.com, and was impressed with the sneaker culture you're bringing to Hong Kong. As a business owner in the competitive market, you're likely looking for innovative ways to reach new customers and drive sales.

That's where lightfantastic.tv comes in – we're an out-of-home advertising platform that helps brands like yours put their message on the streets of Hong Kong, where it matters most. Our unique window displays can be reserved for the entire peak season, ensuring you get the most visibility and impact.

We're excited to offer a special promotion for Singles' Day (5-11 Nov 2026), perfect for a peak sales period. Book any of our windows for just HK$120,000, a significant discount from our regular rate.

Don't miss this chance to elevate your brand presence and drive foot traffic to your stores. Reserve your window display today and experience the power of out-of-home advertising in Hong Kong.

Get in touch: hello@lightfantastic.tv

Best regards,

Emily Wong
Sales Representative, Lightfantastic.tv
Out-of-home advertising, Hong Kong | Put your brand on the streets of Hong Kong.",
