No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,ONLY Beverages,+852 5285 0975,http://drinkonly.co/,hello@drinkonly.co,5,57 reviews,"22/F, 3 Lockhart Road, Lockhart Rd, Wan Chai, Hong Kong Island, Hong Kong",97,🔥 High Priority,New,No,2026-08-26 08:49:38,"Subject: Grow Your Business with lightfantastic.tv

Dear ONLY Beverages Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help ONLY Beverages grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,HK Beverages & Spirits,+852 9518 0085,http://www.bevspirits.hk/,jura-@-single-malt-whisky-768x768.png,5,2 reviews,"5/Floor, Che Wah Industrial Building, 5B, 1-7 Kin Hong St, Kwai Chung, New Territories, Hong Kong",90,🔥 High Priority,New,No,2026-08-26 08:49:38,"Subject: Grow Your Business with lightfantastic.tv

Dear HK Beverages & Spirits Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help HK Beverages & Spirits grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,Mizunara: The Shop Hong Kong [Whisky & Spirits Shop],+852 3705 9770,http://www.mizunaratheshop.com/,sales@mizunaratheshop.com,5,42 reviews,"1901, 19/F, Sun Hing Industrial Building, 46 Wong Chuk Hang Rd, Wong Chuk Hang, Hong Kong Island, Hong Kong",94,🔥 High Priority,New,No,2026-08-26 08:49:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Mizunara: The Shop Hong Kong [Whisky & Spirits Shop] Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Mizunara: The Shop Hong Kong [Whisky & Spirits Shop] grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,Liquidz,+852 2572 7978,https://www.liquidz.com.hk/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_content=website_link,Email Not Found,5,372 reviews,"Unit 1533, 15th Floor, Beverley Commercial Centre, 87-105 Chatham Rd S, Tsim Sha Tsui, Kowloon, Hong Kong",85,🔥 High Priority,New,No,2026-08-26 08:49:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Liquidz Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Liquidz grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Milestone Beverages HK Ltd,+852 9820 3377,No Website,No Website,5,1 reviews,"Shop 4-7, 158A Connaught Rd W, Sai Ying Pun, Hong Kong Island, Hong Kong",55,⭐ Medium Priority,New,No,2026-08-26 08:49:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Milestone Beverages HK Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Milestone Beverages HK Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,"The Bottle Shop HK - Largest Liquor Store Of Beer, Wine, Whisky, Gin, And More",+852 2791 1600,https://www.thebottleshop.hk/,Email Not Found,4.4,109 reviews,"GF 114 Man Nin Street, New Territories, Sai Kung, New Territories, Hong Kong",80,🔥 High Priority,New,No,2026-08-26 08:49:38,"Subject: Grow Your Business with lightfantastic.tv

Dear The Bottle Shop HK - Largest Liquor Store Of Beer, Wine, Whisky, Gin, And More Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The Bottle Shop HK - Largest Liquor Store Of Beer, Wine, Whisky, Gin, And More grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,Alcohol Please 香港威士忌專門店,+852 9295 8477,https://alcoholpleasehk.com/,alcoholplease@hotmail.com,5,74 reviews,"10樓19室, Kowloon Bay Industrial Centre, 15號 Wang Hoi Rd, Kowloon Bay, Kowloon, Hong Kong",97,🔥 High Priority,New,No,2026-08-26 08:49:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Alcohol Please 香港威士忌專門店 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Alcohol Please 香港威士忌專門店 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,East West Spirits Ltd.,+852 2369 5699,http://www.ews.com.hk/,kulbir@ews.com.hk,4,4 reviews,"shop-26, G/F, 36-44 Nathan Rd, Tsim Sha Tsui, Kowloon, Hong Kong",85,🔥 High Priority,New,No,2026-08-26 08:49:38,"Subject: Grow Your Business with lightfantastic.tv

Dear East West Spirits Ltd. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help East West Spirits Ltd. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,The Macallan House Hong Kong,+852 8482 7012,https://www.themacallan.com/en-hk/experience-the-macallan/the-macallan-house-hong-kong,u003ehongkongsar@themacallan.com,4.8,32 reviews,"1 Stanley St, Central, Hong Kong Island, Hong Kong",94,🔥 High Priority,New,No,2026-08-26 08:49:38,"Subject: Grow Your Business with lightfantastic.tv

Dear The Macallan House Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The Macallan House Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,Elite Dining Ltd,+852 6823 1270,http://www.elitedininghk.com/,Email Not Found,4.7,15 reviews,"1013, Rise Commercial Building, 5-11 Granville Circuit, Tsim Sha Tsui, Kowloon, Hong Kong",77,🔥 High Priority,New,No,2026-08-26 08:49:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Elite Dining Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Elite Dining Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
11,MedGins.HK,+852 2149 1377,https://medgins.hk/,Email Not Found,5,1 reviews,"Suite C, Grand Progress Building, 58-62, 9/F D'Aguilar St, Central, Hong Kong Island, Hong Kong",75,🔥 High Priority,New,No,2026-08-26 08:49:38,"Subject: Grow Your Business with lightfantastic.tv

Dear MedGins.HK Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help MedGins.HK grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
12,Winemap Trading Limited,+852 2443 6043,http://www.winemap.hk/,Email Not Found,5,12 reviews,"Hong Kong, Kowloon, Cheung Sha Wan, Castle Peak Rd, 604號, Hong Kong Industrial Centre Block B",77,🔥 High Priority,New,No,2026-08-26 08:49:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Winemap Trading Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Winemap Trading Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
13,Hong Kong Beer Co.,+852 5962 0106,https://hkbeerco.com/,hkbererco_140x@2x.png,4.8,25 reviews,"Unit A, Ground Floor, Wang Kwong Industrial Building, 45 Hung To Rd, Kwun Tong, Kowloon, Hong Kong",94,🔥 High Priority,New,No,2026-08-26 08:49:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Beer Co. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Beer Co. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
14,Beverage World HK,+852 5989 7034,No Website,No Website,N/A,0 reviews,"Cheung Lee St, Chai Wan, Hong Kong Island, Hong Kong",40,⭐ Medium Priority,New,No,2026-08-26 08:49:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Beverage World HK Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Beverage World HK grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
15,Online Wine Shop Hong Kong,+852 9455 6691,https://barbaros.com.hk/,Email Not Found,5,4 reviews,"Cheong Wah Factory Building, ROOM NO.1, FLAT C ON 1ST FLOOR, 39-41 Sheung Heung Rd, To Kwa Wan, Kowloon, Hong Kong",75,🔥 High Priority,New,No,2026-08-26 08:49:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Online Wine Shop Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Online Wine Shop Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
16,Wine Century Hong Kong,+852 5340 6886,https://www.winecenturyhk.com/,john@example.com,4.9,204 reviews,"PHASE II, FLAT E10, 13/F BLOCK E,TSING YI INDUSTRIAL CENTRE 1, 33 Cheung Tat Rd, Tsing Yi, New Territories, Hong Kong",100,🔥 High Priority,New,No,2026-08-26 08:49:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Wine Century Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Wine Century Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
