No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,電池 Pro,+852 5222 7626,https://m.facebook.com/batterypro86/,Email Not Found,4.7,96 reviews,"86號 Ko Shan Rd, Hung Hom, Hong Kong",82,🔥 High Priority,New,No,2026-07-14 19:14:24,"Subject Line: Elevate Your Brand's Visibility in Hong Kong with Lightfantastic.tv

Dear 電池 Pro Team,

I came across your business, 電池 Pro, with a great reputation (4.7 rating!) on social media. I was impressed by your commitment to delivering high-quality services to your customers. As a marketing professional, I believe that an effective outdoor advertising strategy can take your business to the next level.

Lightfantastic.tv is a cutting-edge out-of-home advertising platform that offers a unique opportunity to reach a massive audience in Hong Kong. Our network of digital screens, strategically located throughout the city, can help you increase brand awareness, drive foot traffic, and boost sales. By partnering with us, you can reserve the full peak season and save against booking each window on its own.

To celebrate Singles' Day, we're offering an exclusive promotion: from 5 to 11 November 2026, you can book each of our four windows for a special price of HK$120,000. This is an unbeatable deal that will give your brand the visibility it deserves in the heart of Hong Kong.

If you're interested in learning more about this opportunity, I invite you to reply to this email at hello@lightfantastic.tv. Our team would be delighted to discuss how Lightfantastic.tv can help you achieve your marketing goals.

Best regards,

Emily Wong
Marketing Representative
Lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the",
2,Universal Battery,+852 2330 2204,https://acdelco.com.hk/distributors/%E7%92%B0%E7%90%83%E6%B1%BD%E8%BB%8A%E9%9B%BB%E6%B1%A0%E9%9B%BB%E5%99%A8%E5%86%B7%E6%B0%A3%E5%85%AC%E5%8F%B8,service@acdelco.com.tw,4.5,133 reviews,"Lucky Court, 38號 Mok Cheong St, To Kwa Wan, Hong Kong",100,🔥 High Priority,New,No,2026-07-14 19:14:24,"Subject Line: Unlock the Power of Outdoor Advertising in Hong Kong with lightfantastic.tv

Dear Universal Battery,

I came across your website and noticed that you're a reputable distributor of automotive products in Hong Kong. As a business owner in this competitive market, I'm sure you're always looking for innovative ways to reach your target audience and increase brand visibility.

That's where lightfantastic.tv comes in – a cutting-edge out-of-home advertising platform that puts your brand on the streets of Hong Kong. With our unique digital screens strategically located across the city, you can effectively engage with potential customers and boost your brand's reputation.

By partnering with lightfantastic.tv, you can reserve a full peak season and save against booking each window individually. This means you can plan your advertising campaigns with confidence, knowing that you have a guaranteed spot at a fixed rate.

To make things even more exciting, we're offering a special promotion for Singles' Day from November 5th to 11th. For just HK$120,000 per window, you can take advantage of our premium advertising slots and reach a wider audience.

If you're interested in learning more about how lightfantastic.tv can help Universal Battery achieve its marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Looking forward to hearing from you!

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong",
3,28CarParts 網上汽車零件,+852 9228 0948,https://www.28carparts.com/,sales@28carparts.com,4.9,96 reviews,"1410, 1-15 Kwai Fung Cres, Kwai Chung, Hong Kong",97,🔥 High Priority,New,No,2026-07-14 19:14:24,"Subject Line: Unlock Peak Season Advertising Opportunities with lightfantastic.tv

Hi 28CarParts 網上汽車零件 Team,

I came across your exceptional online presence and impressive 4.9-star rating on https://www.28carparts.com/, and I'm excited to introduce lightfantastic.tv, a leading out-of-home advertising platform in Hong Kong.

Our unique solution allows you to reach a wider audience by placing your brand on four strategically located windows, providing an unparalleled visibility and engagement. By reserving the full peak season, you'll not only secure prime advertising slots but also save against booking each window individually.

To make this opportunity even more enticing, we're offering a special promotion during the upcoming Singles' Day (5-11 Nov 2026). For a limited time, you can secure each window at an unbeatable price of HK$120,000, perfect for maximizing your brand's exposure during one of the busiest shopping periods of the year.

If you're interested in taking your advertising to the next level, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be delighted to discuss how lightfantastic.tv can help you achieve your marketing goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong - Put your brand on the streets of Hong Kong.",
4,Nam Kee Battery Co.,+852 2396 6494,No Website,No Website,4.6,46 reviews,"90 Hak Po St, Mong Kok, Hong Kong",59,⭐ Medium Priority,New,No,2026-07-14 19:14:24,"Subject: Elevate Your Brand in the Heart of Hong Kong - Exclusive Offer Inside

Dear Nam Kee Battery Co. Team,

I came across your company, Nam Kee Battery Co., and was impressed by your 4.6-star rating - a testament to your commitment to quality. As a business owner in Hong Kong, you understand the importance of being seen and recognized by your target audience.

Lightfantastic.tv is an innovative platform that enables you to take your brand to the streets of Hong Kong, literally. With our unique digital displays, you can engage with potential customers in the heart of the city. By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately boost sales.

Imagine having your brand on four prominent windows in Hong Kong for a fraction of the cost. Our special offer, tailored specifically for businesses like yours, is available during the upcoming Singles' Day (5-11 Nov 2026). For just HK$120,000 per window, you can reserve a spot and reach thousands of potential customers.

Don't miss this opportunity to elevate your brand and make a lasting impression on the streets of Hong Kong. To learn more about this exclusive offer and how lightfantastic.tv can support your business, please reply to this email at hello@lightfantastic.tv.

Best regards,

Emily Wong
Business Development Manager
Lightfantastic.tv",
5,星耀行汽車電池專門店,+852 6632 2263,No Website,No Website,5,5 reviews,"Hong Kong, Yau Tong, Sze Shan St, 4號, Wah Fai Industrial Building, 2樓",57,⭐ Medium Priority,New,No,2026-07-14 19:14:24,"Subject: Reach Thousands with Lightfantastic.tv this Singles' Day

Dear 星耀行汽車電池專門店 Team,

I came across your business and was impressed with the excellent 5-star rating you've achieved. As a leader in the automotive battery industry, it's no surprise to me that you're looking for innovative ways to reach your target audience.

At lightfantastic.tv, we specialize in out-of-home advertising, putting your brand on the streets of Hong Kong. Our unique, four-window system allows for maximum visibility and exposure, helping you to reach a massive audience and drive brand awareness.

By partnering with us, businesses like yours have seen significant increases in foot traffic and sales. Imagine your brand being seen by thousands of potential customers every day, creating a lasting impression that drives results.

This Singles' Day, don't miss out on an incredible opportunity to amplify your marketing efforts. Book our full peak season package for a special offer of just HK$120,000 per window (Nov 5-11, 2026). Reserve all four windows and save even more!

If you're interested in learning more about how lightfantastic.tv can help take your business to the next level, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd love to discuss your marketing goals and create a customized solution that suits your business needs.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong",
6,Wah Shing Battery & Auto Supply,+852 2770 8728,http://www.wsbattery-autoparts.com.hk/,renigade@mediaone.net,4,2 reviews,"35 Kam Lam St, Mong Kok, Hong Kong",85,🔥 High Priority,New,No,2026-07-14 19:14:24,"Subject: Elevate Your Brand's Visibility in Hong Kong with Lightfantastic.tv

Dear Wah Shing Battery & Auto Supply Team,

I came across your website and was impressed by the comprehensive range of products and services you offer to the automotive industry in Hong Kong. As a business owner in this competitive market, you understand the importance of standing out and reaching your target audience effectively.

At Lightfantastic.tv, we specialize in out-of-home advertising solutions that can help businesses like yours increase brand awareness and drive customer engagement. Our innovative display network features stunning visuals and eye-catching messaging, making it an ideal platform for businesses to showcase their brand on the streets of Hong Kong.

By partnering with us, you can reserve the full peak season and save against booking each window on its own. This means you can plan ahead and optimize your advertising strategy to maximize your ROI. Plus, we're excited to offer a special promotion for Singles' Day from November 5th to 11th, 2026, where you can book each window for just HK$120,000.

If you're interested in learning more about how Lightfantastic.tv can help elevate your brand's visibility and drive sales, I'd be happy to schedule a call to discuss further. Simply reply to this email or reach out to us directly at hello@lightfantastic.tv.

Looking forward to the possibility of working together!

Best regards,

Emily Wong
Sales Representative
Lightfantastic.tv
Out-of-home advertising, Hong Kong",
7,愛車堡 Motoshop,+852 9068 7559,https://www.motoshophk.com/,aec31088a6fb4f6eafac028a91e1cf21@o769852.ingest.sentry.io,4.6,160 reviews,"G/F, 81 Apliu St, Tong Mi, Hong Kong",100,🔥 High Priority,New,No,2026-07-14 19:14:24,"Subject Line: Unlock Peak Season with Outdoor Advertising Solutions

Dear 愛車堡 Motoshop Team,

I've come across your excellent 4.6-star rated shop on https://www.motoshophk.com/ and thought you might be interested in exploring outdoor advertising options to elevate your brand presence in Hong Kong. Our platform, lightfantastic.tv, offers a unique opportunity to showcase your brand on the streets of Hong Kong, reaching a vast and engaged audience.

At lightfantastic.tv, we understand the importance of capturing the attention of potential customers in a crowded market. By partnering with us, you can reserve all four of our windows for a competitive price of HK$400,000, ensuring maximum visibility and impact throughout the peak season.

However, we're excited to announce a special offer just for you! As part of our Singles' Day promotion (Nov 5-11, 2026), you can book any of our windows for HK$120,000, providing an unbeatable opportunity to reach a broader audience without breaking the bank.

If you're interested in learning more about how lightfantastic.tv can amplify your brand's reach and engagement, I'd be delighted to schedule a call to discuss further. Simply reply to this email or contact us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong.",
8,鴻記電池輪胎 Hung Kee Battery & Tyre Services,+852 2552 1650,https://www.sifu24.com.hk/zh-hk/car-services/tire-services/,Email Not Found,4.4,130 reviews,"香港仔田灣漁歌街3號地下 3 Yue Ko St, Tin Wan, Aberdeen, Hong Kong",80,🔥 High Priority,New,No,2026-07-14 19:14:24,"Subject: Unlock the Power of Out-of-Home Advertising in Hong Kong

Dear Hung Kee Battery & Tyre Services Team,

I came across your website, sifu24.com.hk, and was impressed with the high standard of service you provide to the community. As a local business, I'm sure you understand the importance of reaching your target audience effectively. That's where lightfantastic.tv comes in – we offer a unique opportunity to put your brand on the streets of Hong Kong, increasing brand awareness and driving customer engagement.

Our LED display network covers all four major windows in Hong Kong, providing unparalleled visibility to over 2 million viewers daily. By partnering with us, you can reserve the full peak season and save against booking each window on its own. This means you can reach a broader audience, increase brand recognition, and ultimately drive more sales for your business.

As a special treat for Singles' Day, we're offering an exclusive promotion from November 5th to 11th: HK$120,000 per window – a significant discount that won't last long. Don't miss this chance to elevate your marketing strategy and make a lasting impression on Hong Kong's residents and visitors.

If you're interested in learning more about this opportunity, please reply to hello@lightfantastic.tv or give us a call. We'd be happy to discuss how lightfantastic.tv can help take your business to the next level.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv",
9,Lube City Company,+852 3590 2020,https://www.facebook.com/lubecitycompany/,Email Not Found,4.2,128 reviews,"7號 Palm St, Tai Kok Tsui, Hong Kong",80,🔥 High Priority,New,No,2026-07-14 19:14:24,"Subject Line: Elevate Your Brand in Hong Kong's Bustling Streets

Hi Lube City Company Team,

I came across your Facebook page (https://www.facebook.com/lubecitycompany/) and noticed your 4.2-star rating - a testament to the excellent service you provide to your customers. As a business owner, you're likely always looking for innovative ways to connect with your audience and increase brand visibility.

That's where lightfantastic.tv comes in. Our out-of-home advertising platform allows you to put your brand on the streets of Hong Kong, reaching a massive and engaged audience. Imagine having your message displayed on four prominent windows for an affordable HK$400,000, reserving the peak season and saving money compared to booking each window individually.

To make it even more exciting, we have a special offer just for you: during Singles' Day (5-11 Nov 2026), each window is available for HK$120,000. This is a fantastic opportunity to boost your brand awareness and drive sales without breaking the bank.

If you're interested in learning more about how lightfantastic.tv can help Lube City Company reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong.",
10,Max Power Auto Workshop,No Phone Number,No Website,No Website,4.7,38 reviews,"Shop 6, G/F, 34-36 Au Pui Wan Street,, Veristrong Industrial Centre, Fo Tan Sha Tin, Hong Kong",49,⭐ Medium Priority,New,No,2026-07-14 19:14:24,"Subject: Put Your Brand on the Streets of Hong Kong - Exclusive Offer

Dear Max Power Auto Workshop,

I came across your excellent 4.7-star rating on local reviews and was impressed by the exceptional services you offer to your customers. As a business in the auto repair industry, you must be constantly looking for innovative ways to reach new customers and stay top of mind.

At lightfantastic.tv, we specialize in out-of-home advertising in Hong Kong, helping businesses like yours connect with their target audience in a unique and impactful way. Our lightboxes are strategically located in high-traffic areas, providing an unparalleled opportunity for brand visibility and awareness.

To help you make the most of the upcoming peak season, we're excited to offer an exclusive discount on our lightbox rentals. From November 5th to 11th, take advantage of our Singles' Day promotion and rent a single lightbox for just HK$120,000.

Imagine your brand shining bright on the streets of Hong Kong, reaching thousands of potential customers every day. By partnering with us, you can reserve a prime spot and save time and resources compared to booking individual lightboxes.

To learn more about this exciting opportunity and reserve your spot, simply reply to this email at hello@lightfantastic.tv or give us a call. We'd be delighted to discuss the details and answer any questions you may have.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put",
