No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Kwiksure Motor Insurance,+852 3113 2112,http://www.kwiksure.com/,business@2x.png,4.8,267 reviews,"Hong Kong, Kwun Tong, Hung To Rd, 1號, 37/F Unit 15-20",100,🔥 High Priority,New,No,2026-07-14 21:20:40,"Subject: Put Your Brand on the Streets of Hong Kong with Lightfantastic.tv

Hello Kwiksure Motor Insurance Team,

I hope this email finds you well. My name is Emily from Lightfantastic.tv, and I came across your exceptional 4.8-star rating on Kwiksure.com. You've built a reputation for providing top-notch motor insurance services to the people of Hong Kong.

At Lightfantastic.tv, we believe in creating impactful out-of-home advertising experiences that connect with your target audience. Our digital screens are strategically placed across Hong Kong, ensuring maximum visibility and engagement. By partnering with us, you can amplify your brand message, drive conversions, and stay ahead of the competition.

This Singles' Day, we're offering an unbeatable deal for businesses like yours. From November 5th to 11th, take advantage of HK$120,000 per window, a 70% discount from our standard rate. Don't miss this opportunity to elevate your brand presence in the city.

To learn more about this limited-time offer and how Lightfantastic.tv can help drive your business forward, please reply to this email at hello@lightfantastic.tv or give me a call at your convenience.

Looking forward to hearing from you.

Best regards,

Emily
Sales Representative
Lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
2,i-Brokers,+852 3757 9527,http://www.i-brokers.com/,user@domain.com,4.7,70 reviews,"15F, 41 Connaught Rd Central, Central, Hong Kong",97,🔥 High Priority,New,No,2026-07-14 21:20:40,"Subject: Unlock Peak Season Success for i-Brokers

Dear i-Brokers Team,

I hope this email finds you well. My name is Emily Wong, and I'm a sales representative from lightfantastic.tv, Hong Kong's leading out-of-home advertising platform. We've been monitoring your business, and we're impressed with the 4.7-star rating on your website - http://www.i-brokers.com/. That's a testament to your commitment to excellence.

At lightfantastic.tv, we help businesses like yours reach their target audience effectively. Our platform allows you to showcase your brand on the streets of Hong Kong, increasing visibility and driving foot traffic to your stores. By partnering with us, you can reserve the full peak season and save against booking each window individually, making it a cost-effective solution for your out-of-home advertising needs.

To make it even more attractive, we're offering a special promotion for Singles' Day from November 5th to 11th, 2026. For just HK$120,000 per window, you can put your brand on the streets of Hong Kong and capitalize on the festive spirit. This is a unique opportunity to boost your brand's presence and drive sales.

If you're interested in learning more about how lightfantastic.tv can help i-Brokers achieve its marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call and discuss how our",
3,Navigator Insurance Brokers Ltd,+852 2530 2530,http://www.navigator-insurance.com/,crew@navigator-insurance.com,5,79 reviews,"Golden Sun Centre, Unit E, 8/F, 59-67 Bonham Strand W, Sheung Wan, Hong Kong",97,🔥 High Priority,New,No,2026-07-14 21:20:40,"Subject: Unlock the Power of Out-of-Home Advertising in Hong Kong

Dear Navigator Insurance Brokers Ltd Team,

I came across your company, Navigator Insurance Brokers Ltd, and was impressed by your 5-star rating on http://www.navigator-insurance.com/. As a marketing professional with a keen eye for innovative advertising solutions, I wanted to introduce you to lightfantastic.tv - a cutting-edge out-of-home advertising platform that can help you reach your target audience in the heart of Hong Kong.

With lightfantastic.tv, you can take your marketing efforts to the next level by putting your brand on the streets of Hong Kong. Our platform offers a unique opportunity to reserve four high-visibility windows for a fixed price of HK$400,000, giving you the flexibility to plan your advertising campaigns with ease and save against booking each window individually.

As we approach the peak season, I'd like to let you know about an exciting special offer that won't be around for long. This Singles' Day (5-11 Nov 2026), we're offering an unbeatable deal of HK$120,000 per window. Don't miss this chance to elevate your brand's visibility and reach a wider audience in Hong Kong.

If you're interested in learning more about this incredible opportunity, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand",
4,Blue Cross (Asia-Pacific) Insurance Ltd,+852 2839 6333,https://www.bluecross.com.hk/,cs@bluecross.com.hk,4.2,199 reviews,"54樓, 合和中心, 183號 Queen's Rd E, Wan Chai, Hong Kong",95,🔥 High Priority,New,No,2026-07-14 21:20:40,"Subject Line: Amplify Your Brand's Visibility in Hong Kong's Bustling Streets

Dear Blue Cross (Asia-Pacific) Insurance Ltd,

I came across Blue Cross's excellent rating of 4.2 on your website, and I'm impressed by your commitment to providing top-notch insurance services to the community. As a marketing expert, I'm excited to introduce you to lightfantastic.tv, a cutting-edge out-of-home advertising platform that can help you reach a wider audience in Hong Kong.

Our platform offers a unique opportunity to reserve all four windows for a discounted rate of HK$400,000, allowing you to dominate the city's streets with your brand message. However, we're currently running a special promotion for Singles' Day from November 5 to 11, 2026, where you can book each window for just HK$120,000. This is a fantastic chance to boost your brand's visibility and reach millions of potential customers.

By partnering with lightfantastic.tv, you can:

- Increase brand awareness and reach a wider audience
- Drive traffic to your website and physical stores
- Enhance your brand's reputation and credibility
- Target specific demographics and interests

If you're interested in learning more about our platform and how it can benefit Blue Cross, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be delighted to discuss your marketing goals and create a customized solution for you.

Looking forward to hearing from you and exploring how",
5,CCW Global Hong Kong,+852 2114 2840,https://hk.ccw-global.com/,info@ccw-global.com,4.7,11 reviews,"11/F Unit 4 - 6 Strand 50, 50 - 54 Bonham Strand, Sheung Wan, Hong Kong",92,🔥 High Priority,New,No,2026-07-14 21:20:40,"Subject: Boost Your Brand's Visibility in Hong Kong with Lightfantastic.tv

Hi CCW Global Hong Kong Team,

I came across your website (https://hk.ccw-global.com/) and noticed that you have an impressive rating of 4.7. Your commitment to delivering exceptional services to your clients resonates with our mission at lightfantastic.tv. As a leading out-of-home advertising platform in Hong Kong, we help businesses like yours reach their target audience effectively.

By partnering with lightfantastic.tv, you can elevate your brand's visibility and reach the masses in prime locations throughout Hong Kong. Our innovative platform allows you to reserve a full peak season in advance, saving you money compared to booking individual windows. This strategic approach ensures that your message reaches the right people at the right time.

To celebrate Singles' Day, we're offering an exclusive deal from November 5th to 11th, 2026. Reserve any of our four windows for HK$120,000 each, a significant discount from our regular pricing. Don't miss this opportunity to amplify your brand's presence in the city.

If you're interested in learning more about how lightfantastic.tv can support your marketing efforts, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a consultation and explore how our platform can benefit your business.

Warm regards,

Emily Lee
Business Development Manager
lightfantastic.tv
Out-of-home advertising, Hong Kong |",
6,Pacific Prime Hong Kong,+852 3113 6886,http://www.pacificprime.hk/,Email Not Found,4.6,39 reviews,"Units 1-11, 35/F, 1 Hung To Rd, Kwun Tong, Hong Kong",79,🔥 High Priority,New,No,2026-07-14 21:20:40,"Subject: Unlock Peak Season Opportunities in Hong Kong

Hi Pacific Prime Hong Kong Team,

I hope this email finds you well. As a representative from lightfantastic.tv, I've been following your impressive growth and excellent 4.6-star rating on http://www.pacificprime.hk/. Our out-of-home advertising solutions can help amplify your brand's presence in Hong Kong, reaching a high foot traffic and engagement.

Our network of 4 windows provides an unparalleled opportunity for businesses like yours to make a lasting impression. By reserving the full peak season, you can save compared to booking each window individually. Imagine your brand on the streets of Hong Kong, consistently visible to thousands of potential customers.

We're excited to announce a special offer for Singles' Day: from November 5th to 11th, 2026, you can secure each of our 4 windows for HK$120,000. This is an unbeatable chance to elevate your brand's visibility and drive engagement during one of the busiest shopping periods in Hong Kong.

If you're interested in learning more about this offer or would like to reserve your space, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss how our solutions can help Pacific Prime Hong Kong achieve its marketing goals.

Best regards,

Emily Wong
Business Development Manager
lightfantastic.tv
 Out-of-home advertising, Hong Kong
 Put your brand on the streets of Hong Kong.",
7,MGG Insurance Brokers,+852 2877 8006,http://www.mgginsurance.com/,Email Not Found,5,10 reviews,"RM 1001-1003, 10/F, Bonham Trade Centre, 50-54 Bonham Strand, Sheung Wan, Hong Kong",77,🔥 High Priority,New,No,2026-07-14 21:20:40,"Subject Line: Elevate Your Brand in Hong Kong with Lightfantastic.tv

Hi MGG Insurance Brokers Team,

I came across your exceptional insurance brokerage services at http://www.mgginsurance.com/ and noticed your outstanding 5-star rating - congratulations! As a fellow business enthusiast, I'd like to introduce you to lightfantastic.tv, the ultimate out-of-home advertising solution for Hong Kong.

Our innovative platform allows you to showcase your brand on the city's busiest streets, reaching a captive audience of millions. By partnering with us, you can create meaningful connections with your target market, driving brand awareness, and ultimately, boosting your bottom line.

We've got an exciting opportunity for you, especially with the upcoming Singles' Day promotion on November 5-11, 2026. For a limited time, you can reserve a window for HK$120,000 - a remarkable value considering the peak season rates.

Don't miss out on this chance to amplify your brand presence in Hong Kong. If you're interested in learning more about lightfantastic.tv and how we can help MGG Insurance Brokers achieve your marketing goals, please reply to hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong",
8,Azure Risk Limited,+852 2319 4143,http://www.azure-risk.com/,enquiry@azure-risk.com,5,11 reviews,"Ste 902, Li-Ning Building, 218 Electric Rd, North Point, Hong Kong",92,🔥 High Priority,New,No,2026-07-14 21:20:40,"Subject: Boost Your Brand Visibility in Hong Kong with lightfantastic.tv

Dear Azure Risk Limited Team,

I came across Azure Risk Limited and was impressed by your excellent 5-star rating on your website. As a forward-thinking company, you likely understand the importance of effective outdoor advertising in reaching your target audience.

At lightfantastic.tv, we specialize in out-of-home advertising in Hong Kong, offering a unique platform to showcase your brand on the city's vibrant streets. Our innovative digital screens are strategically placed in high-traffic areas, providing unparalleled visibility and engagement for your brand.

By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately boost sales. Our customizable campaigns allow you to tailor your message to your audience, ensuring maximum impact.

To help you make the most of the upcoming peak season, we're excited to offer a special promotion for Singles' Day from November 5th to 11th, 2026. For just HK$120,000 per window, you can reserve your ad space and reach millions of potential customers.

If you're interested in learning more about how lightfantastic.tv can elevate your brand's visibility in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
9,Trusted Union - Insurance Broker,+852 3643 1550,http://www.trustedunion.com/,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,4.8,21 reviews,"21/F, The Hive, 23 Luard Rd, Wan Chai, Hong Kong",94,🔥 High Priority,New,No,2026-07-14 21:20:40,"Subject: Elevate Your Brand in the Heart of Hong Kong

Dear Trusted Union,

As a trusted insurance broker with a 4.8-star rating, you're already making waves in the industry. However, we believe that your business can reach even greater heights with the right marketing strategy. That's where lightfantastic.tv comes in – a cutting-edge out-of-home advertising platform that puts your brand on the streets of Hong Kong.

Our LED display network features four high-traffic windows in prime locations, guaranteed to maximize your brand's visibility. By reserving all four windows with us, you can secure the entire peak season and enjoy significant savings compared to booking individual windows. For a limited time, this exclusive offer is available for just HK$400,000.

But don't miss out on an even bigger opportunity. We're offering a special promotion for Singles' Day, taking place from November 5th to 11th, 2026. For just HK$120,000 per window, you can shine a spotlight on your brand and reach an even broader audience.

Don't let this chance pass you by. Get in touch with us today at hello@lightfantastic.tv to reserve your spot and take your marketing campaign to the next level.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong - Put your brand on the streets of Hong Kong.",
10,Motor Insurers' Bureau of Hong Kong,+852 2866 9681,http://www.mibhk.com.hk/,mibhk@mibhk.com.hk,5,1 reviews,"Hong Kong, Wan Chai, Gloucester Rd, 51-57號",90,🔥 High Priority,New,No,2026-07-14 21:20:40,"Subject Line: Unlock the Power of Out-of-Home Advertising in Hong Kong

Dear Motor Insurers' Bureau of Hong Kong Team,

I hope this email finds you well. My name is Emily, and I'm a sales representative from lightfantastic.tv - the leading out-of-home advertising platform in Hong Kong. As you may know, we're dedicated to helping businesses like yours reach their target audience in a dynamic and engaging way.

We understand the importance of effective marketing in the insurance industry, which is why we believe that our platform can significantly contribute to your business goals. By partnering with us, you can increase brand awareness, drive website traffic, and ultimately, boost sales. Our unique approach to out-of-home advertising allows you to reach a large and diverse audience in Hong Kong's busiest and most prominent areas.

As a valued business, we're excited to offer you an exclusive deal for Singles' Day, from November 5th to 11th, 2026. For this limited time, you can reserve any of our four windows for an unbeatable price of HK$120,000 per window. This is a great opportunity to make a lasting impression on your target audience and save against booking each window on its own.

If you're interested in learning more about this offer or would like to discuss how lightfantastic.tv can help your business thrive, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be more than happy to schedule a meeting",
