No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,LIT MOTORS HK,+852 9839 2359,https://litmotorshk.com/,lit.motorshk@gmail.com,4.8,74 reviews,"69 Peking Road, Universal Commercial Building 8/F Unit 801-804, Tsim Sha Tsui, Hong Kong",97,🔥 High Priority,New,No,2026-07-14 18:00:49,"Subject: Unlock the Power of Outdoor Advertising in Hong Kong

Dear LIT MOTORS HK Team,

I came across your exceptional services at https://litmotorshk.com/ and was impressed by your 4.8-star rating. As a sales representative at lightfantastic.tv, I'd love to introduce you to our innovative out-of-home advertising solution that can elevate your brand's visibility in Hong Kong.

Imagine putting your brand on the streets of Hong Kong, where thousands of potential customers pass by every day. Our platform offers a unique opportunity to reserve all four windows for a fixed price of HK$400,000, ensuring you save against booking each window individually. This not only secures your brand's presence during peak season but also allows you to create a cohesive marketing strategy.

To make it even more compelling, we're offering a special promotion for Singles' Day: from November 5th to 11th, 2026, you can secure one of our windows for HK$120,000. This is a limited-time opportunity to amplify your brand's reach and impact in the region.

If you're interested in learning more about how lightfantastic.tv can help LIT MOTORS HK reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss your marketing goals and tailor a solution that suits your needs.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Unlock the Power of Outdoor Advertising",
2,Vin's Motors Company LTD,+852 2571 5695,http://www.vinsmotors.com.hk/,nathan@vinmotors.com.hk,4.8,95 reviews,"G/F, 42 Tin Hau Temple Rd, North Point, Hong Kong",97,🔥 High Priority,New,No,2026-07-14 18:00:49,"Subject: Unlock the Power of Outdoor Advertising in Hong Kong

Dear Vin's Motors Company LTD Team,

I came across your outstanding 4.8-star rating on http://www.vinsmotors.com.hk/ and was impressed by your commitment to excellence. As a specialist in out-of-home advertising, I'd like to introduce you to lightfantastic.tv, a game-changing platform that helps businesses like yours stand out in the bustling streets of Hong Kong.

Our cutting-edge LED displays are strategically located across the city, generating massive brand awareness and driving foot traffic to your business. With lightfantastic.tv, you can effortlessly reach a targeted audience and create lasting impressions, setting your brand apart from the competition.

To help you capitalize on the peak season, we're excited to offer an exclusive Singles' Day deal from November 5th to 11th, 2026. For just HK$120,000 per window, you can reserve our stunning visuals and make a lasting impact on the streets of Hong Kong.

Don't miss this opportunity to reserve a window now and take your brand to the next level. If you're interested in learning more about how lightfantastic.tv can elevate your marketing efforts, please reply to this email at hello@lightfantastic.tv.

Looking forward to hearing from you and helping Vin's Motors Company LTD shine brighter than ever.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the",
3,BuyCar.hk,No Phone Number,https://www.buycar.hk/?utm_source=local&utm_medium=organic&utm_campaign=my_google_business,terms@buycar.hk,4.8,102 reviews,"Hong Kong, Cheung Sha Wan, Tai Nan W St, 1008號, 華匯廣場, 1502室",90,🔥 High Priority,New,No,2026-07-14 18:00:49,"Subject Line: Elevate Your Brand Visibility in Hong Kong with lightfantastic.tv

Dear BuyCar.hk Team,

I came across your excellent website at https://www.buycar.hk/ and noticed your strong online presence in Hong Kong. As a fellow business owner, I understand the importance of extending your brand reach beyond digital platforms. That's where lightfantastic.tv comes in – a unique out-of-home advertising solution that lets you connect with your target audience on the streets of Hong Kong.

Our innovative approach offers a comprehensive 4-window package at an unbeatable price of HK$400,000. By reserving the full peak season, you can save significantly compared to booking individual windows. Not only will you increase brand visibility, but also create lasting impressions on potential customers.

As you prepare for the upcoming Singles' Day on November 5-11, 2026, we're offering an exclusive promotion: book any of our windows at a special rate of HK$120,000 per window. This is a fantastic opportunity to amplify your marketing efforts and reach a wider audience.

If you're interested in learning more about how lightfantastic.tv can help BuyCar.hk take your branding to the next level, please don't hesitate to reach out at hello@lightfantastic.tv. I'd be more than happy to schedule a call to discuss your specific needs and goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong",
4,Hong Kong Motor City,+852 2768 1011,http://www.motorcity.hk/,sales@motorcity.hk,4.2,15 reviews,"Dah Chong Hong Group Building, 20號 Kai Cheung Rd, Kowloon Bay, Hong Kong",87,🔥 High Priority,New,No,2026-07-14 18:00:49,"Subject: Take Your Brand to New Heights in Hong Kong

Dear Hong Kong Motor City Team,

I came across your impressive 4.2-star rating on http://www.motorcity.hk/ and was impressed by your dedication to providing top-notch services to car enthusiasts in Hong Kong. As a sales representative for lightfantastic.tv, I'd like to introduce you to a game-changing outdoor advertising solution that can help take your brand to new heights.

Imagine showcasing your brand on all four windows of our LED displays in the heart of Hong Kong, reaching over 1 million people daily. By reserving the full peak season, you can save against booking each window individually and make a lasting impression on your target audience.

To celebrate Singles' Day this year, we're offering an exclusive deal: reserve one or all four windows from 5 to 11 November 2026 for HK$120,000 per window. This is a unique opportunity to amplify your brand's visibility during one of the busiest shopping periods of the year.

If you're interested in learning more about how lightfantastic.tv can help drive brand awareness and sales for Hong Kong Motor City, please don't hesitate to reach out to me directly at hello@lightfantastic.tv.

Looking forward to exploring how we can help your business shine in Hong Kong.

Best regards,

Emily Chan
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
5,Carro - To Kwa Wan,+852 3001 6749,https://carro.co/hk,carro@carro.co,4.9,1234 reviews,"163 Ma Tau Wai Rd, To Kwa Wan, Hong Kong",100,🔥 High Priority,New,No,2026-07-14 18:00:49,"Subject: Elevate Your Brand in Hong Kong with Lightfantastic.tv

Dear Carro - To Kwa Wan Team,

I came across your outstanding business and was impressed by your 4.9-star rating on https://carro.co/hk. As a leading car rental service in Hong Kong, your brand deserves to shine in the city's vibrant streets. That's where lightfantastic.tv comes in – an innovative out-of-home advertising platform that puts your brand right where your target audience is.

By partnering with us, you can amplify your reach and create lasting impressions on potential customers. Our unique approach allows you to reserve all four windows for a fixed price of HK$400,000, ensuring maximum visibility during peak seasons. This comprehensive solution not only saves you money but also streamlines your marketing efforts.

We're excited to announce an exclusive Singles' Day offer for you! From November 5th to 11th, book any window on our platform for just HK$120,000. This limited-time opportunity is perfect for boosting brand awareness and driving engagement with your target audience.

If you're interested in taking your marketing to the next level, simply reply to this email at hello@lightfantastic.tv. Our team will be delighted to discuss how lightfantastic.tv can help Carro - To Kwa Wan achieve its goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong",
6,DCH Certified Used Car,+852 2262 1118,https://www.dchucc.com/,icon-contact@3x.png,4.3,436 reviews,"Dah Chong Hong Group Building, 20號 Kai Cheung Rd, Kowloon Bay, Hong Kong",95,🔥 High Priority,New,No,2026-07-14 18:00:49,"Subject: Elevate Your Brand's Visibility in Hong Kong with Lightfantastic.tv

Dear DCH Certified Used Car,

As a reputable used car dealership in Hong Kong, I'm sure you're always looking for innovative ways to reach and engage with your target audience. At lightfantastic.tv, we understand the importance of effective out-of-home advertising in creating brand awareness and driving sales. Our state-of-the-art digital screens are strategically located across Hong Kong, allowing you to put your brand on the streets and reach a massive audience.

Our platform is designed to help businesses like yours increase brand visibility, drive foot traffic, and generate leads. By partnering with us, you can reserve a window for your brand and reach over 1 million viewers daily. Plus, with our Singles' Day offer from November 5th to 11th, you can book a window for just HK$120,000!

Don't miss this opportunity to amplify your brand's presence in Hong Kong. Reserve your spot now and start reaching your target audience in an impactful way. To learn more about our offerings and to book your window, please email us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
7,Lamborghini Wan Chai Showroom,+852 2900 6666,https://www.lamborghini.com/cn-en/%E7%BB%8F%E9%94%80%E5%95%86/lamborghini-%E5%85%B0%E5%8D%9A%E5%9F%BA%E5%B0%BC%E9%A6%99%E6%B8%AF,leo.wong@kingswaycars.com.hk,4.5,62 reviews,"1A Star St, Wan Chai, Hong Kong",97,🔥 High Priority,New,No,2026-07-14 18:00:49,"Subject Line: Unlock the Power of Out-of-Home Advertising in Hong Kong

Dear Lamborghini Wan Chai Showroom Team,

I came across your Lamborghini dealership in Wan Chai and was impressed by your excellent rating of 4.5. As a specialist in out-of-home advertising in Hong Kong, I believe our platform, lightfantastic.tv, can help you reach a wider audience and drive more sales.

Our platform offers a unique opportunity to reserve all four windows for HK$400,000, allowing you to save against booking each window on its own. This strategic approach enables you to maximize your brand's visibility in the heart of Hong Kong.

At lightfantastic.tv, we understand the importance of creating a lasting impression in a competitive market like Hong Kong. Our platform helps businesses like yours to effectively engage with potential customers and build brand awareness through our high-quality, large-format displays.

To celebrate Singles' Day, we're offering a special promotion: reserve your spot on our platform from November 5th to 11th and enjoy a discounted rate of HK$120,000 per window. This is a limited-time opportunity to elevate your marketing efforts and make a lasting impact on the streets of Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help your business thrive, I'd be delighted to schedule a call. Simply reply to this email at hello@lightfantastic.tv to get started.

Best regards,

Emily Wong
Sales Representative
lightfant",
8,Inchcape Used Car HK,+852 9030 9922,https://www.imusedcar.com.hk/tc,usedcar@inchcape.com.hk,5.0,3 reviews,"Centre Parc, 11 Sheung Yuet Rd, Kowloon Bay, Hong Kong",90,🔥 High Priority,New,No,2026-07-14 18:00:49,"Subject: Elevate Your Brand in the Heart of Hong Kong

Dear Inchcape Used Car HK Team,

I came across your website, https://www.imusedcar.com.hk/tc, and was impressed by your excellent 5-star rating. As a local business, I believe you understand the importance of being visible in the city's vibrant streets.

At lightfantastic.tv, we specialize in out-of-home advertising that effectively reaches and engages your target audience in Hong Kong. Our high-quality digital screens are strategically placed in key locations, providing unparalleled visibility for your brand. By partnering with us, you can:

- Increase brand awareness and reach a wider audience
- Drive foot traffic and sales to your business
- Enhance your brand's reputation and credibility

To make the most of the peak season, we're offering an exclusive Singles' Day promotion from November 5th to 11th. Book any of our windows for just HK$120,000, a significant saving compared to booking each window individually.

If you're interested in learning more about how lightfantastic.tv can elevate your brand in Hong Kong, please don't hesitate to reach out. You can contact us directly at hello@lightfantastic.tv.

Looking forward to discussing further.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
9,Vincent Motors Company Limited (Since 1980),+852 9307 0329,http://www.vincentmotors.com.hk/,sale@vincentmotors.com.hk,3.7,6 reviews,"14 Tin Hau Temple Rd, Tin Hau, Hong Kong",82,🔥 High Priority,New,No,2026-07-14 18:00:49,"Subject Line: Unlock the Potential of Hong Kong's Streets with lightfantastic.tv

Dear Vincent Motors Company Limited Team,

I came across your company, Vincent Motors Company Limited (Since 1980), and was impressed by your rich history and commitment to serving the automotive needs of Hong Kong. I'd like to introduce you to lightfantastic.tv, a cutting-edge out-of-home advertising platform that puts your brand on the streets of Hong Kong.

Imagine being able to reach a massive audience of potential customers with a single, eye-catching message. Our network of four high-impact windows allows you to reserve the full peak season and save against booking each window individually. By partnering with us, you can effectively increase brand awareness, drive sales, and outshine your competitors.

As a valued business in the heart of Hong Kong, I believe lightfantastic.tv can help elevate your brand's visibility and drive real results. And as a special offer, we're excited to announce a Singles' Day promotion from November 5th to 11th, where you can book each window for just HK$120,000.

If you're interested in learning more about how lightfantastic.tv can help take your business to the next level, I invite you to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call to discuss your specific advertising needs and goals.

Looking forward to hearing from you.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out",
10,The Automall,+852 3113 2111,http://www.automall.com.hk/,info@automall.com.hk,4.0,72 reviews,"Hong Kong Convention And Exhibition Centre, 1 Harbour Rd, Wan Chai, Hong Kong",92,🔥 High Priority,New,No,2026-07-14 18:00:49,"Subject Line: Elevate Your Brand Presence in Hong Kong with lightfantastic.tv

Dear The Automall Team,

I hope this email finds you well. I came across your impressive website at http://www.automall.com.hk/ and noticed your 4-star rating. As a sales representative from lightfantastic.tv, I'm excited to introduce our innovative out-of-home advertising solution that can help take your brand to the next level in Hong Kong.

Our digital billboards strategically located across the city can effectively reach your target audience, increasing brand awareness and driving business growth. With lightfantastic.tv, you can reserve our full peak season and save against booking each window individually, making it a cost-effective solution for your marketing needs.

As we approach the Singles' Day promotion, I'd like to offer you an exclusive deal. From November 5th to 11th, 2026, we're offering HK$120,000 per window, a significant discount for this limited-time period. Don't miss this opportunity to amplify your brand's visibility in Hong Kong.

If you're interested in learning more about how lightfantastic.tv can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be delighted to discuss your needs and provide a customized solution.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
