No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Sunlight Car stereo company limited,+852 2570 5099,No Website,No Website,5.0,3 reviews,"9 Watson Rd, Causeway Bay, Hong Kong",55,⭐ Medium Priority,New,No,2026-07-14 20:43:30,"Subject: Boost Your Brand's Visibility in Hong Kong

Dear Sunlight Car stereo company limited,

I came across your business and was impressed by your 5-star rating. As a professional in out-of-home advertising, I'd like to introduce you to lightfantastic.tv, a unique platform that allows you to put your brand on the streets of Hong Kong. Our LED screens are strategically placed in prominent locations, ensuring maximum visibility and foot traffic.

We understand that businesses like yours value effective advertising that drives results. lightfantastic.tv helps you reach your target audience by showcasing your brand in a dynamic and engaging way. Our platform is ideal for companies looking to increase brand awareness, drive sales, and stay ahead of the competition.

To make your advertising efforts even more impactful, we're offering a special promotion for Singles' Day, from 5 to 11 November 2026. Book any of our four available windows at an unbeatable rate of HK$120,000 per window.

If you're interested in maximizing your brand's visibility during this peak season, I'd be happy to discuss further. Simply reply to this email at hello@lightfantastic.tv or give me a call to explore how lightfantastic.tv can help take your business to the next level.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
2,Rapid Car Audio,+852 5541 9730,http://www.facebook.com/rapidcaraudio1,Email Not Found,4.0,24 reviews,"25D Chun Tin St, Hung Hom, Hong Kong",74,🔥 High Priority,New,No,2026-07-14 20:43:30,"Subject: Unlock the Streets of Hong Kong with lightfantastic.tv

Dear Rapid Car Audio Team,

I came across your Facebook page (http://www.facebook.com/rapidcaraudio1) and noticed your great ratings (4/5 stars)! As a business owner in Hong Kong, I'm sure you're always looking for innovative ways to reach your target audience. That's where lightfantastic.tv comes in – we're a leading out-of-home advertising platform that puts your brand on the streets of Hong Kong.

Our large-format digital screens in prime locations can help elevate your brand awareness, drive foot traffic, and reach a massive audience. At lightfantastic.tv, we offer an exclusive opportunity for you to reserve all four windows for a fixed price of HK$400,000, ensuring you secure the best spots during peak seasons and save against booking each window individually.

To celebrate Singles' Day, we're offering a special deal from November 5th to 11th, 2026. Book any window during this period and enjoy an unbeatable price of HK$120,000 per window. Don't miss this chance to take your brand to the next level!

If you're interested in learning more about how lightfantastic.tv can help Rapid Car Audio reach new heights, please reply to this email at hello@lightfantastic.tv. Our team would be delighted to discuss your advertising goals and create a customized solution tailored to your needs.

Looking forward to hearing from you soon!

Best",
3,Golden Dragon Car Audio Company,+852 9186 1588,No Website,No Website,4.7,6 reviews,"Apliu St, Sham Shui Po, Hong Kong",57,⭐ Medium Priority,New,No,2026-07-14 20:43:30,"Subject Line: Unlock the Power of Out-of-Home Advertising in Hong Kong

Dear Golden Dragon Car Audio Company Team,

I hope this email finds you well. My name is Emily Chan, and I'm a sales representative from lightfantastic.tv, the leading out-of-home advertising platform in Hong Kong. As a respected business in the industry with a 4.7-star rating, I believe you'll be interested in our innovative solution to reach your target audience effectively.

At lightfantastic.tv, we offer a unique opportunity to put your brand on the streets of Hong Kong through our network of high-impact digital displays. By partnering with us, you can increase brand visibility, drive foot traffic, and boost sales - all while enhancing your company's reputation in the market.

Our solution is particularly beneficial for businesses like yours, which rely on word-of-mouth and local customer loyalty. With lightfantastic.tv, you can create a lasting impression on your customers and establish a strong presence in the city.

To make it even more attractive, we're excited to offer a special promotion for Singles' Day, from November 5th to 11th, 2026. For a limited time, you can reserve our displays at an exclusive rate of HK$120,000 per window. This is an unbeatable opportunity to make the most of the peak season and save against booking each window on its own.

If you're interested in taking your brand to the next level, I'd love to schedule a",
4,神田汽車音響,+852 2319 1066,http://www.newmotorhk.com/,Email Not Found,4.2,33 reviews,"56 Poplar St, 地下, Hong Kong",74,🔥 High Priority,New,No,2026-07-14 20:43:30,"Subject Line: Unleash the Power of Out-of-Home Advertising in Hong Kong

Dear 神田汽車音響 Team,

I hope this email finds you well. As a sales representative from lightfantastic.tv, I've been following your success at http://www.newmotorhk.com/ and was impressed by your 4.2-star rating from satisfied customers.

At lightfantastic.tv, we specialize in out-of-home advertising solutions that help businesses like yours reach and engage with their target audience in Hong Kong. Our network of premium digital signage across the city offers unparalleled visibility and flexibility, allowing you to tailor your message to suit your marketing objectives.

By partnering with us, 神田汽車音響 can increase brand awareness, drive foot traffic, and ultimately boost sales. Our platform is perfect for reaching a diverse audience and creating a lasting impression.

To celebrate Singles' Day, we're offering an exclusive promotion from November 5th to 11th: HK$120,000 per window. This is an unbeatable opportunity to reserve your spot and save against booking each window individually.

If you're interested in learning more about this offer or would like to discuss how lightfantastic.tv can help your business thrive, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Looking forward to connecting with you.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong",
5,音色天下汽車音響,+852 3586 2299,http://www.theonecaraudio.com/,info@theonecaraudio.com,4.5,17 reviews,"九龍深水埗黄竹街33號地下, G/F., 33 Wong Chuk Street, Sham Shui Po, Kowloon., Sham Shui Po, Hong Kong",92,🔥 High Priority,New,No,2026-07-14 20:43:30,"Subject: Elevate Your Brand with Out-of-Home Advertising in Hong Kong

Dear 音色天下汽車音響 Team,

I hope this email finds you well. My name is Emily, and I represent lightfantastic.tv, Hong Kong's premier out-of-home advertising platform. We enable businesses like yours to connect with their target audience in a unique and impactful way, putting your brand on the streets of Hong Kong.

As an audio specialist with a 4.5-star rating on your website, I'm sure you understand the importance of standing out in a crowded market. That's where we come in. Our digital window displays can help you increase brand awareness, drive foot traffic, and ultimately boost sales. By reserving our peak-season windows, you can save against booking each window individually, making it a cost-effective solution for your business.

To celebrate Singles' Day, we're offering an exclusive promotion: HK$120,000 per window from November 5th to 11th, 2026. This is a fantastic opportunity to amplify your brand's presence in the heart of Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help your business thrive, I'd be happy to schedule a call to discuss the details. Simply reply to this email at hello@lightfantastic.tv, and I'll be in touch soon.

Looking forward to connecting with you!

Best regards,

Emily
Sales Representative
lightfantastic.tv
Out-of-home advertising",
6,Hifi Gear HK 音响配送,+852 3568 9817,https://hifigear.store/,uff1asales@hifigear.com.hk,4.5,25 reviews,"Rm 1935, Metro Centre II, 21 Lam Hing St, Kowloon Bay, Hong Kong",94,🔥 High Priority,New,No,2026-07-14 20:43:30,"Subject: Boost Your Brand on the Streets of Hong Kong

Hi Hifi Gear HK 音响配送 Team,

I came across your excellent online store, and I'm impressed by the 4.5-star rating and the wide range of quality audio equipment you offer. As a business owner in the competitive electronics market, you understand the importance of getting your brand noticed by the right audience.

At lightfantastic.tv, we specialize in out-of-home advertising in Hong Kong, helping businesses like yours reach new heights. By partnering with us, you can put your brand on the iconic windows of our digital displays, reaching millions of potential customers on the go.

This Singles' Day, from November 5th to 11th, we're offering an unbeatable deal: HK$120,000 per window, a significant saving compared to booking individual windows. Imagine the exposure you'll get, especially during the peak shopping season!

If you're interested in taking your brand to the next level, I'd love to discuss how lightfantastic.tv can help. Simply reply to this email at hello@lightfantastic.tv or give me a call to schedule a meeting.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
7,威一系汽車用品音響公司,+852 2384 3876,No Website,No Website,3.7,19 reviews,"Hong Kong, Mong Kok, Shantung St, 71号號",47,⭐ Medium Priority,New,No,2026-07-14 20:43:30,"Subject Line: Elevate Your Brand in Hong Kong with Lightfantastic.tv

Dear 威一系汽車用品音響公司 Team,

I came across your business and was impressed by the excellent 3.7-star rating you've achieved. As a company that values quality and customer satisfaction, I think you'll appreciate the innovative approach we offer at lightfantastic.tv. We're a leading out-of-home advertising platform that helps businesses like yours capture the attention of a vast audience in the heart of Hong Kong.

Our unique approach allows you to place your brand on the streets of Hong Kong, reaching a diverse and active demographic. By reserving our peak-season windows, you can enjoy substantial savings compared to booking individual windows. Take all four windows, and you'll be making a statement that's hard to ignore – all for a one-time investment of HK$400,000.

But that's not all. This Singles' Day (5-11 Nov 2026), we're offering an unbeatable deal. Book any of our windows for HK$120,000, and you'll be capitalizing on the busiest shopping season in Hong Kong. Don't miss out on this incredible opportunity to boost your brand's visibility and drive sales.

If you're interested in learning more about how lightfantastic.tv can help your business thrive, please reply to this email at hello@lightfantastic.tv. Our dedicated team will be happy to guide you through the process and answer any questions you may have",
8,弦聲汽車音響,+852 6932 2040,No Website,No Website,5.0,5 reviews,"Hong Kong, Sham Shui Po, Apliu St, 28號, 號地下",57,⭐ Medium Priority,New,No,2026-07-14 20:43:30,"Subject Line: Unlock the Streets of Hong Kong for Your Business

Dear 弦聲汽車音響 Team,

I came across your business and was impressed by your 5-star rating! As a local business owner, you're likely aware of the importance of standing out in a crowded market. That's where lightfantastic.tv comes in - we're a leading out-of-home advertising platform that helps brands like yours reach their target audience in Hong Kong.

Our network of digital screens across the city provides unparalleled visibility and reach, allowing you to put your brand on the streets of Hong Kong. By partnering with us, you'll be able to increase brand awareness, drive foot traffic, and ultimately boost sales.

This Singles' Day, from November 5th to 11th, is the perfect opportunity to amplify your marketing efforts. For a limited time, we're offering an unbeatable deal: HK$120,000 per window. This is a fraction of the cost of booking each window individually, and it's a chance to reserve the full peak season.

If you're interested in learning more about how lightfantastic.tv can help your business shine, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd love to schedule a call to discuss your goals and explore how our platform can support your marketing strategy.

Best regards,

Emily Lee
Sales Representative
lightfantastic.tv",
9,天利行汽車音響 SKYWIN CAR AUDIO,+852 2442 3168,https://www.facebook.com/skywinautoparts/,Email Not Found,4.3,19 reviews,"Hong Kong, Yuen Long, Kin Tak St, 18號, Fu On Building, 地下4號舖",72,🔥 High Priority,New,No,2026-07-14 20:43:30,"Subject: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear 天利行汽車音響 SKYWIN CAR AUDIO Team,

I came across your business on Facebook and was impressed with the high-quality services you offer to car owners in Hong Kong. As a marketing professional, I believe I can help you take your brand to the next level by leveraging out-of-home advertising.

Lightfantastic.tv is a cutting-edge digital display network that brings your brand to life in the heart of Hong Kong. Our unique, large-format displays are strategically located in prime areas, creating a powerful impact on your target audience. By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately boost sales.

As a business like yours, you understand the importance of effective marketing. That's where lightfantastic.tv comes in – we help you reach a wider audience, engage with potential customers, and stay ahead of the competition.

For a limited time, we're offering an unbeatable deal for Singles' Day (5-11 Nov 2026): HK$120,000 per window. This is an incredible opportunity to reserve multiple windows and save significantly on your advertising budget.

If you're interested in learning more about how lightfantastic.tv can support your business goals, please don't hesitate to reach out. Simply reply to this email or contact us at hello@lightfantastic.tv.

Looking forward to hearing from you soon!

Best regards,
Emily Wong
Marketing Representative",
10,K&K 汽車影音中心,+852 9507 2929,No Website,No Website,4.1,13 reviews,"16 Ma Hang Chung Rd, To Kwa Wan, Hong Kong",52,⭐ Medium Priority,New,No,2026-07-14 20:43:30,"Subject: Reach Your Audience with Outdoor Advertising in Hong Kong

Dear K&K 汽車影音中心 Team,

I came across your business and was impressed with the 4.1-star rating you've achieved. As a business owner in a competitive market like Hong Kong, it's essential to stay visible and reach your target audience effectively.

At lightfantastic.tv, we specialize in out-of-home advertising that helps businesses like yours increase brand awareness and drive foot traffic. Our unique digital screens are strategically placed across Hong Kong, providing an unparalleled opportunity to engage with your audience.

By partnering with us, you can reserve our screens for the peak season and enjoy significant savings compared to booking individual windows. Furthermore, we're excited to offer a special promotion for Singles' Day (5-11 Nov 2026): book any of our four windows for just HK$120,000 each.

This is a limited-time opportunity to elevate your brand's presence in Hong Kong and connect with your customers in a more impactful way. If you're interested in learning more about how lightfantastic.tv can help K&K 汽車影音中心 reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Looking forward to the possibility of working together.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
