No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Plus Group International Limited,+852 2333 4421,http://www.plusgroup.com.hk/,sales@plusgroup.com.hk,4.9,19 reviews,"A3, 11/F, Winner Building, 36 Man Yue Street, Hung Hom, Kowloon, Hong Kong",92,🔥 High Priority,New,No,2026-08-25 10:07:55,"Subject: Grow Your Business with lightfantastic.tv

Dear Plus Group International Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Plus Group International Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,Catalog (Times Square),+852 2506 3928,No Website,No Website,4.0,11 reviews,"Shop 607-608, Times Square, 1 Matheson Street, Causeway Bay, Hong Kong Island, Hong Kong",52,⭐ Medium Priority,New,No,2026-08-25 10:07:55,"Subject: Grow Your Business with lightfantastic.tv

Dear Catalog (Times Square) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Catalog (Times Square) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,Catalog (亞皆老街店),No Phone Number,No Website,No Website,3.4,14 reviews,"Hong Kong, 亞皆老街8號L6-03-05",32,💡 Low Priority,New,No,2026-08-25 10:07:55,"Subject: Grow Your Business with lightfantastic.tv

Dear Catalog (亞皆老街店) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Catalog (亞皆老街店) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,Costco International Limited,+852 6878 4014,https://costcointernational.com/,Email Not Found,4.3,7 reviews,"FLAT B, 4TH FLOOR, YEN CHUN MANSION, BLOCK 18-26 PORTLAND STREET, Yau Ma Tei, Kowloon, Hong Kong",72,🔥 High Priority,New,No,2026-08-25 10:07:55,"Subject: Grow Your Business with lightfantastic.tv

Dear Costco International Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Costco International Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Catalog (Cityplaza),+852 2907 0186,No Website,No Website,4.3,9 reviews,"Shop 404~405, 4/F., City Plaza 1, 18 Taikoo Shing Road,, Quarry Bay, Hong Kong Island, Hong Kong",52,⭐ Medium Priority,New,No,2026-08-25 10:07:55,"Subject: Grow Your Business with lightfantastic.tv

Dear Catalog (Cityplaza) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Catalog (Cityplaza) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,Catalog (Olympian City),+852 2563 2650,No Website,No Website,1.0,2 reviews,"Shop UG33, Upper Ground Floor, Olympian City 2, 18 Hoi Ting Rd, West Kowloon, Kowloon, Hong Kong",40,⭐ Medium Priority,New,No,2026-08-25 10:07:55,"Subject: Grow Your Business with lightfantastic.tv

Dear Catalog (Olympian City) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Catalog (Olympian City) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,I.T apparels limited,+852 3199 1991,http://www.ithk.com/,Email Not Found,4.2,5 reviews,"Southmark, 11 Yip Hing St, Aberdeen, Hong Kong Island, Hong Kong",72,🔥 High Priority,New,No,2026-08-25 10:07:55,"Subject: Grow Your Business with lightfantastic.tv

Dear I.T apparels limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help I.T apparels limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,GL events Hong Kong Limited,+852 2754 9487,http://www.gl-events.com.hk/,Email Not Found,3.7,9 reviews,"Unit G-L, 5/F, Wing Shan Industrial Building 428 Cha Kwo Ling Road Yau Tong, Hong Kong",67,⭐ Medium Priority,New,No,2026-08-25 10:07:55,"Subject: Grow Your Business with lightfantastic.tv

Dear GL events Hong Kong Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help GL events Hong Kong Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Unlimited Innovation Ltd,+852 2541 1838,No Website,No Website,4.0,1 reviews,"Rm502-503, 5/F, 185 Wan Chai Rd, Hong Kong Island, Hong Kong",50,⭐ Medium Priority,New,No,2026-08-25 10:07:55,"Subject: Grow Your Business with lightfantastic.tv

Dear Unlimited Innovation Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Unlimited Innovation Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,Wilson Garment Accessories (International) Ltd,No Phone Number,http://www.wilson-acc.com/,Email Not Found,5.0,3 reviews,"Cheung Sha Wan, Kowloon, Hong Kong",65,⭐ Medium Priority,New,No,2026-08-25 10:07:55,"Subject: Grow Your Business with lightfantastic.tv

Dear Wilson Garment Accessories (International) Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Wilson Garment Accessories (International) Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv","{'found': 1, 'total': 10, 'rate': 10.0}"
