No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,HOUSE OF CKC | Cigar Kingdom 雪茄王國 - Central 中環,+852 9148 9108,https://shop.cigar-kingdom.com/,global@cigar-kingdom.com,4.7,47 reviews,"Hong Kong, Hong Kong Island, Central, 1樓110鋪, 萬宜大廈商場",94,🔥 High Priority,New,No,2026-08-26 09:37:49,"Subject: Grow Your Business with lightfantastic.tv

Dear HOUSE OF CKC | Cigar Kingdom 雪茄王國 - Central 中環 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help HOUSE OF CKC | Cigar Kingdom 雪茄王國 - Central 中環 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,Discount Cigarettes,(215) 634-1204,No Website,No Website,4.2,31 reviews,"600 E Allegheny Ave, Philadelphia, PA 19134",54,⭐ Medium Priority,New,No,2026-08-26 09:37:49,"Subject: Grow Your Business with lightfantastic.tv

Dear Discount Cigarettes Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Discount Cigarettes grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,Cigar Home 雪茄屋,+852 5344 6222,No Website,No Website,4.9,34 reviews,"2/F, 60 Russell St, Causeway Bay, Hong Kong Island, Hong Kong",59,⭐ Medium Priority,New,No,2026-08-26 09:37:49,"Subject: Grow Your Business with lightfantastic.tv

Dear Cigar Home 雪茄屋 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Cigar Home 雪茄屋 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,Causeway Bay Ginza,+852 6094 9089,https://www.shoppinggai.com/CausewayBayGinza,Email Not Found,3.8,35 reviews,"509號 Jaffe Rd, Causeway Bay, Hong Kong Island, Hong Kong",69,⭐ Medium Priority,New,No,2026-08-26 09:37:49,"Subject: Grow Your Business with lightfantastic.tv

Dear Causeway Bay Ginza Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Causeway Bay Ginza grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Cloudy Hong Kong,+852 9357 6662,https://www.cloudy.hk/,nfo@cloudy.hk,4.4,50 reviews,"Shop 5-7, 1/F, Winning Shopping Arcade, 46-48 Hillwood Rd, Tsim Sha Tsui, Kowloon, Hong Kong",92,🔥 High Priority,New,No,2026-08-26 09:37:49,"Subject: Grow Your Business with lightfantastic.tv

Dear Cloudy Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Cloudy Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,Nanyang Brothers Tobacco Company Limited,+852 2761 3321,https://www.nbt-hk.com/,Email Not Found,4.8,6 reviews,"9 Tsing Yeung Circuit, Tuen Mun, New Territories, Hong Kong",77,🔥 High Priority,New,No,2026-08-26 09:37:49,"Subject: Grow Your Business with lightfantastic.tv

Dear Nanyang Brothers Tobacco Company Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Nanyang Brothers Tobacco Company Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,HOUSE OF CKC | Cigar Kingdom 雪茄王國 - Hankow 漢口,+852 9202 7387,https://shop.cigar-kingdom.com/,global@cigar-kingdom.com,4.8,49 reviews,"Hong Kong, Kowloon, Tsim Sha Tsui, Middle Rd, G27舖",94,🔥 High Priority,New,No,2026-08-26 09:37:49,"Subject: Grow Your Business with lightfantastic.tv

Dear HOUSE OF CKC | Cigar Kingdom 雪茄王國 - Hankow 漢口 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help HOUSE OF CKC | Cigar Kingdom 雪茄王國 - Hankow 漢口 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,Davidoff of Geneva Landmark,+852 2525 5428,No Website,No Website,4.3,13 reviews,"Shop B25, Basement Level, 15 Queen's Road Central, Central, Hong Kong Island, Hong Kong",52,⭐ Medium Priority,New,No,2026-08-26 09:37:49,"Subject: Grow Your Business with lightfantastic.tv

Dear Davidoff of Geneva Landmark Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Davidoff of Geneva Landmark grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,British-American Tobacco Co (HK) Ltd,+852 3656 1288,http://www.bat.com/,media_centre@bat.com,N/A,0 reviews,"24樓, 太古廣場六座, 50號 Queen's Rd E, Wan Chai, Hong Kong Island, Hong Kong",75,🔥 High Priority,New,No,2026-08-26 09:37:49,"Subject: Grow Your Business with lightfantastic.tv

Dear British-American Tobacco Co (HK) Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help British-American Tobacco Co (HK) Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,The Harbour Divan by PCC,+852 2348 1289,http://www.pacificcigar.com/,Email Not Found,3.6,25 reviews,"18 Ship St, Wan Chai, Hong Kong Island, Hong Kong",69,⭐ Medium Priority,New,No,2026-08-26 09:37:49,"Subject: Grow Your Business with lightfantastic.tv

Dear The Harbour Divan by PCC Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The Harbour Divan by PCC grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
