No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,ORE Crystal by 香港名石堂,+852 9132 1530,https://www.facebook.com/orecrytsal,Email Not Found,4.8,285 reviews,"Hong Kong, Kowloon, Mong Kok, Shantung St, 53號, 一樓",85,🔥 High Priority,New,No,2026-08-25 08:28:28,"Subject: Grow Your Business with lightfantastic.tv

Dear ORE Crystal by 香港名石堂 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help ORE Crystal by 香港名石堂 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,Hong Kong X'Tals Limited,+852 3511 2388,http://www.hongkongcrystal.com/,Email Not Found,N/A,0 reviews,"Unit B, 24/F, Shield Industrial Centre, Chai Wan Kok St, Tsuen Wan, New Territories, Hong Kong",60,⭐ Medium Priority,New,No,2026-08-25 08:28:28,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong X'Tals Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong X'Tals Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,Harbour Crystal Centre,+852 2722 5529,http://www.bkr-hk.com/,Email Not Found,3.4,1292 reviews,"100號 Granville Rd, Tsim Sha Tsui East, Kowloon, Hong Kong",70,🔥 High Priority,New,No,2026-08-25 08:28:28,"Subject: Grow Your Business with lightfantastic.tv

Dear Harbour Crystal Centre Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Harbour Crystal Centre grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,Heystone,No Phone Number,No Website,No Website,5,121 reviews,"Mandarin Court, 647-651號 Shanghai St, Mong Kok, Kowloon, Hong Kong",55,⭐ Medium Priority,New,No,2026-08-25 08:28:28,"Subject: Grow Your Business with lightfantastic.tv

Dear Heystone Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Heystone grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Nelles Gemmes,+852 9082 0996,http://www.instagram.com/nellesgemmes,Email Not Found,4.6,16 reviews,"G/F, Tung St, Sheung Wan, Hong Kong Island, Hong Kong",77,🔥 High Priority,New,No,2026-08-25 08:28:28,"Subject: Grow Your Business with lightfantastic.tv

Dear Nelles Gemmes Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Nelles Gemmes grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,CRYSTALE 天然水晶專門店（銅鑼灣店）,+852 2152 0819,http://www.crystale.hk/,photo_600x600_crop_center@2x.jpg,4.9,7 reviews,"香港銅鑼灣記利佐治街1號金百利商場UG 838號鋪 Shop 838, UG, Island Beverley, 1 Great George St, Causeway Bay, Hong Kong Island, Hong Kong",92,🔥 High Priority,New,No,2026-08-25 08:28:28,"Subject: Grow Your Business with lightfantastic.tv

Dear CRYSTALE 天然水晶專門店（銅鑼灣店） Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help CRYSTALE 天然水晶專門店（銅鑼灣店） grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,曠驊行 - 寶石水晶專門店 Jewel Crystal Shop in Hong Kong,+852 2671 2039,http://www.kwhjewel.com/,Email Not Found,5,2 reviews,"Hong Kong, Kowloon, Mong Kok, Nathan Rd, 750號, 1/F, 138舖, Pioneer Centre",75,🔥 High Priority,New,No,2026-08-25 08:28:28,"Subject: Grow Your Business with lightfantastic.tv

Dear 曠驊行 - 寶石水晶專門店 Jewel Crystal Shop in Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 曠驊行 - 寶石水晶專門店 Jewel Crystal Shop in Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,Crystal Hostel HK,+852 9815 2260,No Website,No Website,1.3,29 reviews,"E4, 11/F Blk E Chung King Mansion, Kowloon, Hong Kong",44,⭐ Medium Priority,New,No,2026-08-25 08:28:28,"Subject: Grow Your Business with lightfantastic.tv

Dear Crystal Hostel HK Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Crystal Hostel HK grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Crystal Group,+852 2261 8888,https://www.crystalgroup.com/,Email Not Found,3.7,6 reviews,"71號, 71 How Ming St, Kwun Tong, Kowloon, Hong Kong",67,⭐ Medium Priority,New,No,2026-08-25 08:28:28,"Subject: Grow Your Business with lightfantastic.tv

Dear Crystal Group Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Crystal Group grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,Hong Kong Best Award & Gifts Company (Crystal Trophy),+852 2755 3313,http://www.hkbestaward.com/,info@hkbestaward.com,5,133 reviews,"Hong Kong, Kowloon, Kowloon Bay, Wang Hoi Rd, 17號, 8樓3室",100,🔥 High Priority,New,No,2026-08-25 08:28:28,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Best Award & Gifts Company (Crystal Trophy) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Best Award & Gifts Company (Crystal Trophy) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
11,Treehouse the Spiritual Shop,+852 6986 1628,https://treehouse-hk.com/,banner@3x.png,4.9,37 reviews,"18/F, Jade Centre, 98 Wellington St, Central, Hong Kong Island, Hong Kong",94,🔥 High Priority,New,No,2026-08-25 08:28:28,"Subject: Grow Your Business with lightfantastic.tv

Dear Treehouse the Spiritual Shop Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Treehouse the Spiritual Shop grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
