No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,"SPY HENRY LAU (Central Shop) - Fashion designer, Men's and Ladie's wear, Accessories",+852 2530 3128,http://www.spyhenrylau.com/,Email Not Found,4.9,24 reviews,"G/F, 125 Wellington St, Central, Hong Kong Island, Hong Kong",79,🔥 High Priority,New,No,2026-08-25 09:52:50,"Subject: Grow Your Business with lightfantastic.tv

Dear SPY HENRY LAU (Central Shop) - Fashion designer, Men's and Ladie's wear, Accessories Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help SPY HENRY LAU (Central Shop) - Fashion designer, Men's and Ladie's wear, Accessories grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,Magnus & Novus | Award Winning Iconic Menswear & Bespoke Tailoring | Hong Kong,+852 6113 8579,http://www.magnusandnovus.com/,customer@magnusandnovus.com,4.9,35 reviews,"Connaught Marina, 48 Connaught Rd W, Sheung Wan, Hong Kong Island, Hong Kong",94,🔥 High Priority,New,No,2026-08-25 09:52:50,"Subject: Grow Your Business with lightfantastic.tv

Dear Magnus & Novus | Award Winning Iconic Menswear & Bespoke Tailoring | Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Magnus & Novus | Award Winning Iconic Menswear & Bespoke Tailoring | Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,S.Nine by Susanna Soo / Susanna Soo Atelier,+852 2815 0884,http://www.snineonline.com/,pr@snineonline.com,4.9,8 reviews,"17/F, 37 Hollywood Rd, Central, Hong Kong Island, Hong Kong",92,🔥 High Priority,New,No,2026-08-25 09:52:50,"Subject: Grow Your Business with lightfantastic.tv

Dear S.Nine by Susanna Soo / Susanna Soo Atelier Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help S.Nine by Susanna Soo / Susanna Soo Atelier grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,"OM Custom Tailors Recommended Best Tailors in Hong Kong Mens Women Suits, Shirts, Tuxedos, Blouses, Dresses 麼地道67號半島中心LG56舖",+852 9022 2857,https://www.omtailors.com/,vijay@omtailors.com,4.9,209 reviews,"67 Mody Road Peninsula Centre LG56 Lower Ground Floor Tsim Sha Tsui East, Tsim Sha Tsui, Kowloon, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 09:52:50,"Subject: Grow Your Business with lightfantastic.tv

Dear OM Custom Tailors Recommended Best Tailors in Hong Kong Mens Women Suits, Shirts, Tuxedos, Blouses, Dresses 麼地道67號半島中心LG56舖 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help OM Custom Tailors Recommended Best Tailors in Hong Kong Mens Women Suits, Shirts, Tuxedos, Blouses, Dresses 麼地道67號半島中心LG56舖 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Apsley Bespoke Tailors - Best Tailors in Hong Kong - Custom Tailors,+852 2366 6612,https://www.apsleytailors.com.hk/,info@apsleytailors.com.hk,4.7,168 reviews,"Shop G & H, G/F, 90-94c Nathan Rd, Tsim Sha Tsui, Kowloon, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 09:52:50,"Subject: Grow Your Business with lightfantastic.tv

Dear Apsley Bespoke Tailors - Best Tailors in Hong Kong - Custom Tailors Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Apsley Bespoke Tailors - Best Tailors in Hong Kong - Custom Tailors grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,Rashmi Custom Tailors The Best Tailors in Hong Kong,+852 9745 7058,http://www.rashmi.com/,vijay@rashmi.com,4.9,311 reviews,"12th Floor Block A, Burlington Arcade, 90-94C Nathan Rd, Tsim Sha Tsui, Kowloon, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 09:52:50,"Subject: Grow Your Business with lightfantastic.tv

Dear Rashmi Custom Tailors The Best Tailors in Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Rashmi Custom Tailors The Best Tailors in Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,Emma Wallace,+852 2336 6798,http://www.emma-wallace.com/?utm_source=gmb&utm_medium=referral,no-image-2048-a2addb12_1024x1024@2x.gif,4.8,6 reviews,"Po Hing Mansion, Po Hing Fong, 2號 Shop A, G/F, 2-6 Wa Ning Ln, Tai Ping Shan, Hong Kong Island, Hong Kong",92,🔥 High Priority,New,No,2026-08-25 09:52:50,"Subject: Grow Your Business with lightfantastic.tv

Dear Emma Wallace Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Emma Wallace grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,WALTER MA - FASHION DESIGNER,+852 2365 6095,No Website,No Website,5.0,1 reviews,"S307, Block A, PMQ, Aberdeen St, Central, Hong Kong Island, Hong Kong",55,⭐ Medium Priority,New,No,2026-08-25 09:52:50,"Subject: Grow Your Business with lightfantastic.tv

Dear WALTER MA - FASHION DESIGNER Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help WALTER MA - FASHION DESIGNER grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Saptrangtrendz creations,+852 9809 1828,https://facebook.com/saptrangtrendz,Email Not Found,4.9,47 reviews,N/A,74,🔥 High Priority,New,No,2026-08-25 09:52:50,"Subject: Grow Your Business with lightfantastic.tv

Dear Saptrangtrendz creations Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Saptrangtrendz creations grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,Chailie Ho Studio,+852 2319 2082,http://www.chailieho.com/,2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,4.8,5 reviews,"S409, 4/F, Block A, PMQ, 35 Aberdeen Street, Central, Hong Kong Island, Hong Kong",92,🔥 High Priority,New,No,2026-08-25 09:52:50,"Subject: Grow Your Business with lightfantastic.tv

Dear Chailie Ho Studio Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Chailie Ho Studio grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
