No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,DSL Furniture,+852 3153 4988,https://www.dslfurniture.com/,Email Not Found,5,54 reviews,"6/F, Office (not showroom, 8 Fleming Rd, Wan Chai, Hong Kong Island, Hong Kong",82,🔥 High Priority,New,No,2026-08-25 12:43:36,"Subject: Grow Your Business with lightfantastic.tv

Dear DSL Furniture Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help DSL Furniture grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,Hardwood HK Ltd,+852 5343 8497,http://www.hardwoodhk.com/,filip@hardwoodhk.com,5,9 reviews,"1F, block B, shop 2, 8 Wah Sing St, Kwai Chung, New Territories, Hong Kong",92,🔥 High Priority,New,No,2026-08-25 12:43:36,"Subject: Grow Your Business with lightfantastic.tv

Dear Hardwood HK Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hardwood HK Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,House of Madison,+852 2239 5072,http://www.themadisongroup.asia/,hongkong@themadisongroup.asia,4.8,5 reviews,"G03, Hopewell Centre, 183 Queen's Rd E, Wan Chai, Hong Kong Island, Hong Kong",92,🔥 High Priority,New,No,2026-08-25 12:43:36,"Subject: Grow Your Business with lightfantastic.tv

Dear House of Madison Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help House of Madison grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,DeepGreen Design Limited,+86 20 3888 6710,https://www.deepgreen.hk/,ask@deepgreen.hk,N/A,0 reviews,"12th Floor, Bank of Dongguan Tower, 136 Des Voeux Rd Central, Central, Hong Kong Island, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 12:43:36,"Subject: Grow Your Business with lightfantastic.tv

Dear DeepGreen Design Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help DeepGreen Design Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,TKFurniture2,+852 6191 0625,No Website,No Website,N/A,0 reviews,"16065, Chung Hom Kok, Hong Kong Island, Hong Kong",40,⭐ Medium Priority,New,No,2026-08-25 12:43:36,"Subject: Grow Your Business with lightfantastic.tv

Dear TKFurniture2 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help TKFurniture2 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,H.K. Furniture (U.S.A) Inc,(212) 343-0771,http://www.hkfusa.com/,yourmail@yourdomain.com,3.7,35 reviews,"292 Grand St, New York, NY 10002",84,🔥 High Priority,New,No,2026-08-25 12:43:36,"Subject: Grow Your Business with lightfantastic.tv

Dear H.K. Furniture (U.S.A) Inc Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help H.K. Furniture (U.S.A) Inc grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,Ziinlife Designs,+852 5281 1604,http://www.ziinlife.com.hk/,cs@ziinlife.com.hk,4.7,34 reviews,"Unit 606 Eastcore, 398 Kwun Tong Rd, Kwun Tong, Kowloon, Hong Kong",94,🔥 High Priority,New,No,2026-08-25 12:43:36,"Subject: Grow Your Business with lightfantastic.tv

Dear Ziinlife Designs Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Ziinlife Designs grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,HK WEIMIAO LIMITED,+852 9435 2308,http://www.wei-miao.com/,9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com,N/A,0 reviews,"8/F Xiang Xing Industrial Building, 12P Shimei Road, Kennedy Town, Hong Kong Island, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 12:43:36,"Subject: Grow Your Business with lightfantastic.tv

Dear HK WEIMIAO LIMITED Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help HK WEIMIAO LIMITED grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Chung Wah Steel Furniture Factory Co. Ltd.,+852 2893 0378,http://chungwah.com.hk/,Email Not Found,3,1 reviews,"Block A, 7/F, Chinaweal Centre, 414-424 Jaffe Rd, Wan Chai, Hong Kong Island, Hong Kong",60,⭐ Medium Priority,New,No,2026-08-25 12:43:36,"Subject: Grow Your Business with lightfantastic.tv

Dear Chung Wah Steel Furniture Factory Co. Ltd. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Chung Wah Steel Furniture Factory Co. Ltd. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,Wohua Global (HK) Company Limited,+852 6068 4373,http://www.mzg.cn/,sz.marketing@meizhigao.com,N/A,0 reviews,"Unit 13, 7/F, WING ON PLAZA, 62 Mody Rd, Tsim Sha Tsui, Kowloon, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 12:43:36,"Subject: Grow Your Business with lightfantastic.tv

Dear Wohua Global (HK) Company Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Wohua Global (HK) Company Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
