No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,H.K. Furniture (U.S.A) Inc,(212) 343-0771,http://www.hkfusa.com/,yourmail@yourdomain.com,3.7,35 reviews,"292 Grand St, New York, NY 10002",84,🔥 High Priority,New,No,2026-08-25 12:58:11,"Subject: Grow Your Business with lightfantastic.tv

Dear H.K. Furniture (U.S.A) Inc Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help H.K. Furniture (U.S.A) Inc grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,Decor8 Wanchai Flagship Showroom,+852 5981 1636,https://www.decor8.com.hk/,Email Not Found,4,69 reviews,"G/F & 1/F, Entrance left of 759, Johnston Court, 30 Johnston Rd, Wan Chai, Hong Kong Island, Hong Kong",77,🔥 High Priority,New,No,2026-08-25 12:58:11,"Subject: Grow Your Business with lightfantastic.tv

Dear Decor8 Wanchai Flagship Showroom Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Decor8 Wanchai Flagship Showroom grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,BoConcept Lee Garden,+852 2110 9705,https://www.boconcept.com/en-hk/stores/find-your-local-store/hong-kong/boconcept-lee-garden?y_source=1_MjAzMzkwNTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,leegarden@boconcept.hk,4.7,48 reviews,"Shop 206-210, 1 Sunning Rd, Causeway Bay, Hong Kong Island, Hong Kong",94,🔥 High Priority,New,No,2026-08-25 12:58:11,"Subject: Grow Your Business with lightfantastic.tv

Dear BoConcept Lee Garden Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help BoConcept Lee Garden grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,DSL Furniture,+852 3153 4988,https://www.dslfurniture.com/,Email Not Found,5,54 reviews,"6/F, Office (not showroom, 8 Fleming Rd, Wan Chai, Hong Kong Island, Hong Kong",82,🔥 High Priority,New,No,2026-08-25 12:58:11,"Subject: Grow Your Business with lightfantastic.tv

Dear DSL Furniture Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help DSL Furniture grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,852HOME 香港家居,+852 2887 7991,https://852-home.com/,20260618_34_1280x@2x.png,4.9,603 reviews,"1樓, Hong Kong Industrial Centre Block C, 489-491 Castle Peak Rd, Cheung Sha Wan, Kowloon, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 12:58:11,"Subject: Grow Your Business with lightfantastic.tv

Dear 852HOME 香港家居 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 852HOME 香港家居 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,TREE flagship store | furniture & home accessories,+852 2870 1582,http://www.tree.com.hk/,Email Not Found,4.1,42 reviews,"28/Floor, 2 Lee Wing St, Ap Lei Chau, Hong Kong Island, Hong Kong",74,🔥 High Priority,New,No,2026-08-25 12:58:11,"Subject: Grow Your Business with lightfantastic.tv

Dear TREE flagship store | furniture & home accessories Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help TREE flagship store | furniture & home accessories grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,"Cassina Furniture, Hong Kong",+852 2960 0330,http://www.cassina.it/,ecommerce@cassina.com,4.5,55 reviews,"Wilson House, 19-27 Wyndham St, Central, Hong Kong Island, Hong Kong",97,🔥 High Priority,New,No,2026-08-25 12:58:11,"Subject: Grow Your Business with lightfantastic.tv

Dear Cassina Furniture, Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Cassina Furniture, Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,Nature Evolution,+852 2857 3830,http://www.natureevolution.com.hk/,Email Not Found,4.9,15 reviews,"236 Hollywood Rd, Sheung Wan, Hong Kong Island, Hong Kong",77,🔥 High Priority,New,No,2026-08-25 12:58:11,"Subject: Grow Your Business with lightfantastic.tv

Dear Nature Evolution Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Nature Evolution grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,PapaHome 淘寶家具實體店,+852 5640 0884,https://aff.world.taobao.com/_b.Vdt9,Email Not Found,4.9,1994 reviews,"Shop 02B, 2/F, China Hong Kong City, 33 Canton Rd, Tsim Sha Tsui, Kowloon, Hong Kong",85,🔥 High Priority,New,No,2026-08-25 12:58:11,"Subject: Grow Your Business with lightfantastic.tv

Dear PapaHome 淘寶家具實體店 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help PapaHome 淘寶家具實體店 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,BoConcept Central,+852 2668 0027,https://www.boconcept.com/en-hk/stores/find-your-local-store/hong-kong/boconcept-central?y_source=1_MjAzMzkwNDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,leegarden@boconcept.hk,4.1,85 reviews,"73 Wyndham St, Central, Hong Kong Island, Hong Kong",92,🔥 High Priority,New,No,2026-08-25 12:58:11,"Subject: Grow Your Business with lightfantastic.tv

Dear BoConcept Central Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help BoConcept Central grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
