No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,786 ABERDEEN GENERAL STORE,+852 9578 6920,No Website,No Website,5,1 reviews,"Shop no. 18, 1/F, Jumbo Shopping Center, 201 Aberdeen Main Rd, Aberdeen, Hong Kong Island, Hong Kong",55,⭐ Medium Priority,New,No,2026-08-25 08:41:29,"Subject: Grow Your Business with lightfantastic.tv

Dear 786 ABERDEEN GENERAL STORE Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 786 ABERDEEN GENERAL STORE grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,Popcorn General Store,+852 3547 0598,https://www.popcornstore.com.hk/,Email Not Found,3.3,25 reviews,"SHOP 506A, 5/F, Hysan Place, 500 Hennessy Rd, Causeway Bay, Hong Kong Island, Hong Kong",64,⭐ Medium Priority,New,No,2026-08-25 08:41:29,"Subject: Grow Your Business with lightfantastic.tv

Dear Popcorn General Store Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Popcorn General Store grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,Kaka General Store,+852 9862 8949,No Website,No Website,5,1 reviews,"Unit A10, G/F, Yick Cheong Building, 1046 King's Rd, Quarry Bay, Hong Kong Island, Hong Kong",55,⭐ Medium Priority,New,No,2026-08-25 08:41:29,"Subject: Grow Your Business with lightfantastic.tv

Dear Kaka General Store Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Kaka General Store grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,GGBS Limited,+44 7960 131005,https://ggbs.net/,Email Not Found,N/A,0 reviews,"Unit 2A, 17/F, Glenealy Tower, 1 Glenealy, Central, Hong Kong Island, Hong Kong",60,⭐ Medium Priority,New,No,2026-08-25 08:41:29,"Subject: Grow Your Business with lightfantastic.tv

Dear GGBS Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help GGBS Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,POPCORN General Store K11MUSEA,+852 2777 3387,https://www.popcornstore.com.hk/,Email Not Found,4.3,9 reviews,"SHOP 352, 18 Salisbury Rd, Tsim Sha Tsui, Kowloon, Hong Kong",72,🔥 High Priority,New,No,2026-08-25 08:41:29,"Subject: Grow Your Business with lightfantastic.tv

Dear POPCORN General Store K11MUSEA Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help POPCORN General Store K11MUSEA grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,generalpurpose,+852 2398 0682,http://www.generalpurpose.com.hk/,aec31088a6fb4f6eafac028a91e1cf21@o769852.ingest.sentry.io,4.3,11 reviews,"Shop 106, The FOREST, 17 Nelson St, Mong Kok, Kowloon, Hong Kong",87,🔥 High Priority,New,No,2026-08-25 08:41:29,"Subject: Grow Your Business with lightfantastic.tv

Dear generalpurpose Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help generalpurpose grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,Bagus Store Hong Kong 東南亞印尼食品,+852 6186 4900,No Website,No Website,3,3 reviews,"12K Smithfield Road, Stall 047, G/F Smithfield Market, Kennedy Town, Hong Kong Island, Hong Kong",40,⭐ Medium Priority,New,No,2026-08-25 08:41:29,"Subject: Grow Your Business with lightfantastic.tv

Dear Bagus Store Hong Kong 東南亞印尼食品 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Bagus Store Hong Kong 東南亞印尼食品 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,GeTheMall 總店,+852 3571 9437,http://www.gtm.hk/,aec31088a6fb4f6eafac028a91e1cf21@o769852.ingest.sentry.io,3.9,41 reviews,"Flat 1504, 16 Argyle St, Mong Kok, Kowloon, Hong Kong",84,🔥 High Priority,New,No,2026-08-25 08:41:29,"Subject: Grow Your Business with lightfantastic.tv

Dear GeTheMall 總店 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help GeTheMall 總店 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,GreenPrice Sha Tin,+852 3594 6616,https://www.greenprice.com/,supplier@greenprice.com,4.4,14 reviews,"A235A, 2/F, New Town Plaza III, Sha Tin, New Territories, Hong Kong",87,🔥 High Priority,New,No,2026-08-25 08:41:29,"Subject: Grow Your Business with lightfantastic.tv

Dear GreenPrice Sha Tin Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help GreenPrice Sha Tin grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,521 Drugstore Merchandise,No Phone Number,No Website,No Website,5,1 reviews,"521 Lockhart Rd, Causeway Bay, Hong Kong Island, Hong Kong",45,⭐ Medium Priority,New,No,2026-08-25 08:41:29,"Subject: Grow Your Business with lightfantastic.tv

Dear 521 Drugstore Merchandise Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 521 Drugstore Merchandise grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
