No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Hong Kong Hardware Supplier Ltd.,+852 2507 4786,https://hkhardware.com.hk/,marketing@hkhardware.com.hk,4.3,9 reviews,"Ko Wah Building, 285-295 Lockhart Rd, Wan Chai, Hong Kong Island, Hong Kong",87,🔥 High Priority,New,No,2026-08-25 09:55:12,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Hardware Supplier Ltd. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Hardware Supplier Ltd. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,"Aixi Hardware Co., Limited",+86 133 4294 8130,https://www.aixihardware.com/,john@aixihardware.com,N/A,0 reviews,"Hong Kong, Kowloon, Hung Hom, Hok Yuen St, 2G號, Hang Fung Industrial Building, 2期3樓A222室",75,🔥 High Priority,New,No,2026-08-25 09:55:12,"Subject: Grow Your Business with lightfantastic.tv

Dear Aixi Hardware Co., Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Aixi Hardware Co., Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,World Wide (Hardware) Industrial Co,+852 2543 4403,http://www.worldwidehic.com.hk/,marketing@worldwidehic.com.hk,5,1 reviews,"Neich Tower, Gloucester Rd, Wan Chai, Hong Kong Island, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 09:55:12,"Subject: Grow Your Business with lightfantastic.tv

Dear World Wide (Hardware) Industrial Co Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help World Wide (Hardware) Industrial Co grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,"ShingStar Hardware Products Co., Limited",+86 188 9984 7810,No Website,No Website,N/A,0 reviews,"Hong Kong, Kowloon, Tsim Sha Tsui, Chatham Rd S, 65號, 2樓S103室, 首都廣場",40,⭐ Medium Priority,New,No,2026-08-25 09:55:12,"Subject: Grow Your Business with lightfantastic.tv

Dear ShingStar Hardware Products Co., Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help ShingStar Hardware Products Co., Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Honest hardware supplier co. Ltd,+852 2598 6800,No Website,No Website,3.7,14 reviews,"232 Lockhart Rd, Wan Chai, Hong Kong Island, Hong Kong",47,⭐ Medium Priority,New,No,2026-08-25 09:55:12,"Subject: Grow Your Business with lightfantastic.tv

Dear Honest hardware supplier co. Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Honest hardware supplier co. Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,"Keyuan Metal Products Co., Ltd.",+86 137 2898 4086,https://basketskitchen.com/,khatunamena1948@gmail.com,5,1 reviews,"165-171, Wan Chai, Hong Kong Island, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 09:55:12,"Subject: Grow Your Business with lightfantastic.tv

Dear Keyuan Metal Products Co., Ltd. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Keyuan Metal Products Co., Ltd. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,On Tat Screws Industrial Company,+852 2408 0006,No Website,No Website,3,1 reviews,"Hong Kong, 香港新界葵湧打磚坪街49-53號華基工業大廈第2座30字樓D室",40,⭐ Medium Priority,New,No,2026-08-25 09:55:12,"Subject: Grow Your Business with lightfantastic.tv

Dear On Tat Screws Industrial Company Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help On Tat Screws Industrial Company grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,RUIHESHUN HARDWARE LIMITED,No Phone Number,No Website,No Website,N/A,0 reviews,"Rm S239,2/F, THE CAPITAL 61, 65 Chatham Rd S, Tsim Sha Tsui, Kowloon, Hong Kong",30,💡 Low Priority,New,No,2026-08-25 09:55:12,"Subject: Grow Your Business with lightfantastic.tv

Dear RUIHESHUN HARDWARE LIMITED Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help RUIHESHUN HARDWARE LIMITED grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Kin Kei Hardware Industries Limited,+852 2561 6788,http://www.hardware.com.hk/,hardware@hardware.com.hk,3,2 reviews,"704室, Eastern Centre, King's Rd, Quarry Bay, Hong Kong Island, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 09:55:12,"Subject: Grow Your Business with lightfantastic.tv

Dear Kin Kei Hardware Industries Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Kin Kei Hardware Industries Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,Hongkong Hardware Supplier Ltd,+852 2397 1491,https://hkhardware.com.hk/,marketing@hkhardware.com.hk,5,1 reviews,"675A Shanghai St, Mong Kok, Kowloon, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 09:55:12,"Subject: Grow Your Business with lightfantastic.tv

Dear Hongkong Hardware Supplier Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hongkong Hardware Supplier Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
