No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,The Harbourview,+852 2802 0111,https://www.theharbourview.com.hk/,Email Not Found,3.8,2279 reviews,"2/F, The Harbourview, 4 Harbour Rd, Wan Chai, Hong Kong",75,🔥 High Priority,New,No,2026-07-30 12:23:16,"Subject: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear The Harbourview Team,

I came across your hotel, The Harbourview, and was impressed by your 3.8-star rating on your website. As a business with a strong online presence, I believe you understand the importance of effective out-of-home advertising to reach your target audience.

At lightfantastic.tv, we specialize in transforming Hong Kong's streets into your brand's canvas. Our unique digital billboards offer unparalleled visibility, allowing you to reserve the full peak season and save against booking each window on its own. Our clients have seen significant increases in brand awareness and foot traffic, and I believe The Harbourview can benefit from our services as well.

With our current Singles' Day promotion, you can secure a stunning digital billboard for just HK$120,000 per window from November 5th to 11th. This is a limited-time offer that won't last long, so I encourage you to act quickly.

If you're interested in learning more about how lightfantastic.tv can help The Harbourview elevate your brand's visibility in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
2,The Kowloon Hotel,+852 2929 2888,https://www.harbour-plaza.com/kowloonhotel/en/?cid=list-KLNH-google-mybiz-en,Email Not Found,3.9,4766 reviews,"19-21 Nathan Rd, Tsim Sha Tsui, Hong Kong",75,🔥 High Priority,New,No,2026-07-30 12:23:16,"Subject Line: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear The Kowloon Hotel Team,

I came across your stunning hotel in Kowloon and noticed the excellent 3.9-star rating on your website. It's clear that you're committed to providing top-notch service to your guests.

As a representative from lightfantastic.tv, I'd like to introduce you to a unique opportunity to amplify your brand's presence in the heart of Hong Kong. Our innovative out-of-home advertising solution allows you to put your brand on the streets, making it impossible for potential customers to ignore. With our network of screens, you can reach a massive audience and drive foot traffic to your hotel.

By partnering with lightfantastic.tv, you can effectively target your desired demographics and increase brand awareness. Our solution is ideal for hotels like yours, which rely on steady guest flow and positive word-of-mouth.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th. Book any of our windows for HK$120,000, and experience the power of out-of-home advertising for yourself.

If you're interested in learning more about how lightfantastic.tv can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call and answer any questions you may have.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv",
3,"The Ritz-Carlton, Hong Kong",+852 2263 2263,https://www.ritzcarlton.com/en/hotels/hkgkw-the-ritz-carlton-hong-kong/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,marriottbonvoy@marriott.com,4.6,2902 reviews,"International Commerce Centre (ICC), 九龙柯士甸道西1号, 1 Austin Rd W, Kowloon, Hong Kong",100,🔥 High Priority,New,No,2026-07-30 12:23:16,"Subject: Unlock Peak Season Exposure with lightfantastic.tv

Dear The Ritz-Carlton, Hong Kong Team,

I came across your luxurious property and was impressed by your 4.6-star rating on TripAdvisor. As a representative of lightfantastic.tv, I'd love to introduce you to a unique opportunity to amplify your brand presence in the heart of Hong Kong.

lightfantastic.tv offers an innovative out-of-home advertising solution that allows you to reserve all four windows for a discounted rate of HK$400,000, ensuring maximum visibility and savings. This comprehensive approach lets you make the most of the peak season without the hassle of booking individual windows.

Our platform puts your brand on the streets of Hong Kong, reaching a vast and engaged audience. By partnering with us, you can create an unforgettable experience for your guests and leave a lasting impression on the city's visitors.

To help you make the most of the upcoming Singles' Day, we're offering a special promotion from November 5th to 11th: HK$120,000 per window. This is a fantastic opportunity to boost your brand's visibility and drive engagement with a targeted audience.

If you're interested in learning more about how lightfantastic.tv can elevate your brand presence, I'd love to discuss the details further. Please don't hesitate to reach out to me at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put",
4,Hyatt Centric Victoria Harbour Hong Kong,+852 3762 1234,https://www.hyatt.com/hyatt-centric/en-US/hkgct-hyatt-centric-victoria-harbour-hong-kong?src=corp_lclb_google_seo_hkgct&utm_source=google&utm_medium=organic&utm_campaign=lmr,Email Not Found,4.2,3462 reviews,"1 North Point Estate Ln, North Point, Hong Kong",80,🔥 High Priority,New,No,2026-07-30 12:23:16,"Subject Line: Unlock the Power of Out-of-Home Advertising in Hong Kong

Hi Hyatt Centric Victoria Harbour Hong Kong Team,

I hope this email finds you well. My name is Emily Wong, and I'm a sales representative from lightfantastic.tv, a leading out-of-home advertising platform in Hong Kong. We help businesses like yours reach and engage with their target audience on the streets of Hong Kong.

At lightfantastic.tv, we offer a unique opportunity for businesses to reserve all four windows for a discounted rate of HK$400,000, ensuring your brand is visible throughout the peak season. This not only saves you money but also provides a seamless and integrated advertising experience.

We understand the importance of effective marketing, and our platform is designed to help businesses like yours increase brand awareness, drive foot traffic, and ultimately boost sales. With our out-of-home advertising solutions, you can reach a vast and diverse audience, including tourists and locals alike.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th: HK$120,000 per window. This is a limited-time opportunity to elevate your brand's visibility and reach a wider audience.

If you're interested in learning more about how lightfantastic.tv can help Hyatt Centric Victoria Harbour Hong Kong reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call and discuss how our out-of-home advertising",
5,Regal Hongkong Hotel,+852 2890 6633,https://www.regalhotel.com/regal-hongkong-hotel/en/home/home.html,icp@regalhotel.com,3.9,4430 reviews,"88 Yee Wo St, Causeway Bay, Hong Kong",90,🔥 High Priority,New,No,2026-07-30 12:23:16,"Subject: Elevate Your Brand Presence in Hong Kong with Lightfantastic.tv

Dear Regal Hongkong Hotel Team,

I came across your hotel's website and was impressed by the luxurious experience you offer to your guests. As a representative of lightfantastic.tv, I'd like to introduce you to our unique out-of-home advertising solution that can help elevate your brand presence in Hong Kong.

Our digital signage network, lightfantastic.tv, offers an innovative way to reach a massive audience in the heart of the city. By partnering with us, you can showcase your brand's message on four strategically located screens, reaching over 1 million viewers daily. Our network is perfect for hotels like Regal Hongkong Hotel, looking to enhance their brand visibility and attract more customers.

To help you make the most of the upcoming peak season, we're offering a special promotion for Singles' Day, from 5 to 11 November 2026. For just HK$120,000 per window, you can reserve a spot on our screens and reach a vast audience of potential customers. This is a limited-time offer, and I'd be happy to discuss the details further.

If you're interested in learning more about how lightfantastic.tv can benefit your business, please don't hesitate to reach out to me at hello@lightfantastic.tv. I look forward to hearing from you and exploring how we can help you achieve your marketing goals.

Best regards,

Emily Wong
Sales Representative, Lightfant",
6,Mondrian Hong Kong,+852 3550 0388,https://mondrianhotels.com/hong-kong/?utm_source=google&utm_medium=organic&utm_campaign=gmb-website&utm_content=website_button,hongkong@mondrianhotels.com,4.7,1278 reviews,"8A Hart Ave, Tsim Sha Tsui, Hong Kong",100,🔥 High Priority,New,No,2026-07-30 12:23:16,"Subject Line: Elevate Your Brand in Hong Kong's Bustling Streets

Dear Mondrian Hong Kong Team,

I came across your stunning hotel in Central, Hong Kong, and I must say, your exceptional service and elegant design have earned you a 4.7-star rating. As a representative of lightfantastic.tv, I'd like to introduce you to a platform that can help amplify your brand's presence in the city.

Our out-of-home advertising solution allows you to reserve all four windows of our LED screens for a fixed fee of HK$400,000, ensuring you dominate the streets of Hong Kong during peak periods. However, we're excited to offer a special promotion for Singles' Day from November 5th to 11th, 2026. For just HK$120,000 per window, you can showcase your brand to the vibrant crowds of Hong Kong.

By partnering with us, you'll be able to:

- Increase brand awareness and reach a wider audience
- Target your ideal customers with precision-crafted ad campaigns
- Stay ahead of the competition in one of the world's most dynamic cities

If you're interested in learning more about how lightfantastic.tv can help Mondrian Hong Kong shine, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss a customized solution tailored to your needs.

Looking forward to hearing from you.

Best regards,

[Your Name]
Sales Representative
lightfantastic.tv",
7,Marco Polo Hongkong Hotel,+852 2113 0088,https://www.marcopolohotels.com/en/marco-polo-hongkong-hotel,hongkong@marcopolohotels.com,4.1,3124 reviews,"Harbour City, 3 Canton Rd, Tsim Sha Tsui, Hong Kong",95,🔥 High Priority,New,No,2026-07-30 12:23:16,"Subject: Unlock the Power of Outdoor Advertising in Hong Kong with lightfantastic.tv

Dear Marco Polo Hongkong Hotel Team,

I came across your hotel and was impressed by your 4.1-star rating and commitment to providing an exceptional experience for your guests. As a representative of lightfantastic.tv, I'd like to introduce you to a unique opportunity to amplify your brand's visibility and reach a wider audience in Hong Kong through out-of-home advertising.

Our digital screens are strategically located in prime areas across the city, allowing you to connect with your target audience in a more engaging and impactful way. By partnering with us, you can reserve a full peak season and save against booking each screen individually, making it an optimal choice for businesses like yours.

To celebrate Singles' Day this year, we're offering an exclusive promotion: book one of our windows from 5th to 11th November for just HK$120,000. Don't miss this chance to elevate your brand's presence in Hong Kong and drive sales.

If you're interested in learning more about how lightfantastic.tv can help your business thrive, please email us at hello@lightfantastic.tv. We'd be delighted to schedule a call and discuss how our services can meet your marketing goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Unlock the Power of Outdoor Advertising in Hong Kong. Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong.",
8,Hilton Garden Inn Hong Kong Mongkok,+852 2201 3688,https://www.hilton.com/en/hotels/hkgmsgi-hilton-garden-inn-hong-kong-mongkok/?SEO_id=GMB-APAC-GI-HKGMSGI,Email Not Found,4.1,2075 reviews,"2 Soy St, Mong Kok, Hong Kong",80,🔥 High Priority,New,No,2026-07-30 12:23:16,"Subject: Elevate Your Brand in Hong Kong with Lightfantastic.tv

Dear Hilton Garden Inn Hong Kong Mongkok Team,

I came across your hotel and was impressed with your 4.1-star rating on Hilton's website. As a representative of lightfantastic.tv, I'd like to introduce our unique out-of-home advertising solution that can help take your brand to the next level in Hong Kong.

Our digital billboards are strategically placed across the city, providing unparalleled reach and visibility for your brand. By partnering with us, you can reserve a window for the entire peak season and save compared to booking individual windows. This means you can maximize your brand's presence and exposure to a vast audience.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th, 2026: HK$120,000 per window. Don't miss this opportunity to amplify your brand's impact in Hong Kong.

If you're interested in learning more about how lightfantastic.tv can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss further and explore how we can help you achieve your marketing goals.

Best regards,

Emily Wong
Sales Representative
Lightfantastic.tv - Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
9,Ramada Hong Kong Harbour View,+852 2599 9888,http://www.ramadahongkongharbourview.com/,Email Not Found,3.4,3614 reviews,"239 Queen's Rd W, Sai Ying Pun, Hong Kong",70,🔥 High Priority,New,No,2026-07-30 12:23:16,"Subject: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear Ramada Hong Kong Harbour View Team,

I came across your hotel's exceptional waterfront views and services, and I believe we can complement your offerings by putting your brand on the streets of Hong Kong with our innovative out-of-home advertising platform, lightfantastic.tv.

As a hotel with a 3.4-star rating, you're likely always looking for new ways to engage with your target audience and create lasting impressions. Our platform offers a unique opportunity to do just that, with our high-impact digital displays strategically placed across the city. By partnering with us, you'll be able to reach a vast and diverse audience, increasing brand awareness and driving foot traffic to your hotel.

To make this opportunity even more compelling, we're excited to offer a special promotion for the upcoming Singles' Day, taking place from November 5th to 11th. For just HK$120,000 per window, you can reserve our peak-season inventory and enjoy significant savings compared to booking individual windows.

If you're interested in learning more about this limited-time offer or would like to discuss how lightfantastic.tv can support your marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call and explore the possibilities together.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong | Put your brand on",
10,AKI Hotel Hong Kong - MGallery Collection,+852 2121 5000,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=B5L5&merchantid=seo-maps-HK-B5L5&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,hb5l5@accor.com,4.8,1576 reviews,"239 Jaffe Rd, Wan Chai, Hong Kong",100,🔥 High Priority,New,No,2026-07-30 12:23:16,"Subject: Elevate Your Brand in Hong Kong's Vibrant Streets

Dear AKI Hotel Hong Kong - MGallery Collection Team,

I came across your esteemed hotel and was impressed by your 4.8-star rating on Accor's website. As a representative of lightfantastic.tv, I'd like to introduce you to a unique opportunity to amplify your brand's presence in the heart of Hong Kong.

Our out-of-home advertising platform allows you to showcase your brand on four strategically placed windows, reaching a vast audience and increasing brand visibility. By partnering with us, you can reserve the full peak season and enjoy significant savings compared to booking each window individually.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th, 2026. You can take advantage of our discounted rates, with each window available for HK$120,000. This is an excellent chance to make a lasting impression on your target audience.

If you're interested in learning more about how lightfantastic.tv can help you reach new heights, please don't hesitate to reply to this email at hello@lightfantastic.tv. I'd be more than happy to discuss the details and provide you with a customized quote.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
