No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Hong Kong Internet Service Providers Association,+852 3112 8387,http://www.hkispa.org.hk/,Email Not Found,N/A,0 reviews,"Hong Kong, 香港上環文鹹西街59-67號金日集團中心13樓A-E室",60,⭐ Medium Priority,New,No,2026-08-25 10:34:10,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Internet Service Providers Association Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Internet Service Providers Association grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,OES Digital,+852 9699 1419,https://anqtech.com/,Email Not Found,5,31 reviews,"6B, Cigna Tower, 482 Jaffe Rd, Causeway Bay, Hong Kong Island, Hong Kong",79,🔥 High Priority,New,No,2026-08-25 10:34:10,"Subject: Grow Your Business with lightfantastic.tv

Dear OES Digital Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help OES Digital grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,GOIP SECUNET LTD,+852 2138 9388,https://goipgroup.com/,Email Not Found,N/A,0 reviews,"Ste 3606, 36/F, Skyline Tower, 39 Wang Kwong Rd, Kowloon Bay, Kowloon, Hong Kong",60,⭐ Medium Priority,New,No,2026-08-25 10:34:10,"Subject: Grow Your Business with lightfantastic.tv

Dear GOIP SECUNET LTD Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help GOIP SECUNET LTD grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,OCEAN I.T. LIMITED,No Phone Number,https://www.oceanit.com.hk/,info@oceanit.com.hk,5,2 reviews,"Hong Kong, Kowloon, Tsim Sha Tsui, Salisbury Rd, 3 號, Star House, 11 樓 1123 室",80,🔥 High Priority,New,No,2026-08-25 10:34:10,"Subject: Grow Your Business with lightfantastic.tv

Dear OCEAN I.T. LIMITED Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help OCEAN I.T. LIMITED grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,香港寬頻(北角) Hong Kong Broadband Network (North Point),+852 3498 3498,https://www.hkbn.net/,Email Not Found,2.8,113 reviews,"G20, Greenwich Centre, 260 Fortress Hill Rd, & King's Rd, North Point, Hong Kong Island, Hong Kong",70,🔥 High Priority,New,No,2026-08-25 10:34:10,"Subject: Grow Your Business with lightfantastic.tv

Dear 香港寬頻(北角) Hong Kong Broadband Network (North Point) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 香港寬頻(北角) Hong Kong Broadband Network (North Point) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,香港寬頻(黃大仙) Hong Kong Broadband Network (Wong Tai Sin),+852 3498 3498,https://hkbn.net/,Email Not Found,3.4,68 reviews,"南館地下 G5 號舖, Wong Tai Sin Plaza, Ching Tak St, Chuk Un, Kowloon, Hong Kong",67,⭐ Medium Priority,New,No,2026-08-25 10:34:10,"Subject: Grow Your Business with lightfantastic.tv

Dear 香港寬頻(黃大仙) Hong Kong Broadband Network (Wong Tai Sin) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 香港寬頻(黃大仙) Hong Kong Broadband Network (Wong Tai Sin) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,ISP Global Limited,No Phone Number,http://www.ispg.hk/,Email Not Found,N/A,0 reviews,"Suites 1604-6, 16/F, ICBC Tower, 3 Garden Rd, Central, Hong Kong",50,⭐ Medium Priority,New,No,2026-08-25 10:34:10,"Subject: Grow Your Business with lightfantastic.tv

Dear ISP Global Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help ISP Global Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,Wi-Ho! Telecom Square HK,+852 3568 0070,No Website,No Website,4,2 reviews,"Hong Kong, Kowloon, Kwun Tong, Hoi Yuen Rd, 72號, R10, Flat11-12, 12/F, Lladro Centre",50,⭐ Medium Priority,New,No,2026-08-25 10:34:10,"Subject: Grow Your Business with lightfantastic.tv

Dear Wi-Ho! Telecom Square HK Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Wi-Ho! Telecom Square HK grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Hong Kong Broadband Network (Sham Shui Po),+852 3498 3498,https://hkbn.net/,Email Not Found,3.2,147 reviews,"地下 C 號舖, 153 - 155 號 Fuk Wa St, Sham Shui Po, Kowloon, Hong Kong",70,🔥 High Priority,New,No,2026-08-25 10:34:10,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Broadband Network (Sham Shui Po) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Broadband Network (Sham Shui Po) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,AnSign Digital Technologies (HK) Limited,+852 3588 8733,https://en.easysign.cn/,Email Not Found,N/A,0 reviews,"Hong Kong, Hong Kong Island, Wan Chai, Lockhart Rd, 54-62號, 博匯大廈, 9樓02室",60,⭐ Medium Priority,New,No,2026-08-25 10:34:10,"Subject: Grow Your Business with lightfantastic.tv

Dear AnSign Digital Technologies (HK) Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help AnSign Digital Technologies (HK) Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
