No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Cattivo Jewelry Co. Ltd.,+852 3994 1888,http://www.cattivojewelry.com/,ciao@cattivojewelry.com,4.9,31 reviews,"12/F, 369 Hennessy Rd, Wan Chai, Hong Kong Island, Hong Kong",94,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Cattivo Jewelry Co. Ltd. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Cattivo Jewelry Co. Ltd. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,W. P. Jewellery Company Limited,+852 2854 0832,http://www.wpjewellery.com/,18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com,5,2 reviews,"Unit 09, 14/F Sung On St, Hung Hom, Kowloon, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear W. P. Jewellery Company Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help W. P. Jewellery Company Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,Shine Jewel Limited,+852 5169 8443,https://shinejewel.com/,info@shinejewel.com,5,17 reviews,"UNIT 1205, 12/F, CHEVALIER HOUSE, 45-51 Chatham Rd S, Tsim Sha Tsui, Kowloon, Hong Kong",92,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Shine Jewel Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Shine Jewel Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,Karp Jewellery Manufacturing HK Limited,+852 2369 3000,http://www.karpjewellery.com/,info@karpjewellery.com,5,1 reviews,"Hong Kong, Kowloon, Hung Hom, Harbour Centre Tower 2 8 Hok cheung Street Hung Hom, 1002, 10/F",90,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Karp Jewellery Manufacturing HK Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Karp Jewellery Manufacturing HK Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Himmy Jewellery Co Ltd,+852 2722 7771,https://himmyjewellery.com/,typesetit@att.net,5,1 reviews,"2 Sung Ping St, Hung Hom, Kowloon, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Himmy Jewellery Co Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Himmy Jewellery Co Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,Kayra Creation Limited,+852 5248 2000,http://kayracreation.com/,Email Not Found,4.9,134 reviews,"408, Hang Ngai Jewellery Centre, 4 Hok Yuen St E, Hok Yuen, Kowloon, Hong Kong",85,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Kayra Creation Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Kayra Creation Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,Niya K - Bespoke Natural & Lab Grown Diamond Engagement Rings & Fine Jewellery - Hong Kong,+852 9105 1516,https://niya-k.com/,inquiries@niya-k.com,5,238 reviews,"1601, Wilson House, 19-27 Wyndham St, Central, Hong Kong Island, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Niya K - Bespoke Natural & Lab Grown Diamond Engagement Rings & Fine Jewellery - Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Niya K - Bespoke Natural & Lab Grown Diamond Engagement Rings & Fine Jewellery - Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,Aberdeen Jewelry Factory Ltd,+852 2555 9488,No Website,No Website,4.8,4 reviews,"ROOM 2309-2310, Hing Wai Industrial Centre, Hing Wai Centre, 7 Tin Wan Praya Rd, Aberdeen, Hong Kong Island, Hong Kong",55,⭐ Medium Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Aberdeen Jewelry Factory Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Aberdeen Jewelry Factory Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Tai Chung Jewellery,+852 2764 8817,http://www.taichungjewellery.com/,support@tcjewellery.com,5,14 reviews,"UNIT 803, FLOOR 8, BLOCK A, 21 Man Lok St, Hung Hom, Kowloon, Hong Kong",92,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Tai Chung Jewellery Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Tai Chung Jewellery grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,"G S Jewellery (MFY) Co., Ltd.",+852 2722 0218,http://www.glorysunjew.com/,sales@glorysunjew.com,5,1 reviews,"16/F, 30-32 Cameron Rd, Tsim Sha Tsui, Kowloon, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear G S Jewellery (MFY) Co., Ltd. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help G S Jewellery (MFY) Co., Ltd. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
11,Polaris Jewellery Manufacturer Ltd 寶星,+852 2252 3388,https://www.polarisjew.com/,donate@opencart.com,3.7,6 reviews,"Hang Ngai Jewellery Centre, Hok Yuen St E, Hok Yuen, Kowloon, Hong Kong",82,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Polaris Jewellery Manufacturer Ltd 寶星 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Polaris Jewellery Manufacturer Ltd 寶星 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
12,Thousand Million Jewelry Manufacturing Ltd,+852 2739 0878,http://www.tmjhk.com/,info@thousandmillion.com,3.5,2 reviews,"Hong Kong, Hung Hom, Hok Cheung St, 8號, Harbour Centre Block 2, Unit 1202, 12/F, Tower 2, Harbour Centre",80,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Thousand Million Jewelry Manufacturing Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Thousand Million Jewelry Manufacturing Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
13,Kowloon Trading Company (KTC Jewellery),+852 2722 5540,https://www.kowloontrading.com/,Email Not Found,4,4 reviews,"8/F, 809 Hung Hom Commercial Tower A 37號, Ma Tau Wai Rd, Hok Yuen, Hung Hom, Kowloon, Hong Kong",70,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Kowloon Trading Company (KTC Jewellery) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Kowloon Trading Company (KTC Jewellery) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
14,D'sire Jewellery Hong Kong LTD.,+852 2721 9874,https://dsireshop.com/,Email Not Found,4.9,9 reviews,"408A, Hilder Center, 2 Sung Ping St, Hung Hom, Kowloon, Hong Kong",77,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear D'sire Jewellery Hong Kong LTD. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help D'sire Jewellery Hong Kong LTD. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
15,Lawrence Jewellery Company Limited,+852 2722 0789,http://www.lawrencejewelleryco.com/,79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com,5,2 reviews,"Unit 01, 22/F, 1 Duddell St, Central, Hong Kong Island, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Lawrence Jewellery Company Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Lawrence Jewellery Company Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
16,JF Jewellery (Manufacturing) Ltd.,+852 2809 2938,No Website,No Website,5,1 reviews,"ghIndustrial Building, Hang Fung Industrial Building, LdmkÝ D MUnit F2-02, 10/F, Phase 2, 2G Hok Yuen St, Hung Hom, Kowloon, Hong Kong",55,⭐ Medium Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear JF Jewellery (Manufacturing) Ltd. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help JF Jewellery (Manufacturing) Ltd. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
17,Legrand Jewellery (Mfg) Co Ltd,+852 2765 7818,No Website,No Website,4.3,3 reviews,"BLK O 5/F, 9-11A Hok Yuen St, Hung Hom, Kowloon, Hong Kong",50,⭐ Medium Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Legrand Jewellery (Mfg) Co Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Legrand Jewellery (Mfg) Co Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
18,Passion Art Jewelry (HK) Ltd,+852 2558 8990,https://www.passionart.hk/,jewelry@passionart.hk,5,1 reviews,"Unit 612, Block A, Commercial Centre, 39 Ma Tau Wai Rd, Hung Hom, Kowloon, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Passion Art Jewelry (HK) Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Passion Art Jewelry (HK) Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
19,Elegance Jewellery International Ltd,+852 2311 0511,http://www.eji.com.hk/,sz@eji.com.hkaddress,4.4,7 reviews,"19/F, 33 Cameron Rd, Tsim Sha Tsui, Kowloon, Hong Kong",87,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Elegance Jewellery International Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Elegance Jewellery International Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
20,Passion Jewellery Manufacturing Limited (HK),+65 8138 4086,https://www.passionjewellery.com.hk/,Email Not Found,N/A,0 reviews,"Room 2203 Kingsfield Centre 18 Shell Street, Tin Hau, North Point, Hong Kong Island, Hong Kong",60,⭐ Medium Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Passion Jewellery Manufacturing Limited (HK) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Passion Jewellery Manufacturing Limited (HK) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
21,Hong Kong Jewelry Manufacturers Association,+852 2766 3002,https://www.jewelry.org.hk/,enquiry@jewelry.org.hk,3.8,15 reviews,"2樓G室, Kaiser Estate Phase 2, 51號 Man Yue St, Hung Hom, Kowloon, Hong Kong",82,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Jewelry Manufacturers Association Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Jewelry Manufacturers Association grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
22,5C Hong Kong Ltd,+852 2627 0099,http://5c-group.com/,Email Not Found,5,3 reviews,"Peninsula Square, 18 Sung On St, Hung Hom, Kowloon, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear 5C Hong Kong Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 5C Hong Kong Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
23,YC Jewelry Limited,+852 2383 2119,https://www.jewelry.org.hk/en/membership/our-member-details.php?member_id=356,enquiry@jewelry.org.hk,5,1 reviews,"11樓1107室, 37號 Ma Tau Wai Rd, Hung Hom, Kowloon, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear YC Jewelry Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help YC Jewelry Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
24,Power Jewellery Company,+852 2376 1788,http://www.facebook.com/powerjewelleryco/,Email Not Found,4.8,36 reviews,"Shop A, 19-21 Hankow Road G/F, Tsim Sha Tsui, Kowloon, Hong Kong",79,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Power Jewellery Company Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Power Jewellery Company grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
25,King O King Jewellery Co. Ltd.,+852 9059 4323,https://kingokingjewellery.en.alibaba.com/?spm=a2700.7756200.mamo-user-profile.4.73931757Sw0AkP,Email Not Found,4.7,7 reviews,"Rm M25, 2/F, 11 Hok Yuen St, Hung Hom, Kowloon, Hong Kong",77,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear King O King Jewellery Co. Ltd. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help King O King Jewellery Co. Ltd. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
26,OBELLERY - Contemporary Jewellery Studio & Jewellery Workshop,+852 2155 4198,http://www.obellery.com/,viainfo@obellery.com,4.9,80 reviews,"Unit H403, Block B PMQ, 35 Aberdeen St, Central, Hong Kong Island, Hong Kong",97,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear OBELLERY - Contemporary Jewellery Studio & Jewellery Workshop Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help OBELLERY - Contemporary Jewellery Studio & Jewellery Workshop grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
27,Shanderson Jewellery Limited,+852 2669 3669,https://www.shanderson.com/,your-email@example.com,5,1 reviews,"Unit A 17/F, 8 Hart Ave, Tsim Sha Tsui, Kowloon, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Shanderson Jewellery Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Shanderson Jewellery Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
28,Myer Jewelry Mfr Ltd,+852 2766 8200,https://www.jewelry.org.hk/en/membership/our-member-details.php?member_id=234,enquiry@jewelry.org.hk,5,1 reviews,"Flat C, G/F, Phase 1, 41 Man Yue St, Hung Hom, Kowloon, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 09:06:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Myer Jewelry Mfr Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Myer Jewelry Mfr Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
