No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Jemocracy Fine Jewellery Hong Kong,+852 6973 8277,No Website,No Website,5.0,17 reviews,"BY APPOINTMENT ONLY, 1 18 Queen's Road Central, Central, Hong Kong Island, Hong Kong",57,⭐ Medium Priority,New,No,2026-08-25 08:54:18,"Subject: Grow Your Business with lightfantastic.tv

Dear Jemocracy Fine Jewellery Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Jemocracy Fine Jewellery Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,DiamondAsia-hk 香港鑽石,+852 9858 8858,https://www.diamondasia.hk/,9598info@diamondasia.hk,4.9,87 reviews,"Hong Kong, Hong Kong Island, Central, Wellington St, 14號",97,🔥 High Priority,New,No,2026-08-25 08:54:18,"Subject: Grow Your Business with lightfantastic.tv

Dear DiamondAsia-hk 香港鑽石 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help DiamondAsia-hk 香港鑽石 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,Mori,+852 9090 7273,https://www.mymori.co/,Email Not Found,5.0,58 reviews,"62 Lee Garden Rd, Causeway Bay, Hong Kong Island, Hong Kong",82,🔥 High Priority,New,No,2026-08-25 08:54:18,"Subject: Grow Your Business with lightfantastic.tv

Dear Mori Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Mori grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,Niya K - Bespoke Natural & Lab Grown Diamond Engagement Rings & Fine Jewellery - Hong Kong,+852 9105 1516,https://niya-k.com/,inquiries@niya-k.com,5.0,238 reviews,"1601, Wilson House, 19-27 Wyndham St, Central, Hong Kong Island, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 08:54:18,"Subject: Grow Your Business with lightfantastic.tv

Dear Niya K - Bespoke Natural & Lab Grown Diamond Engagement Rings & Fine Jewellery - Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Niya K - Bespoke Natural & Lab Grown Diamond Engagement Rings & Fine Jewellery - Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Ellis Jewellery,+852 2861 2326,http://www.ellisjewellery.com/,Email Not Found,4.8,27 reviews,"124 Queen's Rd E, Wan Chai, Hong Kong Island, Hong Kong",79,🔥 High Priority,New,No,2026-08-25 08:54:18,"Subject: Grow Your Business with lightfantastic.tv

Dear Ellis Jewellery Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Ellis Jewellery grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,New Grand Jewellery & Watch Co. Ltd. - Peking Road,+852 2368 8412,https://m.facebook.com/newgrandjewellery/,Email Not Found,4.9,10 reviews,"59 Peking Rd, Tsim Sha Tsui, Kowloon, Hong Kong",77,🔥 High Priority,New,No,2026-08-25 08:54:18,"Subject: Grow Your Business with lightfantastic.tv

Dear New Grand Jewellery & Watch Co. Ltd. - Peking Road Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help New Grand Jewellery & Watch Co. Ltd. - Peking Road grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,Bee's Diamonds | 香港獲獎鑽石批發 | 高級珠寶 | GIA鑽石投資,+852 2180 7812,http://www.beesdiamonds.com/,info@beesdiamonds.com,4.9,201 reviews,"Unit 401, 4/F, 6 Duddell St, Central, Hong Kong Island, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 08:54:18,"Subject: Grow Your Business with lightfantastic.tv

Dear Bee's Diamonds | 香港獲獎鑽石批發 | 高級珠寶 | GIA鑽石投資 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Bee's Diamonds | 香港獲獎鑽石批發 | 高級珠寶 | GIA鑽石投資 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,Roselle Jewelry,+852 6165 7596,https://rosellejewelry.com/zh-hant/pages/lab-grown-diamonds-tsim-sha-tsui,info@rosellejewelry.com,4.9,139 reviews,"FT 206, 2/F, 3 Hau Fook St, Tsim Sha Tsui, Kowloon, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 08:54:18,"Subject: Grow Your Business with lightfantastic.tv

Dear Roselle Jewelry Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Roselle Jewelry grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Power Jewellery Company,+852 2376 1788,http://www.facebook.com/powerjewelleryco/,Email Not Found,4.8,36 reviews,"Shop A, 19-21 Hankow Road G/F, Tsim Sha Tsui, Kowloon, Hong Kong",79,🔥 High Priority,New,No,2026-08-25 08:54:18,"Subject: Grow Your Business with lightfantastic.tv

Dear Power Jewellery Company Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Power Jewellery Company grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,Diamania Jewelry 迷雅鑽,+852 6629 9915,https://www.diamania.com.hk/,instagram@diamania.hk,5.0,824 reviews,"20樓A室, 28號 Mody Rd, Tsim Sha Tsui, Kowloon, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 08:54:18,"Subject: Grow Your Business with lightfantastic.tv

Dear Diamania Jewelry 迷雅鑽 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Diamania Jewelry 迷雅鑽 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
11,Gems Excellence - Fine Gemstone Jewelry Hong Kong,+852 6611 3094,https://gemsexcellence.com/,gemsexcellence-tagline_210x@2x.png,5.0,32 reviews,"Unit 1702, Waga Commercial Centre, 99 Wellington St, Central, Hong Kong Island, Hong Kong",94,🔥 High Priority,New,No,2026-08-25 08:54:18,"Subject: Grow Your Business with lightfantastic.tv

Dear Gems Excellence - Fine Gemstone Jewelry Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Gems Excellence - Fine Gemstone Jewelry Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
12,第一金鋪 First Gold 3.0 Jewellery,+852 2880 0600,https://www.firstgoldweb3.com/,Email Not Found,5.0,35 reviews,"G/F, 199 Johnston Rd, Wan Chai, Hong Kong Island, Hong Kong",79,🔥 High Priority,New,No,2026-08-25 08:54:18,"Subject: Grow Your Business with lightfantastic.tv

Dear 第一金鋪 First Gold 3.0 Jewellery Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 第一金鋪 First Gold 3.0 Jewellery grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
13,Roselle Jewelry,+852 9559 1118,https://rosellejewelry.com/zh-hant/pages/lab-grown-diamonds-causeway-bay,info@rosellejewelry.com,5.0,87 reviews,"20/F, 22 Yee Wo St, Causeway Bay, Hong Kong Island, Hong Kong",97,🔥 High Priority,New,No,2026-08-25 08:54:18,"Subject: Grow Your Business with lightfantastic.tv

Dear Roselle Jewelry Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Roselle Jewelry grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
