No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,GSM Hong Kong,+852 9481 8345,https://gsmhongkong.com/,info@gsmhongkong.com,5,19 reviews,"K16, 2nd Floor, Kaiser Estate Phase 2, 47-53 Man Yue St, Hung Hom, Kowloon, Hong Kong",92,🔥 High Priority,New,No,2026-08-25 10:13:02,"Subject: Grow Your Business with lightfantastic.tv

Dear GSM Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help GSM Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,Itech Circle HK,+852 9401 3492,No Website,No Website,5,17 reviews,"Shop 66, 1st Floor, 36-44 Nathan Rd, Tsim Sha Tsui, Kowloon, Hong Kong",57,⭐ Medium Priority,New,No,2026-08-25 10:13:02,"Subject: Grow Your Business with lightfantastic.tv

Dear Itech Circle HK Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Itech Circle HK grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,Phonestore 豐達手機維修及配件專門店-灣仔1F分店,+852 6290 0871,http://www.phonestore.com.hk/,79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com,4.9,910 reviews,"Hong Kong, Hong Kong Island, Wan Chai, Hennessy Rd, 130號, Wan Chai Computer Centre, 126A鋪",100,🔥 High Priority,New,No,2026-08-25 10:13:02,"Subject: Grow Your Business with lightfantastic.tv

Dear Phonestore 豐達手機維修及配件專門店-灣仔1F分店 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Phonestore 豐達手機維修及配件專門店-灣仔1F分店 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,Wonder digital,No Phone Number,No Website,No Website,4.8,304 reviews,"165號 Fuk Wa St, Sham Shui Po, Kowloon, Hong Kong",55,⭐ Medium Priority,New,No,2026-08-25 10:13:02,"Subject: Grow Your Business with lightfantastic.tv

Dear Wonder digital Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Wonder digital grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,PhoneStore 豐達手機維修及配件專門店-灣仔電腦城154 &167鋪,+852 5210 6797,https://www.phonestore.com.hk/homepage,79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com,5,40 reviews,"Hong Kong, Hong Kong Island, Wan Chai, Hennessy Rd, 130號, 灣仔電腦城, 1樓154&167鋪",94,🔥 High Priority,New,No,2026-08-25 10:13:02,"Subject: Grow Your Business with lightfantastic.tv

Dear PhoneStore 豐達手機維修及配件專門店-灣仔電腦城154 &167鋪 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help PhoneStore 豐達手機維修及配件專門店-灣仔電腦城154 &167鋪 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,Mobiles.hk,+852 9410 3801,https://www.mobiles.hk/,Email Not Found,5,2 reviews,"Hong Kong, Kowloon, Kwun Tong, Hoi Yuen Rd, 63號, Fook Cheong Building, FA Room, G/F",75,🔥 High Priority,New,No,2026-08-25 10:13:02,"Subject: Grow Your Business with lightfantastic.tv

Dear Mobiles.hk Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Mobiles.hk grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,香港eSIM信豐電訊 電話卡批發及零售/大陸電話/歐洲電話卡/歐洲電話卡/日本電話卡/台灣電話卡/美國電話卡/泰國電話/韓國電話卡,+852 6234 1999,http://www.hkesim.com.hk/,kkm6888@icloud.com,5,13 reviews,"Hong Kong, Kowloon, Mong Kok, Argyle St, 83號, 地下G93鋪",92,🔥 High Priority,New,No,2026-08-25 10:13:02,"Subject: Grow Your Business with lightfantastic.tv

Dear 香港eSIM信豐電訊 電話卡批發及零售/大陸電話/歐洲電話卡/歐洲電話卡/日本電話卡/台灣電話卡/美國電話卡/泰國電話/韓國電話卡 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 香港eSIM信豐電訊 電話卡批發及零售/大陸電話/歐洲電話卡/歐洲電話卡/日本電話卡/台灣電話卡/美國電話卡/泰國電話/韓國電話卡 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,Phonestore,+852 6496 2800,https://www.phonestore.com.hk/homepage,79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com,4.9,617 reviews,"Hong Kong, Hong Kong Island, Wan Chai, Hennessy Rd, 130號, Computer Centre, Shop 260",100,🔥 High Priority,New,No,2026-08-25 10:13:02,"Subject: Grow Your Business with lightfantastic.tv

Dear Phonestore Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Phonestore grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Wonda Mobile,+852 3001 6609,https://www.wondamobile.com/,cs@wondamobile.com,4.9,106 reviews,"Rm510, Global Gateway Tower, 63 Wing Hong St, Lai Chi Kok, Kowloon, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 10:13:02,"Subject: Grow Your Business with lightfantastic.tv

Dear Wonda Mobile Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Wonda Mobile grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,通訊無阻,+852 6932 1454,https://www.facebook.com/tsltd/,Email Not Found,4.9,132 reviews,"a1 exit, Yau Ma Tei, Kowloon, Hong Kong",85,🔥 High Priority,New,No,2026-08-25 10:13:02,"Subject: Grow Your Business with lightfantastic.tv

Dear 通訊無阻 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 通訊無阻 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
