No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Itech Circle HK,+852 9401 3492,No Website,No Website,5,17 reviews,"Shop 66, 1st Floor, 36-44 Nathan Rd, Tsim Sha Tsui, Kowloon, Hong Kong",57,⭐ Medium Priority,New,No,2026-08-25 10:20:17,"Subject: Grow Your Business with lightfantastic.tv

Dear Itech Circle HK Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Itech Circle HK grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,GSM Hong Kong,+852 9481 8345,https://gsmhongkong.com/,info@gsmhongkong.com,5,19 reviews,"K16, 2nd Floor, Kaiser Estate Phase 2, 47-53 Man Yue St, Hung Hom, Kowloon, Hong Kong",92,🔥 High Priority,New,No,2026-08-25 10:20:17,"Subject: Grow Your Business with lightfantastic.tv

Dear GSM Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help GSM Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,NADEEMI TRADING COMPANY (HONG KONG),+852 5589 9400,http://www.facebook.com/ntchk/,Email Not Found,5,6 reviews,"Shop 66, 1st, 36-44 Nathan Rd, Tsim Sha Tsui, Kowloon, Hong Kong",77,🔥 High Priority,New,No,2026-08-25 10:20:17,"Subject: Grow Your Business with lightfantastic.tv

Dear NADEEMI TRADING COMPANY (HONG KONG) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help NADEEMI TRADING COMPANY (HONG KONG) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,Mi Home (Chong Hing Square Store),+852 2698 8871,http://www.mi.com/hk/service/mihome/mongkok/,Email Not Found,4,5935 reviews,"地下D-F鋪, 601號 Nathan Rd, Mong Kok, Kowloon, Hong Kong",80,🔥 High Priority,New,No,2026-08-25 10:20:17,"Subject: Grow Your Business with lightfantastic.tv

Dear Mi Home (Chong Hing Square Store) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Mi Home (Chong Hing Square Store) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Hongkong Market phones,No Phone Number,No Website,No Website,5,1 reviews,"Mong Kok, Kowloon, Hong Kong",45,⭐ Medium Priority,New,No,2026-08-25 10:20:17,"Subject: Grow Your Business with lightfantastic.tv

Dear Hongkong Market phones Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hongkong Market phones grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,Mobile Repair Pro Shop - 手機維修專門店,+852 9839 0831,http://www.mobilerepairhk.com/,support@mobilerepairhk.com,4.9,634 reviews,"地下 G81B 舖, Sin Tat Plaza, 83號 Argyle St, Mong Kok, Kowloon, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 10:20:17,"Subject: Grow Your Business with lightfantastic.tv

Dear Mobile Repair Pro Shop - 手機維修專門店 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Mobile Repair Pro Shop - 手機維修專門店 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,It-Mobile,No Phone Number,No Website,No Website,1.8,15 reviews,"Mong Kok, Kowloon, Hong Kong",32,💡 Low Priority,New,No,2026-08-25 10:20:17,"Subject: Grow Your Business with lightfantastic.tv

Dear It-Mobile Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help It-Mobile grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,Owtel HK 127 World Wide Plaza,+852 2850 7733,http://www.owtel.com.hk/,Email Not Found,5,1 reviews,"Store # 127, Plaza, World Wide House, 19 Des Voeux Rd Central, Central, Hong Kong Island, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 10:20:17,"Subject: Grow Your Business with lightfantastic.tv

Dear Owtel HK 127 World Wide Plaza Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Owtel HK 127 World Wide Plaza grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,CityLink,+852 2789 2650,https://www.citylink.com.hk/,Email Not Found,3.8,88 reviews,"HK Kowloon Shop no.2, G/F, Pak Po Lee Commerical Centre, 1A Sai Yeung Choi St S, Hong Kong",72,🔥 High Priority,New,No,2026-08-25 10:20:17,"Subject: Grow Your Business with lightfantastic.tv

Dear CityLink Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help CityLink grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,at amazingthing,+852 2396 8899,https://www.amazingthing.com/,contact@amazingthing.com,4.8,26 reviews,"Office: Room B & D, 4/F, 16 Cheung Yue St, Lai Chi Kok, Kowloon, Hong Kong",94,🔥 High Priority,New,No,2026-08-25 10:20:17,"Subject: Grow Your Business with lightfantastic.tv

Dear at amazingthing Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help at amazingthing grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
