No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Man Wai Motorcycle Centre,+852 2567 5707,http://www.manwaimotorcycle.com/,8c4075d5481d476e945486754f783364@sentry.io,4.6,79 reviews,"Shop 5, G/F, 12 Ka Yip St, Chai Wan, Hong Kong",97,🔥 High Priority,New,No,2026-07-14 21:06:08,"Subject Line: Put Your Brand on the Streets of Hong Kong with Lightfantastic.tv

Dear Man Wai Motorcycle Centre Team,

I came across your motorcycle centre and was impressed by the 4.6-star rating on your website. It's clear that you've built a loyal customer base in Hong Kong.

At lightfantastic.tv, we help businesses like yours reach a wider audience through out-of-home advertising. With our innovative platform, you can put your brand in front of thousands of potential customers on the streets of Hong Kong. Imagine your brand being displayed on four prominent windows, increasing your visibility and driving foot traffic to your store.

As a valued business in the community, we're offering you an exclusive deal for our Singles' Day promotion (5-11 Nov 2026). For just HK$120,000 per window, you can reserve our peak-season slots and save compared to booking each window individually. This is an opportunity you shouldn't miss!

If you're interested in learning more about how lightfantastic.tv can help amplify your brand, please reply to this email at hello@lightfantastic.tv. Our team would be delighted to discuss the details and provide a customised quote for your business.

Best regards,
Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
2,Fai-Sir Motorbike 輝Sir電單車考牌課程,+852 6425 7823,https://faisirmotorbike.com/,faisirmotorbike@gmail.com,4.8,162 reviews,"Hong Kong, Causeway Bay, Caroline Hill Rd, 11號, 商場內, A地鋪",100,🔥 High Priority,New,No,2026-07-14 21:06:08,"Subject: Unlock Peak Season Advertising Opportunity in Hong Kong

Dear Fai-Sir Motorbike 輝Sir電單車考牌課程 Team,

I came across your excellent website (https://faisirmotorbike.com/) and noticed your 4.8-star rating - an impressive achievement! As a representative of lightfantastic.tv, I'd like to introduce you to an innovative out-of-home advertising solution that can help amplify your brand's visibility in Hong Kong.

Our light displays on major streets and intersections allow businesses like yours to connect with over 7 million people daily. By taking our entire inventory, you can secure a prominent presence for Fai-Sir Motorbike throughout the peak season, setting your brand apart from the competition. Plus, you'll save on costs compared to booking individual windows.

To make this opportunity even more appealing, we're offering a limited-time promotion for Singles' Day, from November 5th to 11th, 2026. Reserve our full peak season display for just HK$120,000 per window.

If you're interested in learning more about how lightfantastic.tv can elevate your brand's presence in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Looking forward to exploring how we can help Fai-Sir Motorbike shine brighter in the city!

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the",
3,Corsa Motors Limited,+852 2407 6828,https://www.corsamotors.net/,ed436f5053144538958ad06a5005e99a@sentry.wixpress.com,4.7,56 reviews,"233-235號 Wo Yi Hop Rd, Kwai Chung, Hong Kong",97,🔥 High Priority,New,No,2026-07-14 21:06:08,"Subject: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Hi Corsa Motors Limited Team,

I came across your impressive 4.7-star rating and stunning website at https://www.corsamotors.net/, and I'm excited to introduce you to a unique opportunity to further amplify your brand's presence in Hong Kong.

As a leader in out-of-home advertising, lightfantastic.tv offers an unparalleled way to connect with your target audience on the streets of Hong Kong. By partnering with us, you can reserve our four windows at a discounted rate of HK$400,000, ensuring your brand stands out at peak season.

However, we're not just stopping at peak season. This Singles' Day (5-11 Nov 2026), we're offering a special promotion: secure one of our iconic windows for a limited time at HK$120,000 each. This is an unbeatable chance to maximize your brand's visibility during a highly engaging period.

If you're interested in harnessing the power of out-of-home advertising to drive brand awareness and engagement, I'd love to discuss this opportunity further. Please don't hesitate to reach out to me at hello@lightfantastic.tv.

Looking forward to collaborating with you to put your brand on the streets of Hong Kong.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
[Phone Number]
[Email Address]
www.lightfantastic.tv
Your brand. Amplified.",
4,頭盔王電單車 Helmet King,+852 6385 8830,http://www.helmetking.com/,helmetkinghkinfo@helmetking.com,4.6,553 reviews,"Hong Kong, Mong Kok, Dundas St, 地下1號鋪, Po Hang Building, 2-8號",100,🔥 High Priority,New,No,2026-07-14 21:06:08,"Subject Line: Amplify Your Marketing Efforts with LightFantastic.tv in Hong Kong

Dear 頭盔王電單車 Helmet King Team,

As a reputable brand like Helmet King, I'm sure you're always looking for innovative ways to reach your target audience. At lightfantastic.tv, we specialize in out-of-home advertising, putting your brand directly in front of the people of Hong Kong.

Our large-scale digital window displays in four prominent locations across the city offer an unparalleled opportunity for businesses like yours to increase brand visibility and drive foot traffic. By taking all four windows, you can reserve the full peak season and enjoy significant cost savings compared to booking each window individually.

To take your marketing efforts to the next level, we're excited to announce a special offer just for you: Singles' Day promotion from November 5th to 11th, 2026. For just HK$120,000 per window, you can amplify your brand's presence across our network of iconic windows.

If you're interested in learning more about how lightfantastic.tv can help Helmet King reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be delighted to discuss your marketing goals and provide a customized solution.

Best regards,

Emily Wong
Sales Representative
LightFantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
5,Chun Kee Motorcycle Co Ltd,+852 2762 2777,http://www.ck-honda.com/,info@ck-honda.com,3.5,138 reviews,"A地下, 9號 Peace Ave, Mong Kok, Hong Kong",90,🔥 High Priority,New,No,2026-07-14 21:06:08,"Subject Line: Unlock the Power of Out-of-Home Advertising in Hong Kong

Hi Chun Kee Motorcycle Co Ltd Team,

I've been exploring your business and noticed that you're a prominent player in the Hong Kong motorcycle industry. As a marketer, I believe your brand deserves to reach a wider audience and create a lasting impression on the streets of Hong Kong.

That's where lightfantastic.tv comes in – a cutting-edge out-of-home advertising solution that allows you to reserve multiple windows for a discounted rate, making it an ideal choice for businesses looking to maximize their brand visibility. Our platform enables you to take control of four windows at a competitive price of HK$400,000, ensuring your message reaches a vast and engaged audience throughout the city.

However, I'd like to highlight an exclusive opportunity that might be of particular interest to your team. This Singles' Day (5-11 Nov 2026), we're offering an unbeatable deal: HK$120,000 per window, providing an exceptional chance to elevate your brand's presence and connect with potential customers in the heart of Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help your business grow, I'd be delighted to schedule a call to discuss the details and explore how we can work together to take your marketing efforts to the next level.

Reach out to me directly at hello@lightfantastic.tv to get started.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of",
6,The Oscar Motors,+852 3188 9111,http://www.oscarmotors.com.hk/,Email Not Found,4.1,135 reviews,"Ngai Sheung Factory Building, 13 Elm St, Tai Kok Tsui, Hong Kong",80,🔥 High Priority,New,No,2026-07-14 21:06:08,"Subject Line: Amplify Your Brand in Hong Kong's Bustling Streets

Dear The Oscar Motors Team,

I came across The Oscar Motors and was impressed with your 4.1-star rating and commitment to excellence in the automotive industry. As a business owner, you're likely always looking for innovative ways to reach new customers and create a lasting impression.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Our unique, four-window display system allows you to reserve a full season and save against booking each window individually. This means you can maximize your brand's visibility and reach a wider audience.

Our system is perfect for businesses like The Oscar Motors, looking to create a lasting impression and drive sales. With lightfantastic.tv, you'll be able to:

- Increase brand awareness and recognition
- Reach a wider audience and demographics
- Drive foot traffic to your physical locations

As a special offer, we're excited to announce our Singles' Day promotion from November 5th to 11th, 2026. Book any of our four windows during this period and enjoy a discounted rate of HK$120,000 per window.

If you're interested in learning more about how lightfantastic.tv can help The Oscar Motors, I'd love to schedule a call to discuss further. Simply reply to this email or reach out to hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv",
7,Moto Plex Hong Kong,+852 2385 0181,http://www.motoplex.com.hk/,Email Not Found,3.6,70 reviews,"Hong Kong, To Kwa Wan, To Kwa Wan Rd, 373號, SHOP A, G/F",72,🔥 High Priority,New,No,2026-07-14 21:06:08,"Subject: Unlock the Potential of Out-of-Home Advertising in Hong Kong

Dear Moto Plex Hong Kong Team,

I came across Moto Plex Hong Kong while researching innovative businesses in Hong Kong, and I was impressed by your commitment to providing exceptional experiences for your customers. As a representative from lightfantastic.tv, I'd like to introduce our unique out-of-home advertising solution that can help take your brand to the next level.

Our LED window displays are strategically placed in prime locations across Hong Kong, offering an unparalleled opportunity to reach a massive audience. By partnering with lightfantastic.tv, you can amplify your brand's presence, drive foot traffic, and boost sales. Our platform is particularly effective for businesses like Moto Plex Hong Kong, which values creating memorable experiences for its customers.

To celebrate the upcoming Singles' Day, we're offering a special promotion that you won't want to miss. From November 5th to 11th, 2026, reserve any of our four windows for an unbeatable price of HK$120,000 per window. This limited-time offer is perfect for businesses looking to make a significant impact during the peak season.

If you're interested in exploring how lightfantastic.tv can elevate your brand's visibility, I invite you to reach out to me directly at hello@lightfantastic.tv. I'd be more than happy to discuss your goals and provide a customized quote.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong",
8,Man Lee Tat (Yamaha Motorcycle),+852 2612 2218,http://www.yamaha-mlt.com.hk/,Email Not Found,3.8,174 reviews,"88 Prince Edward Rd W, Mong Kok, Hong Kong",75,🔥 High Priority,New,No,2026-07-14 21:06:08,"Subject: Amplify Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear Man Lee Tat (Yamaha Motorcycle) Team,

I hope this email finds you well. I came across your business and was impressed by the Yamaha motorcycles you offer. As a marketing specialist with a deep understanding of out-of-home advertising in Hong Kong, I'd like to introduce you to lightfantastic.tv - a unique platform that allows you to showcase your brand in the most dynamic and engaging way possible.

Our digital billboard network spans across four prime locations in Hong Kong, providing unparalleled reach and exposure for your brand. By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately, boost sales. Our platform is particularly effective for businesses like yours that cater to a wide audience with diverse interests.

To help you make the most of the peak holiday season, we're offering a special promotion for Singles' Day, which takes place from November 5th to 11th. For a limited time, you can reserve one of our prime windows for just HK$120,000 - a significant discount compared to booking each window individually.

If you're interested in exploring how lightfantastic.tv can elevate your brand's presence in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be more than happy to discuss your marketing goals and provide a customized proposal tailored to your needs.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv",
9,Ricoland Moto Bike (Hong Kong) Company Limited,+852 2890 9738,No Website,No Website,3.8,49 reviews,"San Po Kong, Hong Kong",49,⭐ Medium Priority,New,No,2026-07-14 21:06:08,"Subject Line: Unlock the Power of Out-of-Home Advertising in Hong Kong

Dear Ricoland Moto Bike (Hong Kong) Company Limited Team,

I came across your business and was impressed by your 3.8-star rating on local directories. As a professional in the advertising industry, I'd like to introduce you to lightfantastic.tv, a cutting-edge out-of-home advertising platform that can help you reach your target audience in Hong Kong.

At lightfantastic.tv, we provide a unique opportunity for businesses like yours to showcase their brand on the streets of Hong Kong. Our platform allows you to reserve all four windows for a discounted rate of HK$400,000, saving you money compared to booking each window individually. This strategic approach enables you to create a lasting impression on potential customers and increase brand visibility.

As a motorcycle enthusiast's paradise, I believe Ricoland Moto Bike (Hong Kong) Company Limited can greatly benefit from our out-of-home advertising solutions. By partnering with us, you can enhance your brand's presence, drive foot traffic, and ultimately boost sales.

To make it even more attractive, we're offering a special promotion for Singles' Day from 5 to 11 November 2026. Book any window during this period, and it's yours for HK$120,000.

If you're interested in learning more about how lightfantastic.tv can help your business, I'd be delighted to schedule a call. Please don't hesitate to reach out to me at",
10,Ducati Hong Kong,+852 2838 5577,http://www.ducati.com.hk/,Email Not Found,4.3,59 reviews,"地下F室, Wong King Industrial Building, 192-198號 Choi Hung Rd, San Po Kong, Hong Kong",77,🔥 High Priority,New,No,2026-07-14 21:06:08,"Subject: Elevate Your Brand in Hong Kong's Bustling Streets

Dear Ducati Hong Kong Team,

I came across your exceptional 4.3-star rating on the web and was impressed by your commitment to delivering premium motorcycle experiences to Hong Kong's thrill-seekers. As a representative from lightfantastic.tv, I believe our out-of-home advertising solutions can further amplify your brand's presence and reach a wider audience in the city.

Our LED screens strategically located across Hong Kong's busiest areas provide an unparalleled opportunity for businesses like yours to capture the attention of potential customers. By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately boost sales. Our solution is particularly effective for brands that value high visibility and engagement.

This Singles' Day, from November 5th to 11th, we're offering an exclusive promotion for new customers: HK$120,000 per window, a significant saving compared to booking individual windows throughout the peak season. Reserve all four windows for a total of HK$480,000, and you'll not only save on costs but also enjoy uninterrupted brand promotion throughout the busiest period.

If you're interested in exploring how lightfantastic.tv can elevate your brand in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss further and provide a customized proposal tailored to your business needs.

Best regards,

Emily Wong
Business Development Representative
lightfantastic.tv
Out-of-home",
