No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,LE LABO Hong Kong Gough St. Store,+852 2520 0648,No Website,No Website,4.8,143 reviews,"26 Gough St, Central, Hong Kong",65,⭐ Medium Priority,New,No,2026-07-31 07:54:30,"Subject Line: Elevate Your Brand's Presence in Hong Kong with lightfantastic.tv

Dear LE LABO Hong Kong Gough St. Store Team,

I came across your business and was impressed by your 4.8-star rating - a testament to your exceptional offerings. As a sales representative from lightfantastic.tv, I'm excited to introduce our innovative out-of-home advertising solution that can help elevate your brand's visibility in the vibrant streets of Hong Kong.

Our digital display network, lightfantastic.tv, offers a unique opportunity to reach your target audience effectively. By advertising on our platform, you can increase brand awareness, drive foot traffic, and ultimately boost sales. With our user-friendly interface, you can easily manage and optimize your campaigns to achieve maximum ROI.

To make the most of the upcoming peak season, we're offering an exclusive Singles' Day promotion from November 5th to 11th, 2026. You can reserve a full window for a special price of HK$120,000 - a significant discount compared to booking each window individually.

Don't miss this chance to put your brand on the streets of Hong Kong. If you're interested in learning more about our services and how lightfantastic.tv can benefit your business, please reach out to us at hello@lightfantastic.tv.

Looking forward to connecting with you.

Best regards,
Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of",
2,Scented Niche,+852 2608 2206,http://www.scentedniche.com/,example@email.com,4.9,37 reviews,"地下28號店, 華登大廈, Great George St, Causeway Bay, Hong Kong",94,🔥 High Priority,New,No,2026-07-31 07:54:30,"Subject Line:
Reach New Heights with lightfantastic.tv this Singles' Day

Dear Scented Niche Team,

I've been following your success at http://www.scentedniche.com/ and noticed that you've built a loyal customer base with a rating of 4.9. That's truly impressive. As a leading out-of-home advertising platform in Hong Kong, I'd love to help you take your brand to the next level.

Our platform, lightfantastic.tv, offers a unique opportunity to engage with millions of potential customers across four prime locations in Hong Kong. By reserving our windows, you can achieve maximum visibility and reach your target audience more effectively. Not only that, but our bundled package offers significant savings compared to booking each window individually.

To celebrate Singles' Day, we're offering an exclusive promotion from November 5th to 11th. For just HK$120,000 per window, you can secure a prime spot and boost your brand's presence in Hong Kong. Don't miss this chance to shine!

If you're interested in learning more about our platform and how it can benefit your business, please don't hesitate to reach out. Simply reply to this email or send a message to hello@lightfantastic.tv.

Looking forward to hearing from you and exploring how lightfantastic.tv can help Scented Niche reach new heights.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong.",
3,PERFUME STATION,+852 6904 2277,http://www.perfumestationhk.com/,Email Not Found,4.4,57 reviews,"Beverley Commercial Centre, Shop 45, G/f, 87-105 Chatham Rd S, Tsim Sha Tsui, Hong Kong",77,🔥 High Priority,New,No,2026-07-31 07:54:30,"Subject: Boost Your Brand Visibility in Hong Kong's Bustling Streets

Dear PERFUME STATION,

As a long-time admirer of your high-end fragrances, I was excited to come across your brand while researching innovative businesses in Hong Kong. Your 4.4-star rating is a testament to your commitment to quality and customer satisfaction.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Imagine having your message displayed on four strategically located digital screens, reaching thousands of potential customers every day. Our platform is designed to help businesses like PERFUME STATION increase their brand visibility, drive foot traffic, and ultimately boost sales.

By partnering with lightfantastic.tv, you'll be able to:

- Reserve the full peak season and save against booking each window on its own
- Take all four windows for an unbeatable price of HK$400,000

To commemorate Singles' Day, we're offering a special deal on our windows - book any of our screens from November 5th to 11th, 2026, and enjoy a discounted rate of HK$120,000 per window.

If you're interested in learning more about how lightfantastic.tv can elevate your brand's presence in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss further and answer any questions you may have.

Best regards,

Emily Wong
Sales Representative
lightfant",
4,Archi,+852 6993 7405,No Website,No Website,4.8,13 reviews,"2-4A Mee Lun Street, Central, Hong Kong",57,⭐ Medium Priority,New,No,2026-07-31 07:54:30,"Subject: Unlock Peak Season Advertising Opportunities in Hong Kong

Dear Archi Team,

I hope this email finds you well. My name is Emily Wong, and I'm reaching out from lightfantastic.tv, the leading out-of-home advertising platform in Hong Kong. We help businesses like yours connect with the city's vibrant audience through our network of high-impact digital screens.

At lightfantastic.tv, we understand the importance of being seen in the right places at the right times. Our platform allows you to reserve prime window space in key locations, ensuring your brand reaches a highly engaged and targeted audience. By booking all four windows, you can secure the best possible visibility and drive real results for your business.

As a valued business in the Hong Kong market, we'd like to offer you an exclusive opportunity to save on peak season bookings. During our Singles' Day promotion (5-11 Nov 2026), you can reserve a single window for just HK$120,000. This is a limited-time offer that won't last long, so I encourage you to act quickly.

If you're interested in learning more about how lightfantastic.tv can help you reach your target audience, please don't hesitate to contact me directly at hello@lightfantastic.tv. I'd be happy to schedule a call to discuss your advertising goals and tailor a solution that meets your needs.

Looking forward to hearing from you soon.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home",
5,Scented Niche,+852 2608 2205,http://www.scentedniche.com/,example@email.com,4.8,57 reviews,"Hong Kong, Tsim Sha Tsui, Salisbury Rd, level 2 210a",97,🔥 High Priority,New,No,2026-07-31 07:54:30,"Subject Line: Boost Your Brand's Visibility in Hong Kong's Bustling Streets

Dear Scented Niche Team,

I came across your lovely website (http://www.scentedniche.com/) and noticed your excellent 4.8 rating. As a specialist in out-of-home advertising, I'd love to introduce you to lightfantastic.tv, a unique opportunity to put your brand on the streets of Hong Kong.

Our innovative digital display network features a massive LED screen that transforms four large windows into a single, immersive canvas. By booking all four windows, you'll not only make a bold statement but also save against individual bookings. This is an ideal solution for businesses like Scented Niche looking to elevate their brand presence and engage with a massive audience.

To help you make the most of this opportunity, we're running a special promotion during Singles' Day from November 5th to 11th. Book any of our windows during this period and enjoy an exclusive rate of HK$120,000 per window!

If you're interested in learning more about this exciting offer, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be delighted to discuss how lightfantastic.tv can help you reach your marketing goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
6,Intime Artisan de Parfum Studio,+852 9782 1237,http://www.intimeperfume.com/,corporate@intimeperfume.com,5,37 reviews,"Flat A, 8/F, 142-146 Queen's Road Central, Central, Hong Kong",94,🔥 High Priority,New,No,2026-07-31 07:54:30,"Subject Line: Elevate Your Brand in the Heart of Hong Kong

Dear Intime Artisan de Parfum Studio,

I came across your exquisite perfume studio and was impressed by your 5-star rating on your website. As a marketing professional, I believe your unique brand deserves to be showcased in the most captivating way possible. That's where lightfantastic.tv comes in – a cutting-edge, out-of-home advertising platform that puts your brand on the streets of Hong Kong.

With lightfantastic.tv, you can reserve a whole window for HK$400,000 and save against booking each window on its own. This gives you the flexibility to create a cohesive marketing strategy that reaches a wider audience. Imagine your stunning visuals and messaging on the windows of some of Hong Kong's busiest districts, leaving a lasting impression on potential customers.

This Singles' Day (5-11 Nov 2026), we're offering an exclusive deal: HK$120,000 per window. This is an unbeatable opportunity to amplify your brand's exposure and drive sales during the peak shopping season.

If you're interested in learning more about how lightfantastic.tv can elevate your brand's presence in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong.",
7,Habibi Arabian Perfumes (Tsim Sha Tsui) 阿拉伯香水(尖沙咀),+852 6061 1494,https://habibi-arabian-perfumes.com/,Email Not Found,5,15 reviews,"號舖, Shop 46, Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Hong Kong 尖沙咀彌敦道58號美麗都大廈2樓46, Tsim Sha Tsui, Hong Kong",77,🔥 High Priority,New,No,2026-07-31 07:54:30,"Subject Line: Elevate Your Brand's Visibility in Hong Kong's Bustling Streets

Dear Habibi Arabian Perfumes (Tsim Sha Tsui) Team,

I came across your wonderful store in Tsim Sha Tsui and was impressed by the high rating of 5 on your website. As a sales representative from lightfantastic.tv, I'd love to introduce our innovative out-of-home advertising platform that can help you reach a wider audience in the heart of Hong Kong.

Our network of 4 windows offers a unique opportunity for businesses like yours to increase brand awareness and drive foot traffic. By reserving our windows, you can save against booking each window individually, making it a cost-effective solution for your marketing efforts.

To coincide with the upcoming Singles' Day (5-11 Nov 2026), we're offering an exclusive promotion: HK$120,000 per window. This is a fantastic opportunity to elevate your brand's visibility and stay top-of-mind with your target audience.

If you're interested in learning more about how lightfantastic.tv can support your marketing goals, I'd be delighted to schedule a call to discuss further. Simply reply to this email or reach out to hello@lightfantastic.tv to get in touch.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
8,MystiquePerfume,+852 5347 1225,https://mystiquehkperfume.com/,Email Not Found,4.9,29 reviews,"Hong Kong, Mong Kok, Argyle St, 65號, 新之城, 1樓166店",79,🔥 High Priority,New,No,2026-07-31 07:54:30,"Subject: Amplify Your Brand's Presence in Hong Kong with Lightfantastic.tv

Hi MystiquePerfume Team,

I came across your exceptional brand, MystiquePerfume, with a 4.9-star rating on your website, and I must say, your commitment to quality is truly inspiring. As a leading out-of-home advertising platform in Hong Kong, lightfantastic.tv is dedicated to helping businesses like yours reach new heights.

Our innovative LED screens situated at key locations across Hong Kong provide an unparalleled opportunity to showcase your brand to an engaged and targeted audience. With lightfantastic.tv, you can:

- Enhance brand awareness and reach a wider audience
- Create a lasting impression with our high-quality visuals
- Drive foot traffic to your stores and boost sales

To celebrate Singles' Day this year, we're offering an exclusive promotion for our valued partners. From November 5th to 11th, you can reserve our LED screens for an unbeatable price of HK$120,000 per window. Don't miss this chance to elevate your brand's presence in Hong Kong and make a lasting impact on the market.

If you're interested in learning more about our services or reserving our LED screens for the Singles' Day promotion, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Looking forward to collaborating with you and taking your brand to new heights!

Best regards,
Emily Wong
Sales Representative
lightfantastic.tv
Out-of",
9,Top Accessories Perfume,+852 9180 6182,https://www.top-hongkong.com/,aec31088a6fb4f6eafac028a91e1cf21@o769852.ingest.sentry.io,5,1616 reviews,"Hong Kong, Tsim Sha Tsui, Mody Rd, 地鐵N5出口, 地下32號舖",100,🔥 High Priority,New,No,2026-07-31 07:54:30,"Subject: Elevate Your Brand in Hong Kong with lightfantastic.tv

Dear Top Accessories Perfume Team,

I came across your exceptional brand, Top Accessories Perfume, and was impressed by your 5-star rating and sleek online presence (https://www.top-hongkong.com/). As a professional in out-of-home advertising, I wanted to introduce you to lightfantastic.tv – a unique opportunity to put your brand on the streets of Hong Kong and reach potential customers in a dynamic and engaging way.

Our network of LED displays offers a seamless and impactful way to connect with passersby, increasing brand awareness and driving foot traffic to your physical stores. By partnering with lightfantastic.tv, you can:

- Reserve the full peak season and save against booking each window on its own
- Reach a wider audience and maximize your brand's visibility

To make it even more compelling, we're excited to announce our special offer for Singles' Day: from November 5th to 11th, 2026, you can reserve a window for just HK$120,000.

If you're interested in learning more about how lightfantastic.tv can benefit Top Accessories Perfume, please don't hesitate to reach out to me at hello@lightfantastic.tv. I'd be happy to schedule a call to discuss your goals and preferences.

Looking forward to the possibility of working together!

Best regards,

Ling Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising,",
10,Le Labo Fragrances,+852 2759 8680,http://lelabofragrances.com/,concierge@lelabofragrances.com,4.4,64 reviews,"Shop 1080, Level 1, International Finance Centre, 1 Harbour View St, Central, Hong Kong",92,🔥 High Priority,New,No,2026-07-31 07:54:30,"Subject: Elevate Your Brand Presence in Hong Kong with lightfantastic.tv

Dear Le Labo Fragrances Team,

I came across your beautiful brand, Le Labo Fragrances, and was impressed by your 4.4-star rating on http://lelabofragrances.com/. As a business with a strong online presence, I thought you might be interested in taking your brand to the streets of Hong Kong with out-of-home advertising.

At lightfantastic.tv, we help businesses like yours reach a wider audience, increase brand awareness, and drive foot traffic to their stores. Our digital screens are strategically located in high-traffic areas, providing a unique opportunity to showcase your brand to the right people at the right time.

This Singles' Day, we're offering an exclusive deal on our screens. From November 5th to 11th, you can reserve a window for just HK$120,000. This is a fantastic opportunity to reach a large audience and make a lasting impression.

If you're interested in learning more about this offer or would like to discuss how lightfantastic.tv can help your business, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Looking forward to the possibility of working together.

Best regards,
Emily Lee
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong.",
