No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Journalize,+852 3565 6455,https://www.instagram.com/journalize_store/,Email Not Found,4.4,118 reviews,"23號地舖, 灣景商場內 Bay View Mansion, Moreton Terrace, Causeway Bay, Hong Kong Island, Hong Kong",80,🔥 High Priority,New,No,2026-08-25 13:05:40,"Subject: Grow Your Business with lightfantastic.tv

Dear Journalize Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Journalize grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,銳麗紙業文具有限公司 HT Paper & Stationery Company Limited,+852 2729 7109,https://www.htpaper.com.hk/,aec31088a6fb4f6eafac028a91e1cf21@o769852.ingest.sentry.io,4.9,30 reviews,"Hong Kong, New Territories, Kwai Chung, Tai Lin Pai Rd, 172-180號, 金龍工業中心第三期, 20E室",94,🔥 High Priority,New,No,2026-08-25 13:05:40,"Subject: Grow Your Business with lightfantastic.tv

Dear 銳麗紙業文具有限公司 HT Paper & Stationery Company Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 銳麗紙業文具有限公司 HT Paper & Stationery Company Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,Chi Shing Stationery,+852 2778 3809,https://csstationery.hk/,sales@csstationery.hk,4.7,253 reviews,"Man On Building, 12B-12D Boundary St, Mong Kok, Kowloon, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 13:05:40,"Subject: Grow Your Business with lightfantastic.tv

Dear Chi Shing Stationery Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Chi Shing Stationery grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,Sam & Company,+852 2525 9607,http://www.samnco-hk.com/,Email Not Found,4.4,49 reviews,"38 Stanley St, Central, Hong Kong Island, Hong Kong",74,🔥 High Priority,New,No,2026-08-25 13:05:40,"Subject: Grow Your Business with lightfantastic.tv

Dear Sam & Company Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Sam & Company grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,The Tree Stationery & Co. 大樹文房,+852 2598 4328,https://thetreestationery.com/,hkstylecafe_5_580x@2x.jpg,4.8,86 reviews,"2/F, 10 Matheson St, Causeway Bay, Hong Kong Island, Hong Kong",97,🔥 High Priority,New,No,2026-08-25 13:05:40,"Subject: Grow Your Business with lightfantastic.tv

Dear The Tree Stationery & Co. 大樹文房 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The Tree Stationery & Co. 大樹文房 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,Artland,+852 2511 4845,http://www.artland.com.hk/,aec31088a6fb4f6eafac028a91e1cf21@o769852.ingest.sentry.io,4,342 reviews,"3/F, Lockhart Centre, 301-307 Lockhart Rd, Wan Chai, Hong Kong Island, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 13:05:40,"Subject: Grow Your Business with lightfantastic.tv

Dear Artland Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Artland grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,"Yat Fat Stationers Co., Ltd.",+852 2523 2628,http://www.yatfatst.com.hk/,john@abc.com,4.5,78 reviews,"2/F, 44-46 Des Voeux Rd Central, Central, Hong Kong Island, Hong Kong",97,🔥 High Priority,New,No,2026-08-25 13:05:40,"Subject: Grow Your Business with lightfantastic.tv

Dear Yat Fat Stationers Co., Ltd. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Yat Fat Stationers Co., Ltd. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,Muze Pens,+852 3619 5136,http://www.muzepens.com/,Email Not Found,4.6,289 reviews,"G/F, 236 Tai Nan St, Sham Shui Po, Kowloon, Hong Kong",85,🔥 High Priority,New,No,2026-08-25 13:05:40,"Subject: Grow Your Business with lightfantastic.tv

Dear Muze Pens Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Muze Pens grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,CN Square,+852 2384 2430,No Website,No Website,4.6,176 reviews,"503 Nathan Rd, Mong Kok, Kowloon, Hong Kong",65,⭐ Medium Priority,New,No,2026-08-25 13:05:40,"Subject: Grow Your Business with lightfantastic.tv

Dear CN Square Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help CN Square grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,Wah Yuen Stationery Co Ltd,+852 2543 4694,http://www.wahyuen.com/,info@wahyuen.com,N/A,0 reviews,"Unit D 3rd floor, 2 Cheung Yue St, Cheung Sha Wan, Kowloon, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 13:05:40,"Subject: Grow Your Business with lightfantastic.tv

Dear Wah Yuen Stationery Co Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Wah Yuen Stationery Co Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
