No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Chi Shing Stationery,+852 2778 3809,https://csstationery.hk/,sales@csstationery.hk,4.7,253 reviews,"Man On Building, 12B-12D Boundary St, Mong Kok, Kowloon, Hong Kong",100,🔥 High Priority,New,No,2026-08-26 08:26:33,"Subject: Grow Your Business with lightfantastic.tv

Dear Chi Shing Stationery Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Chi Shing Stationery grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,Sam & Company,+852 2525 9607,http://www.samnco-hk.com/,Email Not Found,4.4,49 reviews,"38 Stanley St, Central, Hong Kong Island, Hong Kong",74,🔥 High Priority,New,No,2026-08-26 08:26:33,"Subject: Grow Your Business with lightfantastic.tv

Dear Sam & Company Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Sam & Company grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,CN Square,+852 2384 2430,No Website,No Website,4.6,176 reviews,"503 Nathan Rd, Mong Kok, Kowloon, Hong Kong",65,⭐ Medium Priority,New,No,2026-08-26 08:26:33,"Subject: Grow Your Business with lightfantastic.tv

Dear CN Square Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help CN Square grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,The Tree Stationery & Co. 大樹文房,+852 2598 4328,https://thetreestationery.com/,clp001-1_dc320647-0ebd-4639-b894-122e0c07de0f_580x@2x.webp,4.8,86 reviews,"2/F, 10 Matheson St, Causeway Bay, Hong Kong Island, Hong Kong",97,🔥 High Priority,New,No,2026-08-26 08:26:33,"Subject: Grow Your Business with lightfantastic.tv

Dear The Tree Stationery & Co. 大樹文房 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The Tree Stationery & Co. 大樹文房 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Artland,+852 2511 4845,http://www.artland.com.hk/,aec31088a6fb4f6eafac028a91e1cf21@o769852.ingest.sentry.io,4.0,342 reviews,"3/F, Lockhart Centre, 301-307 Lockhart Rd, Wan Chai, Hong Kong Island, Hong Kong",95,🔥 High Priority,New,No,2026-08-26 08:26:33,"Subject: Grow Your Business with lightfantastic.tv

Dear Artland Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Artland grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,Journalize,+852 3565 6455,https://www.instagram.com/journalize_store/,Email Not Found,4.4,118 reviews,"23號地舖, 灣景商場內 Bay View Mansion, Moreton Terrace, Causeway Bay, Hong Kong Island, Hong Kong",80,🔥 High Priority,New,No,2026-08-26 08:26:33,"Subject: Grow Your Business with lightfantastic.tv

Dear Journalize Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Journalize grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,Muze Pens,+852 3619 5136,http://www.muzepens.com/,info@muzepens.com,4.6,289 reviews,"G/F, 236 Tai Nan St, Sham Shui Po, Kowloon, Hong Kong",100,🔥 High Priority,New,No,2026-08-26 08:26:33,"Subject: Grow Your Business with lightfantastic.tv

Dear Muze Pens Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Muze Pens grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,"Yat Fat Stationers Co., Ltd.",+852 2523 2628,http://www.yatfatst.com.hk/,john@abc.com,4.5,78 reviews,"2/F, 44-46 Des Voeux Rd Central, Central, Hong Kong Island, Hong Kong",97,🔥 High Priority,New,No,2026-08-26 08:26:33,"Subject: Grow Your Business with lightfantastic.tv

Dear Yat Fat Stationers Co., Ltd. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Yat Fat Stationers Co., Ltd. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Chung Nam Book & Stationery Co. Ltd.,+852 2384 2430,http://chungnamhk.hk/,Email Not Found,4.3,1371 reviews,"503 Nathan Rd, Yau Ma Tei, Kowloon, Hong Kong",80,🔥 High Priority,New,No,2026-08-26 08:26:33,"Subject: Grow Your Business with lightfantastic.tv

Dear Chung Nam Book & Stationery Co. Ltd. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Chung Nam Book & Stationery Co. Ltd. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,CN Square,+852 2462 2265,http://www.chungnam.cc/,Email Not Found,4.1,476 reviews,"M樓, United Building, 135號 King's Rd, North Point, Hong Kong Island, Hong Kong",80,🔥 High Priority,New,No,2026-08-26 08:26:33,"Subject: Grow Your Business with lightfantastic.tv

Dear CN Square Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help CN Square grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
