No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,city’super (IFC),+852 2736 3866,http://www.citysuper.com.hk/,yourname@email.com,4.2,1721 reviews,"Shop 1041-1049, L1, ifc Mall, 8 Finance St, Central, Hong Kong Island, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 08:18:21,"Subject: Grow Your Business with lightfantastic.tv

Dear city’super (IFC) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help city’super (IFC) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,c!ty’super Harbour City,+852 2375 8222,https://online.citysuper.com.hk/blogs/happenings/store-locator,contact@citysuper.comtel,4.1,1941 reviews,"3001鋪, Harbour City, Canton Rd, Tsim Sha Tsui, Kowloon, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 08:18:21,"Subject: Grow Your Business with lightfantastic.tv

Dear c!ty’super Harbour City Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help c!ty’super Harbour City grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,Market Place (Langham Place 朗豪坊店),+852 3580 8952,https://www.marketplacehk.com/,onlinecs@marketplacehk.com,3.8,631 reviews,"Shop No 8 B2, Langham Place, 8 Argyle St, Mong Kok, Kowloon, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 08:18:21,"Subject: Grow Your Business with lightfantastic.tv

Dear Market Place (Langham Place 朗豪坊店) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Market Place (Langham Place 朗豪坊店) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,Great Food Hall,+852 2918 9986,http://www.greatfoodhall.com/,Email Not Found,4.1,895 reviews,"Unit 009 Level LG1, The Mall Pacific Place II, Admiralty, Hong Kong Island, Hong Kong",80,🔥 High Priority,New,No,2026-08-25 08:18:21,"Subject: Grow Your Business with lightfantastic.tv

Dear Great Food Hall Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Great Food Hall grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Oliver's the Delicatessen,+852 2810 7710,http://www.oliversthedeli.com.hk/,Email Not Found,4.3,215 reviews,"Shop no 322-328, 3/F, Landmark Prince's, 10 Chater Rd, Central, Hong Kong Island, Hong Kong",80,🔥 High Priority,New,No,2026-08-25 08:18:21,"Subject: Grow Your Business with lightfantastic.tv

Dear Oliver's the Delicatessen Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Oliver's the Delicatessen grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,Wellcome (Kimberley Road),+852 3105 2457,https://www.wellcome.com.hk/,onlineshop@wellcome.com.hk,4.0,489 reviews,"53-54 Kimberley Rd, Tsim Sha Tsui, Kowloon, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 08:18:21,"Subject: Grow Your Business with lightfantastic.tv

Dear Wellcome (Kimberley Road) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Wellcome (Kimberley Road) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,Market Place (iSquare 國際廣場店),+852 2641 4410,https://www.marketplacehk.com/,onlinecs@marketplacehk.com,4.0,883 reviews,"LG08-13, Isquare, Shop, 63 Nathan Rd, Tsim Sha Tsui, Kowloon, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 08:18:21,"Subject: Grow Your Business with lightfantastic.tv

Dear Market Place (iSquare 國際廣場店) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Market Place (iSquare 國際廣場店) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,Wellcome,+852 2577 3215,https://www.wellcome.com.hk/,onlineshop@wellcome.com.hk,4.1,1193 reviews,"25-29號 Great George St, Causeway Bay, Hong Kong Island, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 08:18:21,"Subject: Grow Your Business with lightfantastic.tv

Dear Wellcome Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Wellcome grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Shop Easy Superstore,+852 2488 8402,https://shopeasyss.com/,Email Not Found,3.9,182 reviews,"Golden Crown Court, 66-70 Nathan Rd, Tsim Sha Tsui, Kowloon, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 08:18:21,"Subject: Grow Your Business with lightfantastic.tv

Dear Shop Easy Superstore Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Shop Easy Superstore grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,YATA Supermarket (Mong Kok),+852 2192 2388,https://www.yata.hk/tch/store/mong-kok/,Email Not Found,3.8,1902 reviews,"Hong Kong, Kowloon, Mong Kok, Prince Edward Rd W, 193號, 旺角新世紀廣場 5樓",75,🔥 High Priority,New,No,2026-08-25 08:18:21,"Subject: Grow Your Business with lightfantastic.tv

Dear YATA Supermarket (Mong Kok) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help YATA Supermarket (Mong Kok) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
