No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,香港eSIM信豐電訊 電話卡批發及零售/大陸電話/歐洲電話卡/歐洲電話卡/日本電話卡/台灣電話卡/美國電話卡/泰國電話/韓國電話卡,+852 6234 1999,http://www.hkesim.com.hk/,kkm6888@icloud.com,5,13 reviews,"Hong Kong, Kowloon, Mong Kok, Argyle St, 83號, 地下G93鋪",92,🔥 High Priority,New,No,2026-08-25 10:24:23,"Subject: Grow Your Business with lightfantastic.tv

Dear 香港eSIM信豐電訊 電話卡批發及零售/大陸電話/歐洲電話卡/歐洲電話卡/日本電話卡/台灣電話卡/美國電話卡/泰國電話/韓國電話卡 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 香港eSIM信豐電訊 電話卡批發及零售/大陸電話/歐洲電話卡/歐洲電話卡/日本電話卡/台灣電話卡/美國電話卡/泰國電話/韓國電話卡 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,Hutchison Telecommunications Hong Kong Holdings Ltd.,+852 2128 2828,https://web.three.com.hk/plans/5g/index.html?cmpid=sem_google_5gplan_250303_nil_brand_campaign&gad_source=1&gad_campaignid=21420631580&gbraid=0AAAAADJBQZprLIuoUfOLsMh9RGhw1_b8D&gclid=CjwKCAjwyb3DBhBlEiwAqZLe5Hu9TRm5t3srLHqloRb2uolQzXpHaXnE7TBGN_WQSEWmXPwCdry6QBoCNZwQAvD_BwE,cs.mobile@three.com.hk,3.5,21 reviews,"99 Cheung Fai Rd, Tsing Yi, New Territories, Hong Kong",84,🔥 High Priority,New,No,2026-08-25 10:24:23,"Subject: Grow Your Business with lightfantastic.tv

Dear Hutchison Telecommunications Hong Kong Holdings Ltd. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hutchison Telecommunications Hong Kong Holdings Ltd. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,China Telecom Global Limited,+852 2877 9777,https://www.chinatelecomglobal.com/,cs@chinatelecomglobal.com,4.2,16 reviews,"Gloucester Rd, Wan Chai, Hong Kong Island, Hong Kong",87,🔥 High Priority,New,No,2026-08-25 10:24:23,"Subject: Grow Your Business with lightfantastic.tv

Dear China Telecom Global Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help China Telecom Global Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,Telecom House,No Phone Number,No Website,No Website,3.8,72 reviews,"Gloucester Rd, Wan Chai, Hong Kong Island, Hong Kong",42,⭐ Medium Priority,New,No,2026-08-25 10:24:23,"Subject: Grow Your Business with lightfantastic.tv

Dear Telecom House Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Telecom House grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Telin Hong Kong,+852 3102 3309,No Website,No Website,3.6,7 reviews,"Suite 910-911, 9/F, Ocean Center, 5 Canton Rd, Tsim Sha Tsui, Kowloon, Hong Kong",47,⭐ Medium Priority,New,No,2026-08-25 10:24:23,"Subject: Grow Your Business with lightfantastic.tv

Dear Telin Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Telin Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,First Telecom (Hong Kong) Limited,+852 2310 4123,http://firsttelecom.com.hk/,info@firsttelecom.com.hk,3,2 reviews,"10樓D室, Effort Industrial Centre, 2-8號 Kung Yip St, Kwai Chung, New Territories, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 10:24:23,"Subject: Grow Your Business with lightfantastic.tv

Dear First Telecom (Hong Kong) Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help First Telecom (Hong Kong) Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,CITIC Telecom International CPC Limited,+852 2170 7401,http://www.citictel-cpc.com/,sgoffice@citictel-cpc.com,5,1 reviews,"20/F, 979 King's Rd, Quarry Bay, Hong Kong Island, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 10:24:23,"Subject: Grow Your Business with lightfantastic.tv

Dear CITIC Telecom International CPC Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help CITIC Telecom International CPC Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,China-Hongkong Telecom Limited,+852 6510 2952,http://www.chkt.hk/,cs@chkt.hk,3,1 reviews,"369-375號 Des Voeux Rd Central, Sheung Wan, Hong Kong Island, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 10:24:23,"Subject: Grow Your Business with lightfantastic.tv

Dear China-Hongkong Telecom Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help China-Hongkong Telecom Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,PCCW Global,+852 2888 6688,http://www.pccwglobal.com/,Email Not Found,3.8,28 reviews,"Telecom House, 3號 Gloucester Rd, Wan Chai, Hong Kong Island, Hong Kong",69,⭐ Medium Priority,New,No,2026-08-25 10:24:23,"Subject: Grow Your Business with lightfantastic.tv

Dear PCCW Global Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help PCCW Global grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,Plasa GraPARI Hong Kong,+852 2890 1230,https://kartuas2in1.hk/about/,Email Not Found,4.6,36 reviews,"Shop 2, G/F, 9 - 15 Yee Wo St, Causeway Bay, Hong Kong Island, Hong Kong",79,🔥 High Priority,New,No,2026-08-25 10:24:23,"Subject: Grow Your Business with lightfantastic.tv

Dear Plasa GraPARI Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Plasa GraPARI Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
