No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,TVB,No Phone Number,https://www.tvb.com/,tvbpr@tvb.com.hk,3.6,863 reviews,"TVB City, 77 Chun Choi St, Tseung Kwan O Industrial Estate, New Territories, Hong Kong",80,🔥 High Priority,New,No,2026-08-26 08:43:45,"Subject: Grow Your Business with lightfantastic.tv

Dear TVB Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help TVB grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,ViuTV,+852 2888 5112,http://viu.tv/,Email Not Found,4.1,58 reviews,"12 Ka Yip St, Chai Wan, Hong Kong Island, Hong Kong",77,🔥 High Priority,New,No,2026-08-26 08:43:45,"Subject: Grow Your Business with lightfantastic.tv

Dear ViuTV Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help ViuTV grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,Radio Television Hong Kong Broadcasting House,+852 2339 6300,https://www.rthk.hk/,Email Not Found,4,339 reviews,"30, 30 Broadcast Dr, Beacon Hill, Kowloon, Hong Kong",80,🔥 High Priority,New,No,2026-08-26 08:43:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Radio Television Hong Kong Broadcasting House Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Radio Television Hong Kong Broadcasting House grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,Radio Television Hong Kong,+852 2339 6300,http://rthk.hk/,Email Not Found,3.9,113 reviews,"Radio Television Hong Kong Television House, 3號 Broadcast Dr, Beacon Hill, Kowloon, Hong Kong",75,🔥 High Priority,New,No,2026-08-26 08:43:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Radio Television Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Radio Television Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Fox International Channels Hong Kon...,+852 2621 8000,No Website,No Website,4,2 reviews,"Hong Kong, 香港九龍紅磡 德豐街18號 海濱廣場1座13樓",50,⭐ Medium Priority,New,No,2026-08-26 08:43:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Fox International Channels Hong Kon... Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Fox International Channels Hong Kon... grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,Hong Kong Television Network Ltd.,+852 3145 6888,No Website,No Website,3.3,6 reviews,"13th Floor, Trans Asia Centre, 18 Kin Hong St, Kwai Chung, New Territories, Hong Kong",42,⭐ Medium Priority,New,No,2026-08-26 08:43:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Television Network Ltd. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Television Network Ltd. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,Munhwa Broadcasting Corporation (MBC) of Hong Kong,No Phone Number,No Website,No Website,N/A,0 reviews,"Chung Kiu Commercial Building, 47-51 Shantung St, Mong Kok, Kowloon, Hong Kong",30,💡 Low Priority,New,No,2026-08-26 08:43:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Munhwa Broadcasting Corporation (MBC) of Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Munhwa Broadcasting Corporation (MBC) of Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,Now TV,No Phone Number,No Website,No Website,3,2 reviews,"12 Ka Yip St, Chai Wan, Hong Kong Island, Hong Kong",30,💡 Low Priority,New,No,2026-08-26 08:43:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Now TV Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Now TV grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Commercial Radio Hong Kong,+852 2339 4810,http://www.881903.com/,Email Not Found,4.3,108 reviews,"Hong Kong Commercial Radio, 3 Broadcast Dr, Beacon Hill, Kowloon, Hong Kong",80,🔥 High Priority,New,No,2026-08-26 08:43:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Commercial Radio Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Commercial Radio Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,Now TV | 全港最具規模收費電視 | ⁠140多條本地及世界級頻道 | ⁠世界頂級體育賽事 | ⁠盡攬全球頂尖新聞頻道 | 英超獨家直播 | 電影至強⁠ | 囊括環球得獎劇集猛片,+852 2888 1888,https://www.nowtv.now.com/,Email Not Found,4.8,36 reviews,"14/F, Place PCCW Tower, 979 King's Road Taikoo, Quarry Bay, Hong Kong Island, Hong Kong",79,🔥 High Priority,New,No,2026-08-26 08:43:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Now TV | 全港最具規模收費電視 | ⁠140多條本地及世界級頻道 | ⁠世界頂級體育賽事 | ⁠盡攬全球頂尖新聞頻道 | 英超獨家直播 | 電影至強⁠ | 囊括環球得獎劇集猛片 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Now TV | 全港最具規模收費電視 | ⁠140多條本地及世界級頻道 | ⁠世界頂級體育賽事 | ⁠盡攬全球頂尖新聞頻道 | 英超獨家直播 | 電影至強⁠ | 囊括環球得獎劇集猛片 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
