No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Patek Philippe Boutique Hong Kong by The Hour Glass,+852 2522 0262,https://www.thehourglass.com/,ar.thgl@thehourglass.com,5,707 reviews,"Shop G19-20 & Shop 111, Landmark Atrium, 15 Queen's Road Central, Central, Hong Kong Island, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 09:24:41,"Subject: Grow Your Business with lightfantastic.tv

Dear Patek Philippe Boutique Hong Kong by The Hour Glass Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Patek Philippe Boutique Hong Kong by The Hour Glass grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,Basel One Jewelry and Watches Limited Rolex Omega Patek Trade In Repair,No Phone Number,http://www.baselone.com/,philip@baselone.com,5,316 reviews,"Suite 1106, floor 11, podium plaza, 5 Hanoi Rd, Tsim Sha Tsui, Kowloon, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 09:24:41,"Subject: Grow Your Business with lightfantastic.tv

Dear Basel One Jewelry and Watches Limited Rolex Omega Patek Trade In Repair Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Basel One Jewelry and Watches Limited Rolex Omega Patek Trade In Repair grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,The 1916 Company (WatchBox) De Bethune,+852 5804 3363,https://www.the1916company.com/about-us/our-locations/watchBox-hong-kong/?utm_source=gbp&utm_medium=organic&utm_campaign=watchbox-hong-kong&utm_content=website,care@the1916company.com,4.6,34 reviews,"14/F 1402, 1 Duddell Street, 1 Duddell St, Central, Hong Kong Island, Hong Kong",94,🔥 High Priority,New,No,2026-08-25 09:24:41,"Subject: Grow Your Business with lightfantastic.tv

Dear The 1916 Company (WatchBox) De Bethune Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The 1916 Company (WatchBox) De Bethune grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,Watches World Hong Kong,+852 9250 1828,https://www.watchesworld.com/,mobile-rm07-01@2x.jpg,4.4,8 reviews,"Unit 2309-11, 23/F, 663 King's Rd, Quarry Bay, Hong Kong Island, Hong Kong",87,🔥 High Priority,New,No,2026-08-25 09:24:41,"Subject: Grow Your Business with lightfantastic.tv

Dear Watches World Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Watches World Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Raymond Chung Vintage Watch Shop,+852 6938 1928,No Website,No Website,4.7,50 reviews,"Shop, 2 Pottinger St, Central, Hong Kong Island, Hong Kong",62,⭐ Medium Priority,New,No,2026-08-25 09:24:41,"Subject: Grow Your Business with lightfantastic.tv

Dear Raymond Chung Vintage Watch Shop Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Raymond Chung Vintage Watch Shop grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,Mall of the watch,+852 2609 0060,http://www.mallofthewatch.com/,Email Not Found,4.4,19 reviews,"Office 1015, 10/F Tower A, 14 Science Museum Rd, Tsim Sha Tsui, Kowloon, Hong Kong",72,🔥 High Priority,New,No,2026-08-25 09:24:41,"Subject: Grow Your Business with lightfantastic.tv

Dear Mall of the watch Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Mall of the watch grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,The Watch and Jewellery Shop,+852 3188 0976,https://www.thewatchandjewelleryshop.com/,thewatchandjewelleryshopltd@gmail.com,4.9,17 reviews,"Shop No.B-102 on the First Basement, Holiday Inn Golden Mile, 46-52Nathan Road and 2, 12 Mody Rd, Tsim Sha Tsui, Kowloon, Hong Kong",92,🔥 High Priority,New,No,2026-08-25 09:24:41,"Subject: Grow Your Business with lightfantastic.tv

Dear The Watch and Jewellery Shop Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The Watch and Jewellery Shop grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,TS Links Luxury Watches,+852 6064 3201,https://www.tslinks.com/,3201sales@tslinks.com,5,4 reviews,"8/F 834 unit, Beverley Commercial Centre, Chatham Rd S, Tsim Sha Tsui, Kowloon, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 09:24:41,"Subject: Grow Your Business with lightfantastic.tv

Dear TS Links Luxury Watches Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help TS Links Luxury Watches grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Berne Horology Hong Kong 香港寶鏗古董鐘錶,+852 2815 5255,https://www.bernehorology.com/store,user@domain.com,4.7,64 reviews,"6-12 Wing Kut Street, Sheung Wan Shing Lee Commercial Building Unit A, 10th Floor, Sheung Wan, Hong Kong Island, Hong Kong",97,🔥 High Priority,New,No,2026-08-25 09:24:41,"Subject: Grow Your Business with lightfantastic.tv

Dear Berne Horology Hong Kong 香港寶鏗古董鐘錶 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Berne Horology Hong Kong 香港寶鏗古董鐘錶 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,Jessenia Original (尖沙咀) - 香港錶帶專門店 Watch Strap Hong Kong,+852 6970 0668,https://jessenia-original.com/zh,cs@jessenia-original.com,4.9,44 reviews,"Shop 101A, 1/F, Mira Place, 9 Kimberley Rd, Tsim Sha Tsui, Kowloon, Hong Kong",94,🔥 High Priority,New,No,2026-08-25 09:24:41,"Subject: Grow Your Business with lightfantastic.tv

Dear Jessenia Original (尖沙咀) - 香港錶帶專門店 Watch Strap Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Jessenia Original (尖沙咀) - 香港錶帶專門店 Watch Strap Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
