No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email
1,Chinavasion Wholesale Gadgets,+852 2724 7058,https://www.chinavasion.com/,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.8,288 reviews,"Bright Way Tower, 33 Mong Kok Rd, Mong Kok, Hong Kong",85,🔥 High Priority,New,No,2026-07-04 19:29:27,"Subject: Grow Your Business with lightfantastic.tv

Dear Chinavasion Wholesale Gadgets Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Chinavasion Wholesale Gadgets grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
2,Ninki Denki,+852 2332 3723,https://www.ninkidenki.hk/zh/,cybersec@Lfile.shunhinggroup.com,4,25 reviews,"503, 506-507, iSQUARE, 63 Nathan Rd, Tsim Sha Tsui, Hong Kong",89,🔥 High Priority,New,No,2026-07-04 19:29:27,"Subject: Grow Your Business with lightfantastic.tv

Dear Ninki Denki Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Ninki Denki grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
3,Wan Chai Computer Centre,+852 2834 7685,https://www.facebook.com/WanchaiComputerCentre/,Error: Error code: 401 - {'error': {'message': 'Invalid A,3.8,5286 reviews,"130 Hennessy Rd, Wan Chai, Hong Kong",75,🔥 High Priority,New,No,2026-07-04 19:29:27,"Subject: Grow Your Business with lightfantastic.tv

Dear Wan Chai Computer Centre Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Wan Chai Computer Centre grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
4,REGAL'S ELECTRONICS,+852 6681 5307,No Website,No Website,3.9,7 reviews,"1/fl Shop-38, MTR Exit H, Chung King Mansion, Next to Holiday Inn Golden Mile Hotel, 36-44 Nathan Rd, Tsim Sha Tsui, Hong Kong",47,⭐ Medium Priority,New,No,2026-07-04 19:29:27,"Subject: Grow Your Business with lightfantastic.tv

Dear REGAL'S ELECTRONICS Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help REGAL'S ELECTRONICS grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
5,TDK Electronics Hong Kong Limited,+852 3669 8200,http://www.tdk-electronics.tdk.com/,Error: Error code: 401 - {'error': {'message': 'Invalid A,5,2 reviews,"Suite 2B-4, 20/F, Tower 5, China Hong Kong City, 33 Canton Rd, Tsim Sha Tsui, Hong Kong",75,🔥 High Priority,New,No,2026-07-04 19:29:27,"Subject: Grow Your Business with lightfantastic.tv

Dear TDK Electronics Hong Kong Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help TDK Electronics Hong Kong Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
6,Sony Store Hong Kong,+852 2833 5129,http://www.sony.com.hk/store/sonystore/,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.1,957 reviews,"Shop 503-504, 500 Hennessy Rd, Causeway Bay, Hong Kong",80,🔥 High Priority,New,No,2026-07-04 19:29:27,"Subject: Grow Your Business with lightfantastic.tv

Dear Sony Store Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Sony Store Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
7,OneKey Hong Kong Authorised Reseller 香港官方指定經銷商 - by Ooosh Tech Lab,+852 3628 3606,https://shop.price.com.hk/ledgerhk_oooshtechlab/category/67587,Website Unreachable,4.7,3 reviews,"22/F, Tower 2, New World Tower, Central, Hong Kong",75,🔥 High Priority,New,No,2026-07-04 19:29:27,"Subject: Grow Your Business with lightfantastic.tv

Dear OneKey Hong Kong Authorised Reseller 香港官方指定經銷商 - by Ooosh Tech Lab Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help OneKey Hong Kong Authorised Reseller 香港官方指定經銷商 - by Ooosh Tech Lab grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
8,RNA TRONICS LIMITED HK,+353 89 962 4655,https://rnatronics.com/,Support@rnatronics.com,5,7 reviews,"Unit 2904-05, 29/F, Universal Trade Centre, 3 Arbuthnot Rd, Central, Hong Kong",92,🔥 High Priority,New,No,2026-07-04 19:29:27,"Subject: Grow Your Business with lightfantastic.tv

Dear RNA TRONICS LIMITED HK Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help RNA TRONICS LIMITED HK grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
9,Golden Computer Arcade,No Phone Number,https://www.hongkongfuns.com/,Error: Error code: 401 - {'error': {'message': 'Invalid A,4,15770 reviews,"黃金大廈, Fuk Wa St, Un Chau, Hong Kong",70,🔥 High Priority,New,No,2026-07-04 19:29:27,"Subject: Grow Your Business with lightfantastic.tv

Dear Golden Computer Arcade Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Golden Computer Arcade grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
10,"和興無線電行 (灣仔店) / Wo Hing Radio Co., Ltd. (Wanchai Shop)",+852 3420 0604,https://www.whr.hk/index.php?route=common/home,wcshop@whr.hk,3.6,37 reviews,"HK Hong Kong Island SHOP 323, 2F., 298 COMPUTER ZONE, 298 Hennessy Rd, Hong Kong",84,🔥 High Priority,New,No,2026-07-04 19:29:27,"Subject: Grow Your Business with lightfantastic.tv

Dear 和興無線電行 (灣仔店) / Wo Hing Radio Co., Ltd. (Wanchai Shop) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 和興無線電行 (灣仔店) / Wo Hing Radio Co., Ltd. (Wanchai Shop) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
