No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email
1,GSM Hong Kong,+852 9481 8345,https://gsmhongkong.com/,john@company.com,5,19 reviews,"K16, 2nd Floor, Kaiser Estate Phase 2, 47-53 Man Yue St, Hung Hom, Hong Kong",92,🔥 High Priority,New,No,2026-07-10 13:06:34,"Subject: Reach the Heart of Hong Kong's Vibrant Streets with Lightfantastic.tv

Dear GSM Hong Kong Team,

I came across your website, https://gsmhongkong.com/, and noticed your impressive 5-star rating. As a business that clearly understands the importance of effective marketing, I'd like to introduce you to a unique opportunity to take your brand to the next level.

Lightfantastic.tv is an innovative out-of-home advertising platform that allows you to reach the hearts of Hong Kong's vibrant streets. Our dynamic windows in key locations across the city provide an unparalleled chance to engage with a vast and diverse audience. By partnering with us, you can elevate your brand's visibility, drive foot traffic, and ultimately, boost sales.

Our platform is perfect for businesses like GSM Hong Kong that want to make a lasting impression on their target audience. With our expert team handling the logistics, you can focus on what matters most – growing your business.

We're excited to announce a special offer just for you: this Singles' Day (5-11 Nov 2026), book any of our windows at an unbeatable rate of HK$120,000 per window. Don't miss out on this incredible opportunity to make a splash in the city.

Ready to take your brand out of the ordinary? Contact us at hello@lightfantastic.tv to learn more and reserve your spot.

Best regards,

Emily Wong
Sales Representative
Lightfantastic.tv
Put your brand on the streets of"
2,Itech Circle HK,+852 9401 3492,No Website,No Website,5,14 reviews,"Shop 66, 1st Floor, 36-44 Nathan Rd, Tsim Sha Tsui, Hong Kong",57,⭐ Medium Priority,New,No,2026-07-10 13:06:34,"Subject: Showcase Your Brand on Hong Kong's Streets with lightfantastic.tv

Hi Itech Circle HK Team,

I came across your business and was impressed with your 5-star rating. As a professional who's passionate about helping businesses like yours make a lasting impression, I'd like to introduce you to lightfantastic.tv - a unique out-of-home advertising platform that puts your brand on the streets of Hong Kong.

Our solution offers a seamless way to reach a vast audience, increasing brand awareness and driving foot traffic to your business. With lightfantastic.tv, you'll be able to reserve all four windows for a fixed price, giving you maximum flexibility and cost-effectiveness.

As we approach the peak season, I'd like to share a special offer with you: from November 5th to 11th, you can take advantage of our Singles' Day promotion, where each window is available for just HK$120,000. This is a rare opportunity to amplify your brand's presence in the heart of Hong Kong.

If you're interested in learning more about how lightfantastic.tv can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call and discuss how our solution can drive real results for Itech Circle HK.

Best regards,

Emily Lee
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong 
Put your brand on the streets of Hong Kong."
3,Mobile Repair Pro Shop - 手機維修專門店,+852 9839 0831,http://www.mobilerepairhk.com/,Email Not Found,4.9,632 reviews,"地下 G81B 舖, 先達廣場, 83號 Argyle St, Mong Kok, Hong Kong",85,🔥 High Priority,New,No,2026-07-10 13:06:34,"Subject Line: Elevate Your Mobile Repair Pro Shop's Visibility in Hong Kong

Hi Mobile Repair Pro Shop - 手機維修專門店 Team,

As a prominent mobile repair services provider in Hong Kong, I'm sure you're always looking for innovative ways to reach new customers and build brand awareness. That's where lightfantastic.tv comes in – a cutting-edge out-of-home advertising platform that puts your brand on the streets of Hong Kong.

Our unique digital screens are strategically placed across the city, offering unparalleled visibility and engagement. By partnering with us, you'll be able to connect with your target audience in a way that's both impactful and memorable. With lightfantastic.tv, you can:

- Reach millions of potential customers in high-traffic areas
- Create a lasting impression with our stunning visuals and engaging content
- Drive foot traffic and sales to your Mobile Repair Pro Shop - 手機維修專門店

To celebrate Singles' Day this year, we're offering a special promotion exclusively for businesses like yours. From November 5th to 11th, you can reserve a window for a one-time payment of HK$120,000. Don't miss this opportunity to elevate your brand's visibility in Hong Kong!

If you're interested in learning more about how lightfantastic.tv can benefit your business, please reply to this email or reach out to us at hello@lightfantastic.tv. We'd be happy to schedule a call to discuss your goals and create a"
4,Hongkong Market phones,No Phone Number,No Website,No Website,5,1 reviews,"Mong Kok, Hong Kong",45,⭐ Medium Priority,New,No,2026-07-10 13:06:34,"Subject: Elevate Your Brand in the Heart of Hong Kong

Dear Hongkong Market Phones Team,

I came across your impressive 5-star rating and thought you might be interested in an innovative way to reach more customers and grow your business. At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong, making it impossible to ignore.

Our digital billboards and LED screens are strategically placed in high-traffic areas, providing maximum visibility and engagement. By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately boost sales.

We're excited to offer a special deal for Singles' Day (5-11 Nov 2026), where you can reserve a single window for just HK$120,000. This is a rare opportunity to reserve the full peak season and save against booking each window on its own.

If you're interested in taking your marketing to the next level, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd love to discuss how our out-of-home advertising solutions can help Hongkong Market Phones thrive.

Best regards,

Emilia Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong"
5,Galaxy Telecom (Hong Kong) Limited,+852 2343 4400,https://www.gsmtele.com/,hk@gsmtele.com,3.4,5 reviews,"26樓12-22室, 1 Hung To Road, Hung To Rd, Kwun Tong, Hong Kong",77,🔥 High Priority,New,No,2026-07-10 13:06:34,"Subject: Unlock the Power of Out-of-Home Advertising in Hong Kong

Dear Galaxy Telecom (Hong Kong) Limited Team,

I came across your website, gsmtele.com, and was impressed by the excellent services you offer to your clients. As a representative from lightfantastic.tv, I believe our out-of-home advertising solutions can help take your business to the next level in Hong Kong.

Our unique product allows you to reach a massive audience through four strategically located windows, offering a cost-effective and impactful way to promote your brand. By reserving the full peak season, you can save against booking each window individually.

Right now, we're running a special promotion for Singles' Day, from November 5th to 11th, 2026. For just HK$120,000 per window, you can put your brand on the streets of Hong Kong and reach a huge crowd of potential customers.

If you're interested in exploring this opportunity further, I invite you to reach out to us at hello@lightfantastic.tv. Our team would be more than happy to discuss the details and answer any questions you may have.

Looking forward to hearing from you soon.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong."
6,NADEEMI TRADING COMPANY (HONG KONG),+852 5589 9400,http://www.facebook.com/ntchk/,Email Not Found,5,6 reviews,"Shop 66, 1st, 36-44 Nathan Rd, Tsim Sha Tsui, Hong Kong",77,🔥 High Priority,New,No,2026-07-10 13:06:34,"Subject Line: Unlock the Power of Outdoor Advertising with lightfantastic.tv

Dear NADEEMI TRADING COMPANY (HONG KONG) Team,

I hope this email finds you well. My name is Emily Wong from lightfantastic.tv, and I came across your Facebook page (http://www.facebook.com/ntchk/) while researching successful businesses in Hong Kong. I was impressed by your 5-star rating and would love to explore how we can help you reach an even wider audience.

As a leading out-of-home advertising platform, lightfantastic.tv allows you to put your brand on the streets of Hong Kong, reaching millions of potential customers. Our unique, high-visibility displays are strategically located in prime areas, ensuring maximum exposure for your brand.

We understand that effective advertising requires flexibility, which is why we offer a range of options to suit your needs. With our full peak season package, you can reserve all four windows for a special price of HK$400,000. However, we're excited to announce a limited-time offer for Singles' Day, from 5 to 11 November 2026, where you can book a single window for HK$120,000. This is an unbeatable opportunity to boost your brand's visibility and drive sales.

If you're interested in learning more about how lightfantastic.tv can help your business, I'd be delighted to schedule a call to discuss further. Please don't hesitate to reply to this email at hello@lightfant"
7,new mobile phones hong kong,+852 9429 5048,https://gadgetsmobilesphones.blogspot.com/2022/09/new.html,cellphones.maxx@gmail.com,4,5 reviews,"53 Lock Rd, Tsim Sha Tsui, Hong Kong",87,🔥 High Priority,New,No,2026-07-10 13:06:34,"Subject: Elevate Your Brand Presence in Hong Kong with lightfantastic.tv

Dear New Mobile Phones Hong Kong,

I came across your business and was impressed with your offerings in the mobile phone market. As a business owner, you understand the importance of effective advertising to reach your target audience. At lightfantastic.tv, we specialize in out-of-home advertising solutions that can help you achieve your marketing goals.

Our network of high-impact digital screens in prime locations across Hong Kong can help increase brand awareness, drive foot traffic, and ultimately boost sales for your business. With our platform, you can reserve multiple screens at a discounted rate, ensuring maximum visibility for your brand during peak seasons.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th, 2026. For just HK$120,000 per window, you can reserve our screens and showcase your brand to a massive audience. This is an unbeatable opportunity to elevate your brand presence in Hong Kong and reach a wider customer base.

If you're interested in learning more about this offer or would like to reserve a window for your business, please don't hesitate to contact us at hello@lightfantastic.tv. Our team will be happy to assist you in making the most out of this limited-time promotion.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong."
8,China Mobile,+852 2945 8888,https://www.hk.chinamobile.com/,Website Unreachable,3.5,202 reviews,"Tsim Sha Tsui, Hong Kong",75,🔥 High Priority,New,No,2026-07-10 13:06:34,"Subject: Unlock Peak Season Potential with Out-of-Home Advertising

Dear China Mobile Team,

I came across your website and was impressed by the comprehensive services you offer to customers in Hong Kong. As a key player in the telecommunications industry, I'm confident that lightfantastic.tv can help amplify your marketing efforts and connect with your target audience in a more engaging way.

Our innovative out-of-home advertising solution features a network of four strategically located digital windows that offer unparalleled visibility to millions of passersby. By reserving all four windows, you can secure the entire peak season and enjoy significant savings compared to booking each window individually. This is a unique opportunity to dominate the streets of Hong Kong and make a lasting impression on your customers.

To make it even more compelling, we're offering a special promotion for Singles' Day (November 5-11, 2026). For just HK$120,000 per window, you can reach a wider audience and drive brand awareness like never before. Don't miss out on this limited-time opportunity to elevate your marketing strategy!

If you're interested in learning more about how lightfantastic.tv can help China Mobile reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss the details and provide a customized proposal tailored to your needs.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong"
9,Wonda Mobile,+852 3001 6609,https://www.wondamobile.com/,wonda_mobile_logo_240x60px_t_1_200x@2x.png,4.9,103 reviews,"Rm510, Global Gateway Tower, 63 Wing Hong St, Lai Chi Kok, Hong Kong",100,🔥 High Priority,New,No,2026-07-10 13:06:34,"Subject: Unlock Hong Kong's Streets with Out-of-Home Advertising

Dear Wonda Mobile Team,

I hope this email finds you well. My name is Emily Wong, and I'm a sales representative from lightfantastic.tv. As a long-time admirer of Wonda Mobile's innovative approach to mobile technology, I wanted to reach out and explore how our out-of-home advertising solutions can help amplify your brand's reach in Hong Kong.

At lightfantastic.tv, we believe that advertising shouldn't be confined to screens. Our unique, large-scale digital displays can captivate audiences in the heart of Hong Kong, making it an ideal platform for businesses like yours to connect with potential customers. By partnering with us, you can increase brand awareness, drive foot traffic, and boost sales.

This Singles' Day, from November 5th to 11th, we're offering a special promotion - book all four windows at a discounted rate of HK$120,000 per window. This is a unique opportunity to secure prime advertising space during a highly sought-after period. By reserving our windows, you'll not only save against booking each window individually but also secure a spot in the peak season.

If you're interested in learning more about how lightfantastic.tv can help Wonda Mobile shine in Hong Kong, please don't hesitate to reply to this email or reach out to us directly at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Hong"
10,Mi Home (Chong Hing Square Store),+852 2698 8871,http://www.mi.com/hk/service/mihome/mongkok/,Email Not Found,4,5929 reviews,"地下D-F鋪, 601號 Nathan Rd, Mong Kok, Hong Kong",80,🔥 High Priority,New,No,2026-07-10 13:06:34,"Subject Line: Unlock Peak Season Opportunities in HK's Bustling Streets

Hi Mi Home (Chong Hing Square Store) Team,

I came across your store in Mong Kok and was impressed by your commitment to providing top-notch service to your customers. As a local business, it's not easy to navigate the ever-changing consumer landscape, but I believe we can help you reach new heights with our innovative out-of-home advertising solution, lightfantastic.tv.

Our platform allows you to put your brand on the streets of Hong Kong, targeting the right audience at the right time. With lightfantastic.tv, you can reserve all four windows for a fixed price of HK$400,000, saving you significant costs compared to booking each window individually. This strategic approach will give you a strong presence in the heart of the city, especially during peak seasons.

This Singles' Day, from November 5th to 11th, is the perfect opportunity to capitalize on the increased foot traffic in Mong Kok. We're offering a special promotion for this period: HK$120,000 per window, making it an unbeatable deal for any business looking to boost brand awareness.

If you're interested in taking your business to the next level, I'd love to discuss how lightfantastic.tv can support your goals. Please feel free to email me directly at hello@lightfantastic.tv.

Looking forward to hearing from you.

Best regards,
Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home"
