No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email
1,Sneakers Street,No Phone Number,https://www.sneakers-street.hk/,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.1,8016 reviews,"71-73 Fa Yuen St, Mong Kok, Hong Kong",70,🔥 High Priority,New,No,2026-07-04 18:53:37,"Subject: Grow Your Business with lightfantastic.tv

Dear Sneakers Street Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Sneakers Street grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
2,On Store Hong Kong H Queen's,+852 5809 0012,https://www.on.com/en-hk/,your@email.com,4.9,891 reviews,"Shop 2, Ground Floor, 80 Queen's Road Central, Central, Hong Kong",100,🔥 High Priority,New,No,2026-07-04 18:53:37,"Subject: Grow Your Business with lightfantastic.tv

Dear On Store Hong Kong H Queen's Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help On Store Hong Kong H Queen's grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
3,On Store Hong Kong Pacific Place,+852 5809 0072,https://www.on.com/en-hk/explore/stores/hong-kong-pacific-place,your@email.com,4.9,472 reviews,"Floor 1, Pacific Place, 88 Queensway, Admiralty, Hong Kong",100,🔥 High Priority,New,No,2026-07-04 18:53:37,"Subject: Grow Your Business with lightfantastic.tv

Dear On Store Hong Kong Pacific Place Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help On Store Hong Kong Pacific Place grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
4,Barefoot Asia - 赤足鞋香港專門店,+852 9662 1874,https://barefoot.asia/,Website Unreachable,4.9,471 reviews,"Basement, Kimberley House, 35 Kimberley Rd, Tsim Sha Tsui, Hong Kong",85,🔥 High Priority,New,No,2026-07-04 18:53:37,"Subject: Grow Your Business with lightfantastic.tv

Dear Barefoot Asia - 赤足鞋香港專門店 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Barefoot Asia - 赤足鞋香港專門店 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
5,Nabwork Sneakers Shop 旺角波鞋服飾店 (Yeezy Air Jordan Nike Adidas Sneaker Apparel Streetwear),+852 5542 7942,http://www.nabwork.hk/,aec31088a6fb4f6eafac028a91e1cf21@o769852.ingest.sentry.io,4.4,50 reviews,"1A, Pakpolee Commercial Centre, 11/F, 1K Sai Yeung Choi St S, Mong Kok, Hong Kong",92,🔥 High Priority,New,No,2026-07-04 18:53:37,"Subject: Grow Your Business with lightfantastic.tv

Dear Nabwork Sneakers Shop 旺角波鞋服飾店 (Yeezy Air Jordan Nike Adidas Sneaker Apparel Streetwear) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Nabwork Sneakers Shop 旺角波鞋服飾店 (Yeezy Air Jordan Nike Adidas Sneaker Apparel Streetwear) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
6,Twin Treads Custom Shoes,+65 8335 6763,http://www.twintreads.com/,Website Unreachable,4.6,43 reviews,"Hong Kong, Central, Aberdeen St, 35號, HK Hong Kong Island PMQ, Unit S603, Block A, 6Floor 35, PMQ 元創方, S603, 6/F",79,🔥 High Priority,New,No,2026-07-04 18:53:37,"Subject: Grow Your Business with lightfantastic.tv

Dear Twin Treads Custom Shoes Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Twin Treads Custom Shoes grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
7,SHOELAXE Sneaker Shop,+852 6771 6774,http://shoelaxe.com/,Error: Error code: 401 - {'error': {'message': 'Invalid A,3.8,18 reviews,"2/F, Fa Yuen St, Mong Kok, Hong Kong",67,⭐ Medium Priority,New,No,2026-07-04 18:53:37,"Subject: Grow Your Business with lightfantastic.tv

Dear SHOELAXE Sneaker Shop Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help SHOELAXE Sneaker Shop grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
8,TASSELS Hong Kong,+852 2789 9911,http://www.tassels.com.hk/,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.3,37 reviews,"Shop G5, The Galleria, 9 Queen's Road Central, Central, Hong Kong",74,🔥 High Priority,New,No,2026-07-04 18:53:37,"Subject: Grow Your Business with lightfantastic.tv

Dear TASSELS Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help TASSELS Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
9,Heel & Toe Hong Kong Lt澳紐健康鞋矯正墊專門店,+852 5944 4949,http://www.heelntoe.com.hk/index.php,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.9,14 reviews,"13/F, Way On Commercial Building, 500 Jaffe Rd, Causeway Bay, Hong Kong",77,🔥 High Priority,New,No,2026-07-04 18:53:37,"Subject: Grow Your Business with lightfantastic.tv

Dear Heel & Toe Hong Kong Lt澳紐健康鞋矯正墊專門店 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Heel & Toe Hong Kong Lt澳紐健康鞋矯正墊專門店 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
10,The Korner T.O.P,+852 6266 5677,https://thekornershoes.com/,Website Unreachable,4.9,69 reviews,"Shop G18, T.O.P, 700 Nathan Rd, Mong Kok, Hong Kong",82,🔥 High Priority,New,No,2026-07-04 18:53:37,"Subject: Grow Your Business with lightfantastic.tv

Dear The Korner T.O.P Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The Korner T.O.P grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
11,On Store Hong Kong K11 Musea,+852 5809 0077,https://on.com/,your@email.com,4.9,167 reviews,"Shop No.203&204, Level 2, K11 Musea, 18 Salisbury Rd, Tsim Sha Tsui, Hong Kong",100,🔥 High Priority,New,No,2026-07-04 18:53:37,"Subject: Grow Your Business with lightfantastic.tv

Dear On Store Hong Kong K11 Musea Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help On Store Hong Kong K11 Musea grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
12,Camper,+852 2633 8106,http://www.camper.com/,customercare@camper.es,4.8,67 reviews,"GB01, 100 Nathan Rd, Tsim Sha Tsui, Hong Kong",97,🔥 High Priority,New,No,2026-07-04 18:53:37,"Subject: Grow Your Business with lightfantastic.tv

Dear Camper Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Camper grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
13,Tin Sum Shoes,+852 9553 7681,No Website,No Website,4.9,14 reviews,"4/F, 136 Sai Yeung Choi St S, Mong Kok, Hong Kong",57,⭐ Medium Priority,New,No,2026-07-04 18:53:37,"Subject: Grow Your Business with lightfantastic.tv

Dear Tin Sum Shoes Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Tin Sum Shoes grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
14,VIVAIA HK HYSAN,+852 5902 0968,https://www.vivaia.com/,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.2,20 reviews,"3/F, Hennessy Rd, Causeway Bay, Hong Kong",74,🔥 High Priority,New,No,2026-07-04 18:53:37,"Subject: Grow Your Business with lightfantastic.tv

Dear VIVAIA HK HYSAN Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help VIVAIA HK HYSAN grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
