No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email
1,CN Square,+852 2384 2430,No Website,No Website,4.6,176 reviews,"503 Nathan Rd, Mong Kok, Hong Kong",65,⭐ Medium Priority,New,No,2026-07-04 19:33:50,"Subject: Grow Your Business with lightfantastic.tv

Dear CN Square Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help CN Square grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
2,The Tree Stationery & Co. 大樹文房,+852 2598 4328,https://thetreestationery.com/,MHK002_magnet_-_hong_kong_purple__4_580x@2x.jpg,4.8,84 reviews,"2/F, 10 Matheson St, Causeway Bay, Hong Kong",97,🔥 High Priority,New,No,2026-07-04 19:33:50,"Subject: Grow Your Business with lightfantastic.tv

Dear The Tree Stationery & Co. 大樹文房 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The Tree Stationery & Co. 大樹文房 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
3,Chung Nam Book & Stationery Co. Ltd.,+852 2384 2430,http://chungnamhk.hk/,Website Unreachable,4.3,1362 reviews,"503 Nathan Rd, Yau Ma Tei, Hong Kong",80,🔥 High Priority,New,No,2026-07-04 19:33:50,"Subject: Grow Your Business with lightfantastic.tv

Dear Chung Nam Book & Stationery Co. Ltd. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Chung Nam Book & Stationery Co. Ltd. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
4,Journalize,+852 3565 6455,https://www.instagram.com/journalize_store/,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.4,117 reviews,"23號地舖, 灣景商場內 Bay View Mansion, Moreton Terrace, Causeway Bay, Hong Kong",80,🔥 High Priority,New,No,2026-07-04 19:33:50,"Subject: Grow Your Business with lightfantastic.tv

Dear Journalize Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Journalize grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
5,Muze Pens,+852 3619 5136,http://www.muzepens.com/,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.6,284 reviews,"G/F, 236 Tai Nan St, Sham Shui Po, Hong Kong",85,🔥 High Priority,New,No,2026-07-04 19:33:50,"Subject: Grow Your Business with lightfantastic.tv

Dear Muze Pens Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Muze Pens grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
6,CN Square,+852 2462 2265,http://www.chungnam.cc/,Website Unreachable,4.1,477 reviews,"M樓, United Building, 135號 King's Rd, North Point, Hong Kong",80,🔥 High Priority,New,No,2026-07-04 19:33:50,"Subject: Grow Your Business with lightfantastic.tv

Dear CN Square Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help CN Square grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
7,Chi Shing Stationery,+852 2397 8255,https://csstationery.hk/,sales@csstationery.hk,4.7,244 reviews,"Man On Building, 12B-12D Boundary St, Mong Kok, Hong Kong",100,🔥 High Priority,New,No,2026-07-04 19:33:50,"Subject: Grow Your Business with lightfantastic.tv

Dear Chi Shing Stationery Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Chi Shing Stationery grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
8,GIFT IDEA,+852 3705 2401,https://www.giftideahongkong.com/,giftidea-logo@2x.png,4.5,48 reviews,"Hong Kong, Sheung Wan, Des Voeux Rd Central, 306號, 4/F (電梯按4字, Yue's House",94,🔥 High Priority,New,No,2026-07-04 19:33:50,"Subject: Grow Your Business with lightfantastic.tv

Dear GIFT IDEA Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help GIFT IDEA grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
9,siugreat,No Phone Number,http://www.ruler-eraser.com/,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.5,36 reviews,"504室, Wing Yip Commercial Building, 65-71號 Yen Chow St, Sham Shui Po, Hong Kong",69,⭐ Medium Priority,New,No,2026-07-04 19:33:50,"Subject: Grow Your Business with lightfantastic.tv

Dear siugreat Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help siugreat grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
10,Paperhood,No Phone Number,https://www.paperhoodhk.com/,aec31088a6fb4f6eafac028a91e1cf21@o769852.ingest.sentry.io,4.9,18 reviews,"Rm 701, 7/F, Free Trade Centre, 49 Tsun Yip St, Kwun Tong, Hong Kong",82,🔥 High Priority,New,No,2026-07-04 19:33:50,"Subject: Grow Your Business with lightfantastic.tv

Dear Paperhood Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Paperhood grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
