No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email
1,The University of Hong Kong (HKU),+852 2859 2111,https://www.hku.hk/,email@domain.com,4.3,757 reviews,"Pok Fu Lam, Hong Kong",95,🔥 High Priority,New,No,2026-07-10 11:12:00,"Subject: Elevate Your Brand in Hong Kong's Vibrant Streets

Dear The University of Hong Kong (HKU) Team,

I hope this email finds you well. As a representative from lightfantastic.tv, I'm excited to introduce our innovative out-of-home advertising solution that's perfect for esteemed institutions like yours.

We understand the importance of effectively reaching and engaging with your target audience, and that's where we come in. Our platform allows you to place your brand on the streets of Hong Kong, where millions of people pass by every day. By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately, boost your reputation.

Our lightfantastic.tv solution is designed to help businesses like yours make a lasting impression on the city's vibrant streets. Our expert team will work closely with you to create a tailored campaign that meets your unique objectives and budget.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th, 2026. You can reserve our peak-season windows at an unbeatable price of HK$120,000 per window. This is a rare opportunity to reserve the full peak season and save against booking each window on its own.

Don't miss out on this chance to elevate your brand in Hong Kong's bustling streets. To learn more about our solution and how it can benefit your institution, please reply to this email at hello@lightfantastic.tv.

Looking forward to hearing from you.

Best regards,"
2,City University of Hong Kong (CityU),+852 3442 7654,https://www.cityu.edu.hk/,email@domain.com,4.1,285 reviews,"83 Tat Chee Ave, Kowloon Tong, Hong Kong",95,🔥 High Priority,New,No,2026-07-10 11:12:00,"Subject: Elevate Your Brand with Lightfantastic.tv in Hong Kong

Dear City University of Hong Kong Team,

I came across your esteemed institution and was impressed by the excellent work you're doing in education. As someone who's passionate about helping businesses like yours reach their target audience, I'd like to introduce you to lightfantastic.tv - your go-to partner for out-of-home advertising in Hong Kong.

Our innovative, large-format digital screens in prime locations across the city offer a unique opportunity to increase brand visibility, engage with your audience, and leave a lasting impression. By partnering with us, you'll be able to reserve your space for the entire peak season, saving you money compared to booking individual windows.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th. For just HK$120,000 per window, you can take advantage of our premium advertising space and reach a vast and engaged audience. Don't miss out on this incredible opportunity to elevate your brand and make a lasting impact on the streets of Hong Kong.

If you're interested in learning more about how lightfantastic.tv can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be more than happy to discuss your goals and create a tailored solution that meets your needs.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong: Put your brand on the streets of"
3,Hong Kong Metropolitan University (HKMU),+852 2711 2100,http://www.hkmu.edu.hk/,Email Not Found,4.0,312 reviews,"30 Good Shepherd St, Ho Man Tin, Hong Kong",80,🔥 High Priority,New,No,2026-07-10 11:12:00,"Subject: Elevate Your Brand's Visibility in Hong Kong with LightFantastic.tv

Dear Hong Kong Metropolitan University Team,

I hope this email finds you well. My name is Emily Wong, and I'm a sales representative from LightFantastic.tv. As a university that values innovation and excellence, I believe you understand the importance of effective brand promotion. That's where we come in – with our out-of-home advertising solutions, you can put your brand on the streets of Hong Kong and reach a vast audience.

Our digital screens are strategically located across the city, providing unparalleled visibility and engagement. By partnering with us, you can increase brand awareness, drive website traffic, and ultimately, support your recruitment goals. Whether you're looking to attract prospective students, promote your university's values, or simply enhance your brand's reputation, we've got you covered.

To make the most of the peak season, we're offering a special promotion just for you. From November 5th to 11th (Singles' Day), you can reserve our screens at an unbeatable rate of HK$120,000 per window. This is a limited-time opportunity to make a lasting impression and stand out from the crowd.

If you're interested in learning more about how LightFantastic.tv can help elevate your brand's visibility in Hong Kong, please don't hesitate to reach out. Simply reply to this email at hello@lightfantastic.tv or give me a call at your convenience.

Looking forward to discussing how we can support your"
4,Hong Kong University of Science and Technology (HKUST),+852 2358 6000,https://hkust.edu.hk/,Email Not Found,4.3,520 reviews,"Clear Water Bay, Hong Kong",80,🔥 High Priority,New,No,2026-07-10 11:12:00,"Subject Line: Elevate Your Brand in Hong Kong's Bustling Streets

Dear Hong Kong University of Science and Technology (HKUST) Team,

I came across your esteemed institution and was impressed by your commitment to innovation and education. As a representative from lightfantastic.tv, I'd like to introduce you to our out-of-home advertising solution that can help you connect with your target audience in the heart of Hong Kong.

Our digital screens are strategically placed across the city, allowing you to reach a vast and engaged audience. By partnering with us, you can amplify your brand's visibility and create a lasting impact on the streets of Hong Kong. Our platform is perfect for institutions like HKUST, which value thought leadership and community engagement.

To give you an unparalleled opportunity to showcase your brand, we're offering a special promotion during Singles' Day (5-11 Nov 2026). For just HK$120,000 per window, you can reserve a spot on our screens and reach a massive audience. This limited-time offer is an excellent chance to elevate your brand's presence in Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help HKUST reach its goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be happy to discuss the details and provide a customized proposal that suits your needs.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the"
5,The Chinese University of Hong Kong,+852 3943 7000,http://www.cuhk.edu.hk/,Email Not Found,4.4,723 reviews,"Ma Liu Shui, Hong Kong",80,🔥 High Priority,New,No,2026-07-10 11:12:00,"Subject: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear The Chinese University of Hong Kong Team,

I came across your institution's website (http://www.cuhk.edu.hk/) and was impressed by your commitment to excellence, reflected in your 4.4 rating. As a leading institution in Hong Kong, I believe you understand the importance of effective marketing and branding.

At lightfantastic.tv, we specialize in out-of-home advertising, putting your brand on the streets of Hong Kong where it matters most. Our product, lightfantastic.tv, offers a unique opportunity to reach a vast audience and make a lasting impression. By partnering with us, you can reserve all four windows for a total of HK$400,000, ensuring maximum visibility and saving you money compared to booking each window individually.

To celebrate Singles' Day, we're offering an exclusive promotion from November 5th to 11th, 2026: HK$120,000 per window. This is an ideal opportunity to amplify your brand's presence in Hong Kong and reach a wider audience.

If you're interested in learning more about how lightfantastic.tv can help elevate your brand's visibility, please don't hesitate to contact us at hello@lightfantastic.tv. I'd be more than happy to discuss your marketing goals and explore how our product can help you achieve them.

Looking forward to hearing from you.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv"
6,Hong Kong Baptist University,+852 3411 7400,https://www.hkbu.edu.hk/,Email Not Found,4.0,123 reviews,"224 Waterloo Rd, Kowloon Tong, Hong Kong",80,🔥 High Priority,New,No,2026-07-10 11:12:00,"Here's a cold email tailored to Hong Kong Baptist University:

Subject: Shine a Light on Your University's Campus

Dear Hong Kong Baptist University Team,

I came across your esteemed institution's website and was impressed by the excellent work you're doing at https://www.hkbu.edu.hk/. As a representative from lightfantastic.tv, I'd like to introduce you to an innovative out-of-home advertising solution that can elevate your brand's visibility in the heart of Hong Kong.

Our digital display network, lightfantastic.tv, offers a unique opportunity for businesses like yours to engage with your target audience in a highly visible and impactful way. By partnering with us, you can reach a massive audience, increase brand awareness, and drive foot traffic to your campus.

To make it even more compelling, we're running an exclusive promotion this Singles' Day (5-11 Nov 2026) - book any of our four windows for just HK$120,000 each. Reserve the full peak season and save against booking each window individually.

If you're interested in learning more about how lightfantastic.tv can help you shine a light on your university's campus, please don't hesitate to reach out to us at hello@lightfantastic.tv. I'd be more than happy to schedule a call to discuss your goals and how we can help you achieve them.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets"
7,The Hong Kong Polytechnic University (PolyU),+852 2766 5111,https://www.polyu.edu.hk/tc/,Email Not Found,4.1,533 reviews,"11 Yuk Choi Rd, Hung Hom, Hong Kong",80,🔥 High Priority,New,No,2026-07-10 11:12:00,"Subject: Reach Your Audience with Lightfantastic.tv - Exclusive Offer Inside

Dear The Hong Kong Polytechnic University (PolyU) Team,

I came across your esteemed institution and was impressed by the exceptional education and research opportunities you provide. As a representative of lightfantastic.tv, I'd like to introduce you to a unique out-of-home advertising solution that can help you increase brand awareness and reach your target audience in Hong Kong.

Lightfantastic.tv offers a versatile advertising platform with four windows located in prime areas, perfect for promoting your university's brand, events, or academic programs. By reserving our windows, you can save compared to booking each individually and secure peak season availability. Our out-of-home advertising solution is designed to put your brand on the streets of Hong Kong, increasing visibility and engagement with your audience.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th, 2026. For a limited time, you can reserve one of our windows for just HK$120,000. This is a great opportunity to amplify your marketing efforts and reach a wider audience.

If you're interested in learning more about lightfantastic.tv or would like to reserve a window, please don't hesitate to contact us at hello@lightfantastic.tv. We'd be delighted to discuss how our solution can benefit your institution.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong - Put your"
8,University of Sunderland in Hong Kong,+852 2992 0133,https://www.sunderland.edu.hk/,21235-University-of-Sunderland-Top-30_Web-Homepage-Image-For-New-Website_1400x400px@2x-scaled-100x50.jpg,4.8,28 reviews,"1/F, 181-185 Gloucester Rd, Wan Chai, Hong Kong",94,🔥 High Priority,New,No,2026-07-10 11:12:00,"Subject Line: Elevate Your Brand's Visibility in Hong Kong with Lightfantastic.tv

Dear University of Sunderland in Hong Kong,

I came across your institution's excellent 4.8-star rating and website, https://www.sunderland.edu.hk/, and I'm excited to introduce you to lightfantastic.tv, Hong Kong's premier out-of-home advertising platform. Our innovative solution allows you to put your brand on the streets of Hong Kong, reaching a vast and engaged audience.

As an educational institution, you understand the importance of visibility and credibility. Lightfantastic.tv helps businesses like yours to:

- Increase brand awareness and reach a wider audience
- Enhance your reputation and credibility in Hong Kong
- Drive foot traffic to your physical locations

To help you make the most of your marketing efforts, we're excited to announce our special offer for Singles' Day (5-11 Nov 2026): HK$120,000 per window. This is a limited-time opportunity to reserve our peak season windows at an unbeatable price.

If you're interested in learning more about how lightfantastic.tv can benefit your institution, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss your requirements and provide a customized solution.

Looking forward to hearing from you.

Best regards,

Emily Wong
Sales Representative, Lightfantastic.tv
Out-of-home advertising, Hong Kong - Put your brand on the streets of Hong Kong."
9,Hong Kong Shue Yan University,+852 2570 7110,https://www.hksyu.edu/en/,Email Not Found,4.2,79 reviews,"10 Wai Tsui Cres, North Point, Hong Kong",77,🔥 High Priority,New,No,2026-07-10 11:12:00,"Subject: Elevate Your Brand's Visibility in Hong Kong

Dear Hong Kong Shue Yan University,

I came across your esteemed institution and was impressed by the excellent work that your team is doing. As a representative from lightfantastic.tv, I'd like to introduce you to a unique opportunity to elevate your brand's visibility in the heart of Hong Kong.

Our out-of-home advertising platform offers a seamless way to connect with your target audience, placing your brand on the streets of Hong Kong where it matters most. By partnering with us, you can increase brand awareness, drive engagement, and reach a wider audience. Our platform caters to businesses like yours, providing a tailored solution to meet your marketing needs.

As we approach the peak season, I'd like to extend a special offer to you. From November 5th to 11th, 2026, you can reserve our windows for a discounted rate of HK$120,000 per window. This is a limited-time opportunity to save against booking each window on its own, and to experience the full potential of our platform.

To take advantage of this offer, simply reply to this email or reach out to us at hello@lightfantastic.tv. We'd be delighted to guide you through the process and answer any questions you may have.

At lightfantastic.tv, our tagline says it all: ""Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong."" We're confident that our platform can help you"
10,The Hang Seng University of Hong Kong,+852 3963 5000,https://www.hsu.edu.hk/hk/,contact@hsu.edu.hk,4.2,109 reviews,"Hang Shin Link, Siu Lek Yuen, Hong Kong",95,🔥 High Priority,New,No,2026-07-10 11:12:00,"Here's a professional, persuasive cold email:

Subject: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear The Hang Seng University of Hong Kong Team,

I hope this email finds you well. My name is Emily, and I'm a sales representative from lightfantastic.tv, the leading out-of-home advertising platform in Hong Kong. Our mission is to help businesses like yours reach and engage with their target audience in the heart of the city.

As a prominent educational institution in Hong Kong, I'm sure you understand the importance of showcasing your brand's presence and values to the local community. That's where lightfantastic.tv comes in – our platform offers a unique opportunity to take over all four windows in the city, providing unmatched visibility and reach for your brand. By reserving the entire network, you can save on costs compared to booking each window individually.

To make it even more exciting, we're offering a special promotion for Singles' Day from November 5th to 11th, 2026. For just HK$120,000 per window, you can amplify your brand's message to the entire city. This is a limited-time offer you won't want to miss!

If you're interested in learning more about how lightfantastic.tv can help elevate your brand's visibility in Hong Kong, I'd love to schedule a call to discuss further. Please don't hesitate to reach out to me at hello@lightfantastic.tv.

Looking forward to the"
11,The University of Chicago Francis and Rose Yuen Campus in Hong Kong,+852 2533 9400,https://www.uchicago.hk/,hk@uchicago.edu,4.1,119 reviews,"168 Victoria Rd, Pok Fu Lam, Hong Kong",95,🔥 High Priority,New,No,2026-07-10 11:12:00,"Subject: Unlock the streets of Hong Kong for The University of Chicago Francis and Rose Yuen Campus in Hong Kong

Dear University of Chicago Francis and Rose Yuen Campus in Hong Kong Team,

I came across your institution's outstanding reputation in Hong Kong and was impressed by the exceptional education you provide to your students. As a representative of lightfantastic.tv, I'd like to introduce you to a unique opportunity to take your brand to the streets of Hong Kong through our out-of-home advertising solutions.

Lightfantastic.tv offers an innovative platform to showcase your brand's message to a vast and engaged audience. By partnering with us, you'll be able to reserve prime advertising spaces in key locations, creating a lasting impression on your target audience. Our solution is perfect for institutions like yours, looking to increase brand awareness, drive foot traffic, and reinforce their reputation in the community.

For a limited time, we're offering a special promotion for Singles' Day from November 5th to 11th, 2026. For HK$120,000 per window, you can reserve a prime advertising space and reach thousands of potential students, faculty, and visitors. This is an incredible opportunity to make a significant impact on your target audience and achieve your marketing goals.

If you're interested in learning more about how lightfantastic.tv can help The University of Chicago Francis and Rose Yuen Campus in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be"
12,"St. John's College, University of Hong Kong",+852 2817 7201,https://www.stjohns.hk/,stjohns@hku.hk,4.6,28 reviews,"82 Pok Fu Lam Rd, Pok Fu Lam, Hong Kong",94,🔥 High Priority,New,No,2026-07-10 11:12:00,"Subject: Elevate Your Campus Presence with lightfantastic.tv

Dear St. John's College, University of Hong Kong Team,

I came across your esteemed institution's website and was impressed by the excellent work you do in shaping young minds. As a representative of lightfantastic.tv, I'd like to introduce you to an innovative, out-of-home advertising solution that can help amplify your brand's visibility and reach the right audience in Hong Kong.

Our digital screens are strategically located across the city, providing a unique opportunity for businesses like yours to engage with students, alumni, and the wider community. By partnering with us, you can effectively promote your college's values, achievements, and upcoming events, fostering a stronger connection with your target audience.

I'd like to highlight our special offer for Singles' Day, which is just around the corner (5 to 11 Nov 2026). For a limited time, you can reserve our screens for HK$120,000 per window, offering significant savings compared to booking each window individually.

We believe our solution can add value to your marketing efforts and elevate your campus presence. If you're interested in exploring this opportunity further, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong."
13,Hong Kong College of Technology,+852 2926 1222,http://www.hkct.edu.hk/,enquiry@hkct.edu.hk,3.6,46 reviews,"Yiu On Estate, 香港專業進修學校(賽馬會馬鞍山校園), 2號 Hang Hong St, Ma On Shan, Hong Kong",84,🔥 High Priority,New,No,2026-07-10 11:12:00,"Subject: Reach New Heights with Lightfantastic.tv in Hong Kong

Dear Hong Kong College of Technology,

I hope this email finds you well. As a representative from lightfantastic.tv, I've been following your institution's remarkable achievements in providing quality education to the community. With a strong online presence and a respectable rating of 3.6, you're already on the right track.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Our network of four strategically located screens offers a unique opportunity to engage with a vast and diverse audience, ensuring maximum visibility and reach for your brand.

By partnering with us, you can effectively promote your programs, services, or events to the right people at the right time. Our solution is particularly beneficial for educational institutions like yours, as it allows you to connect with prospective students, alumni, and the wider community.

To celebrate the upcoming Singles' Day, we're offering a special promotion for you:

Book any of our four windows from November 5th to 11th, 2026, and enjoy an exclusive rate of HK$120,000 per window. This is an exceptional opportunity to save against booking each window on its own and secure a prime spot during the peak season.

If you're interested in learning more about this exciting offer or would like to discuss how lightfantastic.tv can support your marketing efforts, please don't hesitate to reach out to us at hello@lightfant"
14,"School of Chinese Medicine, The University of Hong Kong",No Phone Number,No Website,No Website,3.7,3 reviews,"7樓703室, Nine Queen's Road Central (shops: The Galleria), Queen's Road Central, Central, Hong Kong",35,💡 Low Priority,New,No,2026-07-10 11:12:00,"Subject: Put the University of Hong Kong on the Streets of Hong Kong

Dear School of Chinese Medicine, The University of Hong Kong,

I came across your esteemed institution and was impressed by the work you do in promoting Chinese medicine education. As a representative of lightfantastic.tv, I'd like to introduce you to a unique opportunity to take your brand to the streets of Hong Kong.

Our digital out-of-home advertising platform allows you to reserve four windows in prime locations across Hong Kong for a fixed price of HK$400,000. By doing so, you can secure a prominent presence throughout the peak season and save against booking each window individually. This is a great way to increase brand visibility and reach your target audience.

However, we're currently running a special promotion for Singles' Day, from 5 to 11 November 2026. For this limited period, we're offering a discounted rate of HK$120,000 per window. This is a rare opportunity to elevate your brand presence at a fraction of the usual cost.

If you're interested in taking advantage of this offer or would like to learn more about our platform, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be happy to discuss how lightfantastic.tv can help your institution achieve its marketing goals.

Best regards,

Emily Chan
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong."
15,The University of Hong Kong (HKU),+852 2859 2111,https://www.hku.hk/,info@hku.hk,4.5,4 reviews,"21 Sassoon Rd, Pok Fu Lam, Hong Kong",90,🔥 High Priority,New,No,2026-07-10 11:12:00,"Subject Line: Amplify Your Brand on the Streets of Hong Kong

Dear The University of Hong Kong (HKU) Team,

As a leading institution in Hong Kong, I'm sure you're always looking for innovative ways to engage with students, faculty, and the wider community. That's where lightfantastic.tv comes in – Hong Kong's first and largest digital out-of-home advertising platform. We help businesses like yours reach a massive audience, with our network of screens across the city.

By partnering with us, you can effectively amplify your brand message, promoting your academic programs, research initiatives, or community events to the right people at the right time. Our platform allows you to target specific demographics, interests, and locations, ensuring maximum impact for your marketing efforts.

This Singles' Day, our special offer is the perfect opportunity for The University of Hong Kong to make a statement. From November 5th to 11th, you can reserve any of our four stunning screens for just HK$120,000 per window – a significant saving compared to booking each individually.

Ready to put your brand on the streets of Hong Kong? Get in touch with us at hello@lightfantastic.tv to discuss how we can help you achieve your marketing goals.

Best regards,
Emily Wong
Sales Representative
lightfantastic.tv"
