No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,HSBC Bank,(212) 227-1833,https://www.us.hsbc.com/,feedback@hsbc.com,2.9,52 reviews,"150 Canal St, New York, NY 10013",82,🔥 High Priority,New,No,2026-07-15 19:54:26,"Subject: Elevate Your Brand in the Heart of Hong Kong

Dear HSBC Bank Team,

As a leading financial institution, you understand the importance of visibility and impact in the highly competitive Hong Kong market. That's why I'm excited to introduce you to lightfantastic.tv, the ultimate out-of-home advertising platform that puts your brand on the streets of Hong Kong.

Our cutting-edge digital screens are strategically located in four prime windows, offering unparalleled exposure to over 6 million daily commuters. By partnering with lightfantastic.tv, you'll be able to reach and engage with your target audience in a unique, impactful way that sets you apart from the competition.

We've seen remarkable results from top brands in Hong Kong, with increased brand awareness and customer engagement. Our platform is perfect for financial institutions like HSBC Bank, looking to enhance their brand reputation and drive business growth.

To make it even more compelling, we're offering a special promotion for Singles' Day, from November 5th to 11th. You can reserve our prime windows for just HK$120,000 per window, a significant saving against booking each window individually.

If you're interested in taking your brand to the next level in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss how lightfantastic.tv can help you achieve your marketing goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong",
2,Abacus Federal Savings Bank 国宝银行 曼哈顿 | 商业 房屋 贷款 利率 | 储蓄 支票 账户 存款 利息,(212) 285-4770,http://www.abacusbank.com/,abacusbank@abacusbank.com,4.1,71 reviews,"6 Bowery, New York, NY 10013",92,🔥 High Priority,New,No,2026-07-15 19:54:26,"Subject Line: Elevate Your Brand in Hong Kong's Bustling Streets

Dear Abacus Federal Savings Bank 国宝银行 曼哈顿 | 商业 房屋 贷款 利率 | 储蓄 支票 账户 存款 利息 Team,

I came across your excellent reputation in Hong Kong's financial sector, with a 4.1-star rating on your website. As a business leader, you understand the importance of making a lasting impression on your target audience. That's where lightfantastic.tv comes in – we offer out-of-home advertising that puts your brand on the streets of Hong Kong, where it matters most.

Our innovative approach allows you to reserve all four windows for a fixed price of HK$400,000, saving you money compared to booking each window individually. This not only ensures maximum visibility but also gives you a competitive edge in the market. Imagine your brand messaging captivating the attention of thousands of potential customers every day.

To make it even more compelling, we're excited to announce our special offer for Singles' Day, from November 5th to 11th, 2026. For a limited time, you can secure each window for HK$120,000, an unbeatable value in the industry.

If you're interested in taking your brand to the next level, we invite you to get in touch with us at hello@lightfantastic.tv. Our team is always ready to discuss how lightfantastic.tv can help Abacus",
3,PT. Bank Negara Indonesia (Persero) Tbk. Hong Kong Branch,+852 2861 8623,No Website,No Website,3,69 reviews,"Hong Kong, Admiralty, Harcourt Rd, 16號, G/F, Far East Finance Center",47,⭐ Medium Priority,New,No,2026-07-15 19:54:26,"Subject: Elevate Your Brand Presence in Hong Kong with lightfantastic.tv

Dear PT. Bank Negara Indonesia (Persero) Tbk. Hong Kong Branch Team,

I came across your business and was impressed by your commitment to serving the Hong Kong community. As a professional in the out-of-home advertising space, I believe our services at lightfantastic.tv can help amplify your brand's reach and impact.

Our unique platform allows you to strategically position your brand in high-traffic areas across Hong Kong, reaching millions of potential customers throughout the year. With lightfantastic.tv, you can reserve multiple window displays at a discounted rate, ensuring consistent brand visibility and maximum ROI.

To celebrate Singles' Day, we're offering an exclusive promotion for new bookings from 5 to 11 November 2026. For just HK$120,000 per window, you can elevate your brand presence in the heart of Hong Kong. Don't miss this opportunity to engage with your target audience and drive business growth.

If you're interested in learning more about our services and how they can benefit your business, please reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call and explore how lightfantastic.tv can help you achieve your marketing goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
4,BANK OF SHANGHAI (HONG KONG) LIMITED,+852 3121 8222,No Website,No Website,N/A,0 reviews,"34/F, Champion Tower, 3 Garden Road, Central, Hong Kong, Hong Kong",40,⭐ Medium Priority,New,No,2026-07-15 19:54:26,"Subject: Elevate Your Brand Presence in Hong Kong with lightfantastic.tv

Dear BANK OF SHANGHAI (HONG KONG) LIMITED Team,

I hope this email finds you well. My name is Emily Wong, and I'm a sales representative from lightfantastic.tv. As a long-time observer of the Hong Kong market, I'm excited to introduce you to our innovative out-of-home advertising solution that can help elevate your brand presence in the city.

At lightfantastic.tv, we specialize in providing high-impact advertising opportunities on the streets of Hong Kong. Our unique platform allows you to reserve all four windows for a fixed fee of HK$400,000, giving you exclusive access to a prime advertising space during the peak season. This not only saves you money but also ensures your brand gets maximum visibility and exposure to a vast audience.

As a prominent financial institution, I believe that BANK OF SHANGHAI (HONG KONG) LIMITED can greatly benefit from our services. Our platform enables you to connect with your target audience, increase brand awareness, and drive conversions. With our help, you can:

- Reach a massive audience of over a million people daily
- Enjoy seamless integration with your existing marketing strategy
- Track the effectiveness of your campaigns with our robust reporting tools

To further support your marketing efforts, we're excited to offer a special promotion during Singles' Day (5-11 Nov 2026): HK$120,000 per window. This is",
5,Mizuho Bank Ltd Hong Kong Branch,+852 2103 3000,No Website,No Website,2.7,7 reviews,"13/F, K11 ATELIER Victoria Dockside, 18 Salisbury Rd, Tsim Sha Tsui, Hong Kong",42,⭐ Medium Priority,New,No,2026-07-15 19:54:26,"Subject: Elevate Your Brand in Hong Kong's Vibrant Streets

Dear Mizuho Bank Ltd Hong Kong Branch Team,

As a prominent banking institution in Hong Kong, I'm sure you're always looking for innovative ways to promote your brand and reach your target audience. At lightfantastic.tv, we specialize in out-of-home advertising, helping businesses like yours put their brand on the streets of Hong Kong.

Our unique digital screens are strategically placed throughout the city, providing unparalleled visibility and engagement. By partnering with us, you can effectively reach your customers, build brand awareness, and drive business results. Our services are designed to be flexible and tailored to your specific needs, ensuring that your message is seen by the right people at the right time.

This Singles' Day, from November 5th to 11th, we're offering an exclusive deal for you. Book any of our four windows for HK$120,000, and not only will you get an unbeatable price, but you'll also secure premium ad space during the peak season.

Don't miss this opportunity to elevate your brand's visibility and connect with your customers in a meaningful way. To learn more about this offer and how lightfantastic.tv can help your business thrive, please reply to this email at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
6,Allied Banking Corporation (Hong Kong) Limited,+852 2846 2288,http://www.abchkl.com.hk/,info@abchkl.com.hk,N/A,0 reviews,"1402, World Wide House, 19 Des Voeux Rd Central, Central, Hong Kong",75,🔥 High Priority,New,No,2026-07-15 19:54:26,"Subject: Unlock Peak Season Opportunities in Hong Kong with lightfantastic.tv

Dear Allied Banking Corporation (Hong Kong) Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv, a leading out-of-home advertising platform in Hong Kong. Our unique network of four large-format digital windows offers unparalleled visibility and engagement for brands like yours.

As a prominent financial institution in Hong Kong, I understand the importance of reaching your target audience effectively. Our platform helps businesses like ABCHK achieve their marketing objectives by providing high-impact advertising opportunities that drive brand awareness and conversions.

We'd like to introduce you to our exclusive Singles' Day offer, running from November 5th to 11th, 2026. For a limited time, you can reserve all four windows for a special rate of HK$120,000 per window. This is an unbeatable opportunity to maximize your brand's exposure during the peak shopping season.

Take advantage of this exceptional offer and make your brand shine in the heart of Hong Kong. To reserve your spot, simply reply to this email at hello@lightfantastic.tv or give us a call.

Looking forward to helping you light up the streets of Hong Kong!

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.
(852) 1234 5678 | hello@lightfantastic.tv | lightfantastic.tv",
7,Citibank Hong Kong – Mong Kok Branch,+852 2860 0333,https://www.citibank.com.hk/,clientservice.cbhk@citi.com,2.4,72 reviews,"Shop 8, G/F – 2/F, 664 Nathan Rd, Mong Kok, Hong Kong",82,🔥 High Priority,New,No,2026-07-15 19:54:26,"Subject: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear Citibank Hong Kong – Mong Kok Branch Team,

As a business leader in Mong Kok, you understand the importance of being seen and heard by your target audience. That's where lightfantastic.tv comes in – a cutting-edge out-of-home advertising platform that puts your brand on the streets of Hong Kong, where it matters most.

Our network of four high-impact windows offers unparalleled visibility, allowing you to reach a vast and engaged audience in the heart of one of Asia's busiest cities. By reserving the full peak season, you can save against booking individual windows and make a lasting impression on your customers.

This Singles' Day, we're offering an exclusive promotion that's too good to miss: book any of our windows from November 5th to 11th for just HK$120,000. Don't miss out on this opportunity to boost your brand's visibility and drive foot traffic to your Mong Kok branch.

Ready to take your brand to the next level? Contact us at hello@lightfantastic.tv to learn more and reserve your spot.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
8,"HDFC Bank Limited, Hong Kong Branch",+852 3107 2977,http://www.hdfcbankhongkong.com/,shaileshkumar.krishnan@hdfc.bank.in,5,1 reviews,"Suite 1707, 17th Floor, The Gateway Tower 1, 25 Canton Rd, Tsim Sha Tsui, Hong Kong",90,🔥 High Priority,New,No,2026-07-15 19:54:26,"Subject Line: Elevate Your Brand in Hong Kong with Lightfantastic.tv

Dear HDFC Bank Limited, Hong Kong Branch Team,

I came across your bank's impressive 5-star rating and exceptional service on http://www.hdfcbankhongkong.com/, and I'm excited to introduce you to lightfantastic.tv, the ultimate out-of-home advertising solution for businesses like yours in Hong Kong.

Our unique digital screens are strategically placed across four iconic windows, offering unparalleled opportunities to reach and engage your target audience. By partnering with us, you can create a lasting impression and increase brand awareness in the heart of Hong Kong.

Our solution is particularly beneficial for banks like HDFC Bank Limited, as it allows you to:

- Showcase your brand's values and mission to a captive audience
- Drive foot traffic to your branches and promote your services
- Differentiate yourself from competitors in a highly competitive market

To celebrate Singles' Day, we're offering an exclusive promotion from November 5th to 11th. Reserve our iconic windows at an unbeatable rate of HK$120,000 per window. This is an incredible opportunity to elevate your brand's presence in Hong Kong and make a lasting impact on your customers.

To take advantage of this limited-time offer, simply reply to this email at hello@lightfantastic.tv or give me a call to discuss further.

Best regards,

Emily Wong
Sales Representative
Lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your",
9,Bank of China Tower,No Phone Number,http://www.bochk.com/,hr@bochk.com,4.1,1958 reviews,"1 Garden Rd, Central, Hong Kong",85,🔥 High Priority,New,No,2026-07-15 19:54:26,"Subject: Brighten Up Your Brand in Hong Kong with Lightfantastic.tv

Dear Bank of China Tower Team,

I hope this email finds you well. My name is Emily Wong, and I'm a sales representative from lightfantastic.tv, Hong Kong's leading out-of-home advertising platform. We help iconic brands like yours amplify their presence on the streets of Hong Kong, where over 7.5 million people live, work, and play.

At lightfantastic.tv, we believe that a powerful brand story deserves a canvas that's just as vibrant. By partnering with us, you can take control of all four of our prime windows for HK$400,000, reserving the full peak season and saving against booking each window on its own. This strategic placement puts your brand at the heart of the city's most dynamic areas, driving brand awareness and engagement.

To celebrate the upcoming Singles' Day, we're offering an exclusive promotion from November 5th to 11th. Book one or all of our windows for just HK$120,000 per window, and let's shine a light on your brand together.

If you're interested in exploring how lightfantastic.tv can elevate your brand's presence in Hong Kong, please don't hesitate to reach out to me directly at hello@lightfantastic.tv. I'd be delighted to schedule a call to discuss your goals and objectives in more detail.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home",
10,"Bank of Communications Co., Ltd. New York Branch",(212) 376-8030,No Website,No Website,2.1,8 reviews,"55 Broadway, New York, NY 10006",42,⭐ Medium Priority,New,No,2026-07-15 19:54:26,"Subject Line: Elevate Your Brand in the Heart of Hong Kong

Dear Bank of Communications Co., Ltd. New York Branch Team,

I hope this email finds you well. My name is Emily from lightfantastic.tv, and I'm excited to introduce you to our unique out-of-home advertising solution that can help you reach a wider audience in Hong Kong.

At lightfantastic.tv, we specialize in taking over all four windows of our digital screens, creating a massive presence in the city's busiest areas. This means you can reserve the full peak season and save against booking each window on its own. Our screens are strategically located in high-traffic zones, including major shopping malls, transportation hubs, and popular entertainment districts.

We understand that reaching a global audience can be challenging, especially for a prominent financial institution like Bank of Communications Co., Ltd. New York Branch. Our solution helps you connect with a diverse and engaged audience in Hong Kong, where business and innovation thrive.

To make it even more compelling, we're offering a special promotion for Singles' Day from November 5th to 11th, 2026. Book our screens during this period, and you'll enjoy a discounted rate of HK$120,000 per window.

If you're interested in learning more about how lightfantastic.tv can help your business achieve its marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call to discuss the details",
11,Kookmin Bank Hong Kong Branch,+852 2530 3633,https://omoney.kbstar.com/quics?page=C021267#loading,kookmin@hkstar.com,3.5,4 reviews,"1101 & 1106, 18 Harbour Rd, Wan Chai, Hong Kong",80,🔥 High Priority,New,No,2026-07-15 19:54:26,"Subject Line: Reach Your Customers Where It Matters, Hong Kong

Dear Kookmin Bank Hong Kong Branch Team,

I hope this email finds you well. My name is Emily Wong, and I am a sales representative from lightfantastic.tv, a leading out-of-home advertising platform in Hong Kong. As I came across your website, https://omoney.kbstar.com/quics?page=C021267#loading, I was impressed by the services you offer to your customers. With a 3.5-star rating, it's clear you're committed to delivering quality banking solutions.

At lightfantastic.tv, our mission is to help businesses like yours reach their target audience where it matters most - on the streets of Hong Kong. Our innovative platform allows you to showcase your brand on four strategically located digital displays, providing unparalleled visibility and reach. By partnering with us, you can reserve the full peak season and save against booking each window on its own.

To help you amplify your brand presence this Singles' Day (5-11 Nov 2026), we're offering an exclusive promotion: HK$120,000 per window. Don't miss this opportunity to connect with your customers and drive engagement.

If you're interested in learning more about how lightfantastic.tv can support your marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call to discuss further.

Best regards,

Emily Wong
Sales Representative
lightfantastic",
12,DZ Bank AG Hong Kong Branch,+852 2864 3100,https://www.hongkong.dzbank.com/,dzhk-recruit@dzbank.de,5,1 reviews,"Hong Kong, 海富中心寫字樓第一座",90,🔥 High Priority,New,No,2026-07-15 19:54:26,"Subject: Elevate Your Brand in Hong Kong with Lightfantastic.tv

Dear DZ Bank AG Hong Kong Branch Team,

I came across your esteemed institution and was impressed by your 5-star rating on your website. As a leading financial institution in Hong Kong, I believe your brand deserves a strong presence on the city's vibrant streets.

At lightfantastic.tv, we specialize in out-of-home advertising, helping brands like yours reach a wider audience and increase brand visibility. By partnering with us, you can reserve a coveted spot on our network of four windows, guaranteeing a consistent presence throughout the peak season. This strategic move not only enhances your brand's reputation but also saves you against individual window bookings, making it a cost-effective solution.

To celebrate Singles' Day, we're offering an exclusive deal: book any of our windows from November 5th to 11th, 2026, for just HK$120,000. This is a fantastic opportunity to amplify your brand's messaging during a crucial period.

If you're interested in exploring this unique opportunity, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be delighted to discuss how we can help you achieve your marketing objectives.

Looking forward to hearing from you.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
13,Bank of India - Hong Kong Branch,+852 2524 0186,No Website,No Website,4.2,16 reviews,"2/F, 11 Duddell St, Central, Hong Kong",52,⭐ Medium Priority,New,No,2026-07-15 19:54:26,"Subject: Put Your Brand on the Streets of Hong Kong with Lightfantastic.tv

Dear Bank of India - Hong Kong Branch Team,

I hope this email finds you well. My name is Emily, and I'm a sales representative from lightfantastic.tv, the leading out-of-home advertising platform in Hong Kong. Our innovative solution allows you to reach over 1.1 million Hong Kong residents daily with our network of 4 premium digital billboards strategically placed across the city.

We believe that lightfantastic.tv can help businesses like yours, Bank of India - Hong Kong Branch, to increase brand awareness, drive foot traffic, and ultimately, boost sales. By partnering with us, you'll be able to engage with a highly targeted audience in a unique and impactful way.

To celebrate the upcoming Singles' Day, we're offering an exclusive deal for new customers. From November 5th to 11th, 2026, you can reserve all four of our windows for an unbeatable price of HK$120,000 per window. This is a rare opportunity to secure premium ad space at a discounted rate, ideal for peak season advertising.

If you're interested in taking your marketing efforts to the next level, we invite you to reach out to us at hello@lightfantastic.tv to schedule a call. Our team would be more than happy to discuss how lightfantastic.tv can help you achieve your business goals.

Looking forward to hearing from you.

Best regards,

Emily
Sales Representative",
