No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Battery-HK,+852 9777 9874,https://www.facebook.com/BatteryHK.DysonRepair,Email Not Found,4.6,97 reviews,"Hong Kong, Sham Shui Po, Fuk Wa St, 161-175號, 福仁電腦商場 1樓42鋪",82,🔥 High Priority,New,No,2026-07-15 17:08:35,"Subject: Elevate Your Brand's Visibility in Hong Kong

Dear Battery-HK Team,

I came across your excellent repair services for Dyson products and was impressed by your 4.6-star rating on Facebook. As a business owner in Hong Kong, you understand the importance of being seen by your target audience. That's where we come in at lightfantastic.tv - we provide out-of-home advertising solutions that help brands like yours put their message on the streets of Hong Kong.

Our LED screens are strategically located across key areas of the city, capturing the attention of a large and engaged audience. By partnering with us, you can increase your brand's visibility, drive foot traffic to your store, and ultimately boost sales. Plus, our flexible pricing model makes it easy to fit our advertising solutions into your marketing budget.

To make it even more exciting, we're offering a special promotion for Singles' Day, from November 5th to 11th. You can secure a prime window for just HK$120,000 - a 70% discount from our regular price.

If you're interested in exploring how lightfantastic.tv can help Battery-HK reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be happy to schedule a consultation and discuss how our out-of-home advertising solutions can benefit your business.

Best regards,

Emily Wong
Business Development Manager
lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand",
2,Battery Collection Limited,+852 2728 6050,https://batterycollection.com.hk/,bcl@batterycollection.com.hk,3.3,10 reviews,"Hong Kong, Mong Kok, Nathan Rd, 610號, 荷李活商業中心11樓1108室",77,🔥 High Priority,New,No,2026-07-15 17:08:35,"Subject Line: Elevate Your Brand Visibility in Hong Kong with lightfantastic.tv

Dear Battery Collection Limited Team,

I came across your website, https://batterycollection.com.hk/, and noticed that you're doing great work in providing top-notch battery solutions to your customers. As a business owner in Hong Kong, you understand the importance of standing out in a crowded market.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Our unique 4-window LED display allows you to capture the attention of millions of people, driving traffic and engagement to your business. By partnering with us, you can take advantage of our peak season packages and enjoy significant savings.

To make it even more compelling, we're excited to offer a special promotion for Singles' Day (Nov 5-11, 2026). Reserve all four windows for a discounted rate of HK$120,000 per window, making it an unbeatable value for your marketing budget.

If you're interested in learning more about how lightfantastic.tv can help take your brand to the next level, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd love to schedule a call to discuss your goals and show you how our unique advertising solution can drive results for your business.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong",
3,Universal Battery,+852 2330 2204,https://acdelco.com.hk/distributors/%E7%92%B0%E7%90%83%E6%B1%BD%E8%BB%8A%E9%9B%BB%E6%B1%A0%E9%9B%BB%E5%99%A8%E5%86%B7%E6%B0%A3%E5%85%AC%E5%8F%B8,2204@acdelco.com.hk,4.5,134 reviews,"Lucky Court, 38號 Mok Cheong St, To Kwa Wan, Hong Kong",100,🔥 High Priority,New,No,2026-07-15 17:08:35,"Subject: Unlock HK's Busiest Streets with Lightfantastic.tv

Dear Universal Battery Team,

I hope this email finds you well. As a representative from Lightfantastic.tv, I've been following your growth in the battery industry, and I must say, I'm impressed by your 4.5-star rating on ACDelco's website. Your commitment to quality products and customer satisfaction is truly commendable.

At Lightfantastic.tv, we specialize in out-of-home advertising in Hong Kong, putting your brand right at the heart of the city's busiest streets. Imagine being seen by thousands of potential customers every day, all while reaching new audiences and driving sales. Our network of strategically placed digital screens is perfect for businesses like yours that want to increase brand awareness and drive foot traffic.

And now, during the peak Singles' Day period from November 5th to 11th, we're offering an unbeatable deal: HK$120,000 per window, giving you the chance to dominate the city's busiest shopping districts at a fraction of the usual cost. This is a rare opportunity to take your marketing efforts to the next level without breaking the bank.

If you're interested in learning more about how Lightfantastic.tv can help Universal Battery take your brand to the next level, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call to discuss how our advertising solutions can benefit your business.

Best regards,

Ethan",
4,Hong Kong Batteries Manufactory Limited,+852 2798 8548,No Website,No Website,5,1 reviews,"Kam Hon Industrial Building, Wang Kwun Rd, Kowloon Bay, Hong Kong",55,⭐ Medium Priority,New,No,2026-07-15 17:08:35,"Subject: Elevate Your Brand in Hong Kong with Lightfantastic.tv

Dear Hong Kong Batteries Manufactory Limited,

I came across your business and was impressed with your 5-star rating. As a representative from lightfantastic.tv, I'm excited to introduce you to a unique opportunity to reach a wider audience in Hong Kong.

Lightfantastic.tv offers out-of-home advertising solutions that put your brand on the streets of Hong Kong. Our platform allows you to reserve four windows for a fixed price of HK$400,000, saving you money compared to booking each window separately. This is ideal for businesses like yours that want to build brand awareness and drive customer engagement.

By partnering with us, you can increase your visibility, attract new customers, and stay ahead of the competition. Our solution is perfect for businesses looking to make a lasting impression in a bustling city like Hong Kong.

To celebrate the upcoming Singles' Day, we're offering a special promotion from November 5th to 11th. You can reserve any of our windows for HK$120,000 each, a significant discount from our regular pricing.

If you're interested in learning more about how lightfantastic.tv can help your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be happy to discuss your advertising needs and provide a customized solution that fits your budget.

Best regards,

Emily Wong
Sales Representative
Lightfantastic.tv
Out-of-home advertising, Hong Kong",
5,Powerstride Battery,(559) 268-5593,http://www.powerstridebattery.com/,support@powerstridebattery.com,4.6,67 reviews,"2545 E Jensen Ave, Fresno, CA 93706",97,🔥 High Priority,New,No,2026-07-15 17:08:35,"Subject: Put Your Brand on the Streets of Hong Kong with Lightfantastic.tv

Dear Powerstride Battery Team,

I came across your company, Powerstride Battery, and was impressed by your 4.6-star rating on your website. As a business leader in the battery industry, you understand the importance of reaching your target audience effectively.

At Lightfantastic.tv, we offer a unique out-of-home advertising solution that can help you take your brand to the next level. With our network of large-format screens located in high-traffic areas across Hong Kong, you can increase brand awareness, drive engagement, and ultimately boost sales. Our system allows you to reserve multiple windows for a discounted rate, making it an ideal solution for businesses looking to make a lasting impression.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th. Reserve a window for just HK$120,000, a significant saving compared to booking each window individually.

If you're interested in learning more about how Lightfantastic.tv can help Powerstride Battery achieve your marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Lightfantastic.tv
Out-of-home advertising, Hong Kong
[Contact Information]
[Company Website: lightfantastic.tv]",
6,GP Battery Marketing (HK) Ltd,No Phone Number,https://tc.hk.gpbatteries.com/pages/contacts,gpbmhk@goldpeak.com,2.6,9 reviews,"16 Science Park W Ave, Science Park, Hong Kong",67,⭐ Medium Priority,New,No,2026-07-15 17:08:35,"Subject: Elevate Your Brand in Hong Kong with lightfantastic.tv

Dear GP Battery Marketing (HK) Ltd Team,

I hope this email finds you well. My name is Emily from lightfantastic.tv, and I'm excited to introduce our out-of-home advertising solution that's been making waves in Hong Kong. We're a premium platform offering a unique opportunity for businesses like yours to reach a wider audience and increase brand visibility.

At lightfantastic.tv, we believe that the streets of Hong Kong hold the key to unlocking your brand's potential. Our platform allows you to take over four windows for a fixed price of HK$400,000, ensuring maximum exposure for your brand. However, we understand that flexibility is essential, which is why we're offering a special promotion for Singles' Day (5 to 11 Nov 2026). For a limited time, you can book each window at a discounted rate of HK$120,000.

This is an incredible chance for GP Battery Marketing (HK) Ltd to elevate your brand presence in Hong Kong and make a lasting impression on your target audience. Our platform offers:

- Maximum exposure for your brand
- Flexibility in booking and pricing
- A chance to stand out in a crowded market

If you're interested in learning more about how lightfantastic.tv can help GP Battery Marketing (HK) Ltd achieve your marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Looking forward to hearing",
7,Sun Rich(Hong Kong),+852 9140 6664,https://www.sunrichhkltd.com/,aec31088a6fb4f6eafac028a91e1cf21@o769852.ingest.sentry.io,4.6,10 reviews,"2樓218-220鋪, W Plaza, President Commercial Centre, 602-608號 Nathan Rd, Mong Kok, Hong Kong",92,🔥 High Priority,New,No,2026-07-15 17:08:35,"Subject: Unlock the Potential of Out-of-Home Advertising in Hong Kong

Dear Sun Rich(Hong Kong) Team,

I hope this email finds you well. My name is Emily from lightfantastic.tv, and I came across your company's impressive rating of 4.6 on your website. It's great to see you're doing well in the industry.

At lightfantastic.tv, we specialize in out-of-home advertising in Hong Kong. Our digital screens are strategically located in high-traffic areas, allowing your brand to reach a massive audience and create a lasting impression. Our platform is specifically designed to help businesses like yours connect with the right people at the right time.

By partnering with us, you can:

- Increase brand visibility and awareness
- Drive foot traffic to your stores
- Enhance your marketing ROI

To make your advertising efforts even more effective, we're excited to offer a special promotion for Singles' Day from November 5th to 11th. You can reserve any of our four windows for a discounted price of HK$120,000 each. This is a unique opportunity to save against booking each window on its own and secure a strong presence during the peak season.

If you're interested in learning more about how lightfantastic.tv can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be happy to schedule a call to discuss your goals and preferences.

Looking forward to hearing from you.

Best regards",
8,香港eSIM信豐電訊 電話卡批發及零售/大陸電話/歐洲電話卡/歐洲電話卡/日本電話卡/台灣電話卡/美國電話卡/泰國電話/韓國電話卡,+852 6234 1999,http://www.hkesim.com.hk/,kkm6888@icloud.com,5,10 reviews,"Hong Kong, Mong Kok, Argyle St, 83號, 地下G93鋪",92,🔥 High Priority,New,No,2026-07-15 17:08:35,"Subject: Unlock the Power of Out-of-Home Advertising in Hong Kong

Dear 香港eSIM信豐電訊 電話卡批發及零售/大陸電話/歐洲電話卡/歐洲電話卡/日本電話卡/台灣電話卡/美國電話卡/泰國電話/韓國電話卡 Team,

I came across your website, http://www.hkesim.com.hk/, and was impressed by your 5-star rating and extensive range of international phone cards. As a sales representative from lightfantastic.tv, I understand that effective marketing is crucial to reaching your target audience.

Our lightfantastic.tv platform offers a unique opportunity to put your brand on the streets of Hong Kong, increasing brand visibility and driving business growth. By taking our four windows, you can reserve the full peak season and save against booking each window on its own. This strategic approach will ensure that your message reaches a large and engaged audience.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th. Book our windows at an unbeatable rate of HK$120,000 per window. Don't miss this chance to elevate your brand's presence in Hong Kong.

If you're interested in learning more about how lightfantastic.tv can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. We look forward to collaborating with you and amplifying your brand's message.

Best regards,

Emily",
9,"Grace Technology Co., Ltd.",+852 2388 7168,https://shop.price.com.hk/wellpower/,payment-icon-alipay@2x.png,3.7,3 reviews,"Sim City, 2/F, 224 & 235, Hong Kong",80,🔥 High Priority,New,No,2026-07-15 17:08:35,"Subject Line: Amplify Your Brand's Presence in Hong Kong with lightfantastic.tv

Dear Grace Technology Co., Ltd. Team,

I hope this email finds you well. I came across your website, shop.price.com.hk/wellpower/, and noticed your strong online presence in the market. As a representative of lightfantastic.tv, I'm excited to introduce you to a unique out-of-home advertising opportunity that can help you extend your brand's reach and engagement with your target audience in Hong Kong.

Our platform, lightfantastic.tv, offers a innovative way to showcase your brand on the streets of Hong Kong, reaching millions of potential customers with our large-format digital screens. By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately boost sales. Our flexible advertising solutions cater to businesses like yours, looking to make a lasting impression on their customers.

To mark the upcoming Singles' Day on November 11th, we're offering a special promotion for our services. From November 5th to 11th, you can reserve a single window on our platform for just HK$120,000. This is an unbeatable opportunity to reserve prime advertising space during the peak season and save against booking each window on its own.

If you're interested in learning more about how lightfantastic.tv can help you achieve your marketing goals, please don't hesitate to reach out to me at hello@lightfantastic.tv. I'd be more than happy to schedule a call",
10,METEOR HK,+852 2392 0363,http://www.meteor.com.hk/,enquiry@meteor.com.hk,4.7,204 reviews,"9A, Lin Fook House, 3 Jardine's Cres, Causeway Bay, Hong Kong",100,🔥 High Priority,New,No,2026-07-15 17:08:35,"Subject: Unlock the Full Potential of Hong Kong's Streets with lightfantastic.tv

Dear METEOR HK Team,

I came across your impressive website (http://www.meteor.com.hk/) and noticed your exceptional 4.7-star rating. It's clear that you're committed to delivering exceptional experiences for your customers. As a business with such high standards, I believe you'll be interested in reaching new heights with out-of-home advertising in Hong Kong.

At lightfantastic.tv, we specialize in putting your brand on the streets of Hong Kong, where it can be seen by millions of people every day. Our cutting-edge digital screens are strategically located throughout the city, making it an ideal platform for businesses like METEOR HK to increase brand awareness, drive foot traffic, and boost sales.

By partnering with us, you'll not only be able to reach a vast and engaged audience but also save against booking individual windows. Reserve all four screens for a comprehensive marketing campaign, and take advantage of our special offer during Singles' Day from November 5th to 11th, 2026, where you can secure each window for HK$120,000.

Don't miss this opportunity to elevate your brand's presence in Hong Kong. To learn more about how lightfantastic.tv can help you achieve your marketing goals, please reply to this email at hello@lightfantastic.tv or visit our website.

Looking forward to exploring possibilities with you.

Best regards,

Emily Wong
Business Development",
