No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Hong Kong mug printing,+852 6545 8258,No Website,No Website,4.8,14 reviews,"temple street, Jordan, Hong Kong",57,⭐ Medium Priority,New,No,2026-07-15 18:05:00,"Subject Line: Unlock Hong Kong's Vibrant Streets with lightfantastic.tv

Dear Hong Kong Mug Printing Team,

I hope this email finds you well. My name is Emily from lightfantastic.tv, and I've been following your business, Hong Kong mug printing. Your 4.8-star rating is impressive, and I'm excited to explore how we can help elevate your brand's visibility in Hong Kong.

As a leading out-of-home advertising platform, lightfantastic.tv offers an unparalleled opportunity to put your brand on the streets of Hong Kong. Imagine having your logo or message displayed across four prominent windows in the heart of the city, reaching thousands of potential customers. Our platform is designed to help businesses like yours increase brand awareness, drive foot traffic, and ultimately, boost sales.

With our Singles' Day offer, you can reserve a premium spot for just HK$120,000 per window from November 5th to 11th, 2026. This is an unbeatable chance to make a lasting impression on the city's bustling streets.

If you're interested in taking your brand to the next level, I'd love to discuss how lightfantastic.tv can support your marketing efforts. Simply reply to this email at hello@lightfantastic.tv, and I'll be in touch to schedule a call.

Looking forward to hearing from you soon.

Best regards,
Emily
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets",
2,e-print,+852 2319 7016,https://e-print.com.hk/,eprint@e-print.com.hk,3.8,23 reviews,"地下19號舖, 81號 Hak Po St, Mong Kok, Hong Kong",84,🔥 High Priority,New,No,2026-07-15 18:05:00,"Subject: Elevate Your Brand in Hong Kong with lightfantastic.tv

Dear e-print Team,

I came across your business, e-print, and was impressed by the quality services you offer. As a fellow Hong Kong-based company, I'd like to introduce you to lightfantastic.tv - a cutting-edge Out-of-Home (OOH) advertising platform that puts your brand on the streets of Hong Kong.

With lightfantastic.tv, you can reach over 4 million residents and visitors daily, effectively increasing brand awareness and driving customer engagement. Our platform is perfect for businesses like e-print, which value targeted advertising and high-impact visual displays.

To further enhance your brand's visibility, we're excited to announce a special offer for Singles' Day - a 5-day period from November 5th to 11th, 2026. Book any of our windows during this time and enjoy an exclusive rate of HK$120,000 per window, a significant saving compared to booking each window individually.

Don't miss this opportunity to capture the attention of Hong Kong's vibrant population. To learn more about lightfantastic.tv and our tailored advertising solutions, please reply to this email at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong.",
3,e-print 觀塘總店,+852 2344 6668,https://www.e-print.com.hk/,support@e-print.com.hk,3.5,87 reviews,"Hong Kong, Kwun Tong, Kwun Tong Rd, 436-446號, 第四期地下B舖 Shop B, G/F., Phase 4, Kwun Tong Industrial Centre, No. 436-446 Kwun Tong Rd., Kwun Tong, Kwun Tong Industrial Centre Phase 1",87,🔥 High Priority,New,No,2026-07-15 18:05:00,"Subject: Elevate Your OOH Advertising in Hong Kong with lightfantastic.tv

Dear e-print 觀塘總店 Team,

I came across your business, e-print 觀塘總店, and was impressed by the variety of printing services you offer to your customers. As a fellow business owner, I understand the importance of effective marketing strategies to reach your target audience.

At lightfantastic.tv, we specialize in out-of-home (OOH) advertising, helping businesses like yours to increase brand visibility and engagement in the heart of Hong Kong. Our unique digital display screens can be reserved for the entire peak season, providing a cost-effective solution compared to booking individual windows.

We're excited to announce our special offer for Singles' Day, running from Nov 5th to 11th, 2026. For just HK$120,000 per window, you can take advantage of this limited-time opportunity to amplify your brand message to a massive audience.

If you're interested in learning more about how lightfantastic.tv can help elevate your OOH advertising efforts, I'd love to schedule a call to discuss further. Please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
4,Ma King Kee Limited,+852 2529 7961,http://www.makingkee.com/,info@makingkee.com,4.3,60 reviews,"Hong Kong, Wan Chai, Landale St, 6號舖, Rialto Building, 地下",92,🔥 High Priority,New,No,2026-07-15 18:05:00,"Subject: Unlock the Power of Out-of-Home Advertising in Hong Kong

Dear Ma King Kee Limited,

I came across your company's website and was impressed with your 4.3-star rating and the great work you're doing at http://www.makingkee.com/. As a sales representative from lightfantastic.tv, I'd like to introduce you to our innovative out-of-home advertising solution that can help take your brand to the next level.

Imagine putting your brand on the streets of Hong Kong, where millions of people pass by every day. Our unique windows in key locations can help increase brand awareness, drive foot traffic, and ultimately boost sales. We've helped numerous businesses like yours achieve remarkable results through our effective and engaging campaigns.

To give you a head start, we're excited to offer a special promotion for Singles' Day from November 5th to 11th. For just HK$120,000 per window, you can reserve our prime locations and save compared to booking individually. This is a fantastic opportunity to make a lasting impact on your target audience.

If you're interested in learning more about how lightfantastic.tv can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call to discuss your goals and create a customized campaign that drives real results.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets",
5,Copycat Printing Centre,+852 3106 4906,http://www.cpct-copycat.com/,cpct1@copycat.com.hk,4.8,62 reviews,"Hong Kong, Mong Kok, Nelson St, 20號, 1樓1A室",97,🔥 High Priority,New,No,2026-07-15 18:05:00,"Subject Line: Reach the Heart of Hong Kong with Lightfantastic.tv

Dear Copycat Printing Centre Team,

I've been researching and came across your exceptional services at Copycat Printing Centre, with a 4.8-star rating on your website! It's fantastic to see businesses like yours thriving in Hong Kong.

At lightfantastic.tv, we're passionate about helping businesses like yours make their mark on the streets of Hong Kong. Our innovative out-of-home advertising solution allows you to showcase your brand to a massive audience of over 7.5 million people. Our windows are strategically located in high-traffic areas, ensuring maximum visibility and reach for your target audience.

Imagine being able to reserve the full peak season and save against booking each window on its own for a flat rate of HK$400,000! But, we're offering an exclusive promotion just in time for Singles' Day:

* From November 5th to 11th, 2026, you can book each window for HK$120,000, a steal of an offer you don't want to miss!

To take advantage of this limited-time opportunity, simply reply to this email at hello@lightfantastic.tv. Our team will be more than happy to guide you through the process and answer any questions you may have.

At lightfantastic.tv, we're committed to helping businesses like yours shine on the streets of Hong Kong. Let's get started today!

Best regards,

Emily Wong
Sales Representative
lightfant",
6,Plus Group International Limited,+852 2333 4421,http://www.plusgroup.com.hk/,sales@plusgroup.com.hk,4.9,18 reviews,"A3, 11/F, Winner Building, 36 Man Yue Street, Hung Hom, Hong Kong",92,🔥 High Priority,New,No,2026-07-15 18:05:00,"Subject: Unlock Peak Season Opportunities with lightfantastic.tv

Dear Plus Group International Limited Team,

I came across your company and noticed your exceptional 4.9-star rating on http://www.plusgroup.com.hk/. It's clear that you've built a strong reputation in the industry, and I'd like to introduce you to a unique opportunity to further amplify your brand's presence in Hong Kong.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Our innovative platform allows you to reserve all four windows for a fixed price of HK$400,000, ensuring maximum impact and cost-effectiveness.

By partnering with us, you can reach a vast audience, reserve the full peak season, and save against booking each window individually. Our clients appreciate the flexibility and efficiency of our service.

To make it even more compelling, we're offering a special promotion for Singles' Day from 5-11 November 2026: HK$120,000 per window. This is a fantastic chance to boost your brand's visibility during a highly engaged period.

If you're interested in exploring how lightfantastic.tv can help Plus Group International Limited, I'd love to discuss further. Please feel free to reach out to hello@lightfantastic.tv to schedule a call.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong",
7,3DMart HK 三帝瑪香港有限公司,+852 3709 9430,http://3dmart.com.hk/,client@3dmart.com.hk,5,32 reviews,"Unit 706, 7/F, Sun Cheong Industrial Building, 2-4 Cheung Yee St, Cheung Sha Wan, Hong Kong",94,🔥 High Priority,New,No,2026-07-15 18:05:00,"Subject Line: Elevate Your Brand on the Streets of Hong Kong with lightfantastic.tv

Dear 3DMart HK 三帝瑪香港有限公司 Team,

I came across your impressive website, http://3dmart.com.hk/, and noticed that you've got a solid 5-star rating! As a business leader in the Hong Kong market, you're likely looking for innovative ways to reach and engage with your target audience.

That's where lightfantastic.tv comes in. Our out-of-home advertising solution allows you to put your brand on the streets of Hong Kong, literally! With our network of high-visibility LED windows, you can amplify your brand message and create a lasting impression on passersby. Plus, by reserving our peak season windows, you can save against booking each window on its own.

We're excited to announce a special offer for Singles' Day (5-11 Nov 2026), where you can secure our stunning windows at an unbeatable price of HK$120,000 per window. This is a limited-time opportunity to maximize your brand's visibility and reach during one of the busiest shopping periods in Hong Kong.

If you're interested in learning more about how lightfantastic.tv can elevate your brand's presence in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call and explore how we can help 3DMart HK reach new heights.

Best regards,

Emily",
8,SpectrArt Hong Kong Fine Art Printing & Framing,+852 3468 6020,https://www.spectrart.com/,zenta.chino@gmail.com,5,12 reviews,"1402, 9-11 Hillwood Rd, Tsim Sha Tsui, Hong Kong",92,🔥 High Priority,New,No,2026-07-15 18:05:00,"Subject Line: Elevate Your Brand in Hong Kong with lightfantastic.tv

Dear SpectrArt Hong Kong Fine Art Printing & Framing Team,

I came across your beautiful art pieces on your website and was impressed by the quality of your work. As a business that values aesthetics, I thought you might be interested in a unique opportunity to take your brand to the next level with out-of-home advertising in Hong Kong.

At lightfantastic.tv, we provide a platform for businesses to showcase their brand on the streets of Hong Kong. Our large-scale digital display network allows you to reach a massive audience and increase brand visibility. By partnering with us, you can reserve a spot on our peak season inventory and enjoy significant savings compared to booking individual windows.

To celebrate Singles' Day, we're offering an exclusive deal from November 5th to 11th: HK$120,000 per window, a 70% discount from our regular price! This is a limited-time opportunity to elevate your brand in Hong Kong without breaking the bank.

If you're interested in learning more about how lightfantastic.tv can help you achieve your marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss the details and answer any questions you may have.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong 
Put your brand on the streets of Hong Kong.",
9,PRINT PLUS MK,+852 3791 2634,http://www.printplusprintingcompany.com/,Email Not Found,3.7,28 reviews,"Hong Kong, Mong Kok, Sai Yee St, 62-72號, 得寶商場地31號鋪",69,⭐ Medium Priority,New,No,2026-07-15 18:05:00,"Subject Line: Elevate Your Brand's Visibility in Hong Kong

Dear PRINT PLUS MK Team,

I came across your printing services and was impressed with the quality of work you provide to your clients. As a fellow business owner in Hong Kong, I understand the importance of effective advertising to stand out from the competition.

That's why I'd like to introduce you to lightfantastic.tv, a cutting-edge out-of-home advertising solution that allows you to reach millions of people on the streets of Hong Kong. Our platform offers a unique opportunity to reserve all four windows for a fixed rate of HK$400,000, guaranteeing peak-season exposure and savings compared to booking individual windows.

At lightfantastic.tv, we believe in empowering businesses like yours to make a lasting impact on the community. Our platform helps you:

- Increase brand awareness and reach a wider audience
- Drive foot traffic to your physical locations
- Enhance your brand's reputation and credibility

To celebrate Singles' Day, we're offering an exclusive promotion from November 5th to 11th, 2026. Book any of our windows during this period and enjoy a special rate of HK$120,000 per window.

If you're interested in learning more about how lightfantastic.tv can support your business goals, I invite you to reach out to me directly at hello@lightfantastic.tv. I'd be delighted to schedule a call to discuss further.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv",
10,Mail Boxes Etc.,+852 2797 9838,https://mbehk.com/,taikoo@mbehk.com,4.9,17 reviews,"Unit 9, 9/Floor, Wah Shing Centre, 11 Shing Yip St, Kwun Tong, Hong Kong",92,🔥 High Priority,New,No,2026-07-15 18:05:00,"Subject: Elevate Your Brand in Hong Kong with Out-of-Home Advertising

Dear Mail Boxes Etc. Team,

I've been impressed by the exceptional service Mail Boxes Etc. has been providing to its customers, reflected in your outstanding 4.9-star rating on your website. As a representative from lightfantastic.tv, I'd like to introduce our innovative out-of-home advertising solution that can help take your brand to the next level.

Our digital signage network, lightfantastic.tv, offers an unparalleled opportunity to reach a vast audience in Hong Kong. By partnering with us, you can reserve all four windows for a fixed price of HK$400,000, allowing you to save against booking each window on its own. This strategic approach enables you to maintain consistency and reinforce your brand's message across the city.

Our platform is designed to help businesses like Mail Boxes Etc. increase brand visibility, drive customer engagement, and ultimately drive sales. By leveraging our network, you can:

- Reach a highly engaged audience in prime locations across Hong Kong
- Enjoy flexible ad scheduling and easy content management
- Optimize your ad campaigns with real-time analytics and insights

To make our offer even more compelling, we're excited to announce our Singles' Day promotion, available from November 5th to 11th, 2026. For a limited time, you can book a window for just HK$120,000 – a perfect opportunity to amplify your brand's presence during this busy shopping",
