No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email
1,Hilton Garden Inn Hong Kong Mongkok,+852 2201 3688,https://www.hilton.com/en/hotels/hkgmsgi-hilton-garden-inn-hong-kong-mongkok/?SEO_id=GMB-APAC-GI-HKGMSGI,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.1,2061 reviews,"2 Soy St, Mong Kok, Hong Kong",80,🔥 High Priority,New,No,2026-07-04 18:39:28,"Subject: Grow Your Business with lightfantastic.tv

Dear Hilton Garden Inn Hong Kong Mongkok Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hilton Garden Inn Hong Kong Mongkok grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
2,The Harbourview,+852 2802 0111,https://www.theharbourview.com.hk/,Error: Error code: 401 - {'error': {'message': 'Invalid A,3.8,2275 reviews,"2/F, The Harbourview, 4 Harbour Rd, Wan Chai, Hong Kong",75,🔥 High Priority,New,No,2026-07-04 18:39:28,"Subject: Grow Your Business with lightfantastic.tv

Dear The Harbourview Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The Harbourview grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
3,The Kowloon Hotel,+852 2929 2888,https://www.harbour-plaza.com/kowloonhotel/en/?cid=list-KLNH-google-mybiz-en,Error: Error code: 401 - {'error': {'message': 'Invalid A,3.9,4738 reviews,"19-21 Nathan Rd, Tsim Sha Tsui, Hong Kong",75,🔥 High Priority,New,No,2026-07-04 18:39:28,"Subject: Grow Your Business with lightfantastic.tv

Dear The Kowloon Hotel Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The Kowloon Hotel grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
4,Regal Hongkong Hotel,+852 2890 6633,https://www.regalhotel.com/regal-hongkong-hotel/en/home/home.html,Error: Error code: 401 - {'error': {'message': 'Invalid A,3.9,4409 reviews,"88 Yee Wo St, Causeway Bay, Hong Kong",75,🔥 High Priority,New,No,2026-07-04 18:39:28,"Subject: Grow Your Business with lightfantastic.tv

Dear Regal Hongkong Hotel Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Regal Hongkong Hotel grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
5,Ramada Hong Kong Harbour View,+852 2599 9888,http://www.ramadahongkongharbourview.com/,Error: Error code: 401 - {'error': {'message': 'Invalid A,3.4,3685 reviews,"239 Queen's Rd W, Sai Ying Pun, Hong Kong",70,🔥 High Priority,New,No,2026-07-04 18:39:28,"Subject: Grow Your Business with lightfantastic.tv

Dear Ramada Hong Kong Harbour View Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Ramada Hong Kong Harbour View grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
6,Harbour Grand Hong Kong,+852 2121 2688,https://www.harbourgrand.com/hongkong/en/?cid=list-HGHK-google-mybiz-en,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.1,5169 reviews,"23 Oil St, North Point, Hong Kong",80,🔥 High Priority,New,No,2026-07-04 18:39:28,"Subject: Grow Your Business with lightfantastic.tv

Dear Harbour Grand Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Harbour Grand Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
7,Hyatt Centric Victoria Harbour Hong Kong,+852 3762 1234,https://www.hyatt.com/hyatt-centric/en-US/hkgct-hyatt-centric-victoria-harbour-hong-kong?src=corp_lclb_google_seo_hkgct&utm_source=google&utm_medium=organic&utm_campaign=lmr,Website Unreachable,4.2,3428 reviews,"1 North Point Estate Ln, North Point, Hong Kong",80,🔥 High Priority,New,No,2026-07-04 18:39:28,"Subject: Grow Your Business with lightfantastic.tv

Dear Hyatt Centric Victoria Harbour Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hyatt Centric Victoria Harbour Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
8,Marco Polo Hongkong Hotel,+852 2113 0088,https://www.marcopolohotels.com/en/marco-polo-hongkong-hotel,hongkong@marcopolohotels.com,4.1,3104 reviews,"Harbour City, 3 Canton Rd, Tsim Sha Tsui, Hong Kong",95,🔥 High Priority,New,No,2026-07-04 18:39:28,"Subject: Grow Your Business with lightfantastic.tv

Dear Marco Polo Hongkong Hotel Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Marco Polo Hongkong Hotel grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
9,Royal View Hotel,+852 3716 2888,http://www.royalview.com.hk/,Error: Error code: 401 - {'error': {'message': 'Invalid A,3.8,2048 reviews,"二樓, Royal View Hotel, 353 Castle Peak Rd - Ting Kau, Ting Kau, Hong Kong",75,🔥 High Priority,New,No,2026-07-04 18:39:28,"Subject: Grow Your Business with lightfantastic.tv

Dear Royal View Hotel Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Royal View Hotel grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
10,東涌福朋喜來登酒店,+852 2352 8000,https://www.marriott.com/en-us/hotels/hkgfp-four-points-hong-kong-tung-chung/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.5,827 reviews,"Hong Kong, Lantau Island, 大屿山东涌怡东路9号 Tung Chung, Lantau Island",85,🔥 High Priority,New,No,2026-07-04 18:39:28,"Subject: Grow Your Business with lightfantastic.tv

Dear 東涌福朋喜來登酒店 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 東涌福朋喜來登酒店 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
