No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email
1,THE MAKEUP ROOM,+852 5547 0712,http://www.themakeuproom.com.hk/,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.9,64 reviews,"Unit 2501, 25/F, Bayfield Building, 99 Hennessy Rd, Wan Chai, Hong Kong",82,🔥 High Priority,New,No,2026-07-04 18:48:12,"Subject: Grow Your Business with lightfantastic.tv

Dear THE MAKEUP ROOM Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help THE MAKEUP ROOM grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
2,Kalamakeup,No Phone Number,http://www.kalamakeup.com/,5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com,4.9,292 reviews,"101, Ivy House, 18-20 Wyndham St, Central, Hong Kong",90,🔥 High Priority,New,No,2026-07-04 18:48:12,"Subject: Grow Your Business with lightfantastic.tv

Dear Kalamakeup Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Kalamakeup grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
3,Leticia Bishop Makeup Artist,+852 6415 2516,http://www.leticiabishop.com/,leticiajanebeauty@gmail.com,5,27 reviews,"Winly Building, 1-5 Elgin St, Central, Hong Kong",94,🔥 High Priority,New,No,2026-07-04 18:48:12,"Subject: Grow Your Business with lightfantastic.tv

Dear Leticia Bishop Makeup Artist Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Leticia Bishop Makeup Artist grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
4,Mermakeupbeauty,+852 5612 4508,http://wa.me/85256124508,Error: Error code: 401 - {'error': {'message': 'Invalid A,5,72 reviews,"Hong Kong, Tsim Sha Tsui, Chatham Rd S, 87-105號, 84, Beverley Commercial Centre, 2樓",82,🔥 High Priority,New,No,2026-07-04 18:48:12,"Subject: Grow Your Business with lightfantastic.tv

Dear Mermakeupbeauty Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Mermakeupbeauty grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
5,Lush Cosmetics Mong Kok Sai Yeung Choi Street South,+852 2391 0600,https://www.lush.com/hk/en?y_source=1_MjU4ODMyNzgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,customercare@lush.com.hk,4.9,2009 reviews,"66 Sai Yeung Choi St S, Mong Kok, Hong Kong",100,🔥 High Priority,New,No,2026-07-04 18:48:12,"Subject: Grow Your Business with lightfantastic.tv

Dear Lush Cosmetics Mong Kok Sai Yeung Choi Street South Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Lush Cosmetics Mong Kok Sai Yeung Choi Street South grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
6,Lush Cosmetics Causeway Bay Great George Street,+852 2153 9680,https://www.lush.com/hk/en?y_source=1_MjU4ODMyNzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,customercare@lush.com.hk,4.9,639 reviews,"G/F & M/F, Hong Kong Mansion, 2-10 Great George Street Shop Q, Causeway Bay, Hong Kong",100,🔥 High Priority,New,No,2026-07-04 18:48:12,"Subject: Grow Your Business with lightfantastic.tv

Dear Lush Cosmetics Causeway Bay Great George Street Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Lush Cosmetics Causeway Bay Great George Street grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
7,FENTY BEAUTY HONG KONG TIMES SQUARE,+852 5728 0212,https://fentybeauty.com/en-hk,customerservice@fentybeauty.com,5,82 reviews,"Shop B207A, Time Square, 1 Matheson St, Causeway Bay, Hong Kong",97,🔥 High Priority,New,No,2026-07-04 18:48:12,"Subject: Grow Your Business with lightfantastic.tv

Dear FENTY BEAUTY HONG KONG TIMES SQUARE Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help FENTY BEAUTY HONG KONG TIMES SQUARE grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
8,Lush Cosmetics Harbour City LCX,+852 3791 2131,https://www.lush.com/hk/en?y_source=1_MjU4ODMyNzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,customercare@lush.com.hk,5,1790 reviews,"Shop 35A, LCX, 3/F, Harbour City, Canton Rd, Tsim Sha Tsui, Hong Kong",100,🔥 High Priority,New,No,2026-07-04 18:48:12,"Subject: Grow Your Business with lightfantastic.tv

Dear Lush Cosmetics Harbour City LCX Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Lush Cosmetics Harbour City LCX grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
9,Yoyo Yip Make Up,No Phone Number,http://www.yoyoyip-makeup.com/,user@domain.com,5,45 reviews,"12/F, Wah Hen Commercial Centre, 383 Hennessy Rd, Causeway Bay, Hong Kong",84,🔥 High Priority,New,No,2026-07-04 18:48:12,"Subject: Grow Your Business with lightfantastic.tv

Dear Yoyo Yip Make Up Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Yoyo Yip Make Up grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
10,Ivy Makeup HK 新娘化妝 (Commercial and Bridal Makeup Service),+852 9384 7277,https://www.facebook.com/ivymakeuphk/,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.6,11 reviews,"7A 60室, 12號 Hing Yip St, Kwun Tong, Hong Kong",77,🔥 High Priority,New,No,2026-07-04 18:48:12,"Subject: Grow Your Business with lightfantastic.tv

Dear Ivy Makeup HK 新娘化妝 (Commercial and Bridal Makeup Service) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Ivy Makeup HK 新娘化妝 (Commercial and Bridal Makeup Service) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
