No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email
1,LE LABO Hong Kong Gough St. Store,+852 2520 0648,No Website,No Website,4.8,127 reviews,"26 Gough St, Central, Hong Kong",65,⭐ Medium Priority,New,No,2026-07-04 18:44:22,"Subject: Grow Your Business with lightfantastic.tv

Dear LE LABO Hong Kong Gough St. Store Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help LE LABO Hong Kong Gough St. Store grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
2,Scented Niche,+852 2608 2206,http://www.scentedniche.com/,abuse@company.site,4.9,37 reviews,"地下28號店, 華登大廈, Great George St, Causeway Bay, Hong Kong",94,🔥 High Priority,New,No,2026-07-04 18:44:22,"Subject: Grow Your Business with lightfantastic.tv

Dear Scented Niche Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Scented Niche grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
3,Top Accessories Perfume,+852 9180 6182,https://www.top-hongkong.com/,aec31088a6fb4f6eafac028a91e1cf21@o769852.ingest.sentry.io,5,1524 reviews,"Hong Kong, Tsim Sha Tsui, Mody Rd, 地鐵N5出口, 地下32號舖",100,🔥 High Priority,New,No,2026-07-04 18:44:22,"Subject: Grow Your Business with lightfantastic.tv

Dear Top Accessories Perfume Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Top Accessories Perfume grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
4,PERFUME STATION,+852 6904 2277,http://www.perfumestationhk.com/,tam@perfumestationhk.com,4.4,57 reviews,"Beverley Commercial Centre, Shop 45, G/f, 87-105 Chatham Rd S, Tsim Sha Tsui, Hong Kong",92,🔥 High Priority,New,No,2026-07-04 18:44:22,"Subject: Grow Your Business with lightfantastic.tv

Dear PERFUME STATION Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help PERFUME STATION grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
5,PHEROMONE SHOP APS香港費洛蒙專門店,+852 6895 6813,https://www.ayumipheromoneshop.com/,Error: Error code: 401 - {'error': {'message': 'Invalid A,5,239 reviews,"Hong Kong, Mong Kok, Sai Yeung Choi St S, Ctma Centre",85,🔥 High Priority,New,No,2026-07-04 18:44:22,"Subject: Grow Your Business with lightfantastic.tv

Dear PHEROMONE SHOP APS香港費洛蒙專門店 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help PHEROMONE SHOP APS香港費洛蒙專門店 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
6,Habibi Arabian Perfumes (Causeway Bay) 阿拉伯香水(銅鑼灣),+852 6061 1494,https://habibi-arabian-perfumes.com/,HAMODI_LOGO_1_100x@2x.jpg,4.8,31 reviews,"247舖, 銅鑼灣地帶二樓, Shop 247 2/f, Causeway Place, 2-10, 2-10號 Great George St, Causeway Bay, Hong Kong",94,🔥 High Priority,New,No,2026-07-04 18:44:22,"Subject: Grow Your Business with lightfantastic.tv

Dear Habibi Arabian Perfumes (Causeway Bay) 阿拉伯香水(銅鑼灣) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Habibi Arabian Perfumes (Causeway Bay) 阿拉伯香水(銅鑼灣) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
7,Habibi Arabian Perfumes (Tsim Sha Tsui) 阿拉伯香水(尖沙咀),+852 6061 1494,https://habibi-arabian-perfumes.com/,HAMODI_LOGO_1_100x@2x.jpg,5,14 reviews,"號舖, Shop 46, Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Hong Kong 尖沙咀彌敦道58號美麗都大廈2樓46, Tsim Sha Tsui, Hong Kong",92,🔥 High Priority,New,No,2026-07-04 18:44:22,"Subject: Grow Your Business with lightfantastic.tv

Dear Habibi Arabian Perfumes (Tsim Sha Tsui) 阿拉伯香水(尖沙咀) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Habibi Arabian Perfumes (Tsim Sha Tsui) 阿拉伯香水(尖沙咀) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
8,Scented Niche,+852 2608 2205,http://www.scentedniche.com/,abuse@company.site,4.8,58 reviews,"Hong Kong, Tsim Sha Tsui, Salisbury Rd, level 2 210a",97,🔥 High Priority,New,No,2026-07-04 18:44:22,"Subject: Grow Your Business with lightfantastic.tv

Dear Scented Niche Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Scented Niche grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
9,Le Labo Fragrances,+852 2759 8680,http://lelabofragrances.com/,concierge@lelabofragrances.com,4.4,56 reviews,"Shop 1080, Level 1, International Finance Centre, 1 Harbour View St, Central, Hong Kong",92,🔥 High Priority,New,No,2026-07-04 18:44:22,"Subject: Grow Your Business with lightfantastic.tv

Dear Le Labo Fragrances Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Le Labo Fragrances grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
10,Maison Francis Kurkdjian - Lane Crawford Times Square,+852 9136 4263,https://www.lanecrawford.com/brand4100014/maison-francis-kurkdjian/beauty/,Website Unreachable,5,61 reviews,"F, Store G126, 1 Matheson St, Causeway Bay, Hong Kong",82,🔥 High Priority,New,No,2026-07-04 18:44:22,"Subject: Grow Your Business with lightfantastic.tv

Dear Maison Francis Kurkdjian - Lane Crawford Times Square Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Maison Francis Kurkdjian - Lane Crawford Times Square grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
