No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email
1,city’super (IFC),+852 2736 3866,http://www.citysuper.com.hk/,yourname@email.com,4.2,1711 reviews,"Shop 1041-1049, L1, ifc Mall, 8 Finance St, Central, Hong Kong",95,🔥 High Priority,New,No,2026-07-10 09:47:47,"Subject: Boost Your Brand Visibility in Hong Kong with Lightfantastic.tv

Dear city'super (IFC) Team,

I came across your fantastic store on IFC and was impressed by your 4.2-star rating and sleek online presence. I'm excited to introduce you to Lightfantastic.tv, a cutting-edge out-of-home advertising platform that can take your brand to the next level in Hong Kong.

Our platform offers four stunning windows, strategically located in prime areas, for a mere HK$400,000. By reserving the full peak season, you'll not only secure a prominent spot but also save against booking each window individually.

At Lightfantastic.tv, we understand that businesses like yours need innovative ways to reach their target audience. Our platform provides unparalleled visibility, allowing you to showcase your brand on the streets of Hong Kong. Imagine captivating thousands of potential customers with your unique message and products.

To give your brand an extra boost, we're offering a special promotion for Singles' Day (5-11 Nov 2026): just HK$120,000 per window. This is a limited-time opportunity you won't want to miss.

Ready to elevate your brand's presence in Hong Kong? Simply reply to this email at hello@lightfantastic.tv, and our team will be in touch to discuss how we can help you achieve your goals.

Best regards,

Emily Wong
Sales Representative, Lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on"
2,c!ty’super Harbour City,+852 2375 8222,https://online.citysuper.com.hk/blogs/happenings/store-locator,contact@citysuper.com,4.1,1933 reviews,"3001鋪, Harbour City, Canton Rd, Tsim Sha Tsui, Hong Kong",95,🔥 High Priority,New,No,2026-07-10 09:47:47,"Subject: Amplify Your Brand in the Heart of Hong Kong with lightfantastic.tv

Dear c!ty’super Harbour City Team,

I hope this email finds you well. My name is Emily Wong and I am a sales representative at lightfantastic.tv, the leading out-of-home advertising platform in Hong Kong. We've been following your brand's growth and success, and I'm excited to introduce you to an innovative way to reach your target audience and take your brand to the next level.

At lightfantastic.tv, we provide an unparalleled opportunity to showcase your brand on the streets of Hong Kong, with our stunning digital screens placed across four key locations. By partnering with us, you can reach a vast and engaged audience, boosting brand awareness, driving foot traffic, and ultimately driving sales. Our platform has been successful in helping businesses like yours, such as I.T and Lane Crawford, to amplify their brand presence and connect with their customers.

To make your brand shine this Singles' Day, we're offering an exclusive promotion: from November 5th to 11th, you can reserve our digital windows for HK$120,000 each. This is an unbeatable opportunity to maximize your brand's exposure during one of the busiest shopping periods of the year.

If you're interested in learning more about how lightfantastic.tv can help c!ty’super Harbour City reach new heights, please don't hesitate to reach out to me at hello@lightfantastic.tv. I'd be"
3,Market Place (Langham Place 朗豪坊店),+852 3580 8952,https://www.marketplacehk.com/,marketplacecs@DFIretailgroup.com,3.8,625 reviews,"Shop No 8 B2, Langham Place, 8 Argyle St, Mong Kok, Hong Kong",90,🔥 High Priority,New,No,2026-07-10 09:47:47,"Subject: Elevate Your Brand in Hong Kong's Vibrant Streets

Dear Market Place 朗豪坊店 Team,

I hope this email finds you well. As a sales representative from lightfantastic.tv, I've been exploring the city's retail scene and noticed that Market Place at Langham Place has been consistently delivering excellent shopping experiences to its customers. With a rating of 3.8, you've clearly established a strong presence in the heart of Hong Kong.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Our innovative LED display solutions allow you to connect with your target audience in a dynamic, attention-grabbing way. By partnering with us, you can enhance your brand's visibility, drive foot traffic, and ultimately, boost sales.

By reserving a window with lightfantastic.tv, you can secure a prime spot in the city's busiest areas and reach an engaged audience of over a million people daily. This season, we're offering an exclusive promotion for Singles' Day, from November 5th to 11th, with a special rate of HK$120,000 per window. Don't miss this opportunity to amplify your brand's presence in the city.

If you're interested in learning more about how lightfantastic.tv can help you elevate your brand, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss your requirements and tailor a solution"
4,Great Food Hall,+852 2918 9986,http://www.greatfoodhall.com/,Email Not Found,4.1,894 reviews,"Unit 009 Level LG1, The Mall Pacific Place II, Admiralty, Hong Kong",80,🔥 High Priority,New,No,2026-07-10 09:47:47,"Subject: Elevate Your Brand on the Streets of Hong Kong

Dear Great Food Hall Team,

I came across your exceptional food hall on http://www.greatfoodhall.com/ and noticed your impressive 4.1-star rating. As a local business owner, you understand the importance of connecting with your community and showcasing your brand in the most impactful way possible.

At lightfantastic.tv, we specialize in out-of-home advertising that helps businesses like yours reach a wider audience and build brand awareness. Our cutting-edge digital screens are strategically placed throughout Hong Kong, allowing you to put your brand on the streets where it matters most.

Imagine reserving our screens for the peak season and saving against booking each window individually. Our special offer for Singles' Day from November 5th to 11th makes it an ideal time to amplify your brand's presence. For just HK$120,000 per window, you can take your marketing efforts to the next level and engage with potential customers in a unique and memorable way.

To learn more about this limited-time opportunity, I invite you to reply to this email at hello@lightfantastic.tv. Our team would be delighted to discuss how lightfantastic.tv can help Great Food Hall achieve its marketing goals.

Best regards,

Emily Wong
Business Development Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong."
5,Oliver's the Delicatessen,+852 2810 7710,http://www.oliversthedeli.com.hk/,email@domain.com,4.3,215 reviews,"Shop no 322-328, 3/F, Landmark Prince's, 10 Chater Rd, Central, Hong Kong",95,🔥 High Priority,New,No,2026-07-10 09:47:47,"Subject: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear Oliver's the Delicatessen Team,

As a business owner who values high-quality food and exceptional customer experience, I'm sure you understand the importance of standing out in the crowded Hong Kong market. That's where lightfantastic.tv comes in – a cutting-edge out-of-home advertising platform that helps brands like yours grab attention and drive engagement.

Our innovative solution allows you to reserve four prime windows in key locations across Hong Kong for an unbeatable price of HK$400,000. This not only secures your peak season bookings but also provides a significant cost savings compared to booking individual windows.

To make it even more appealing, we're excited to announce a special offer for Singles' Day (November 5-11, 2026): book any window for just HK$120,000. This is a rare opportunity to elevate your brand's visibility at a fraction of the usual cost.

If you're interested in learning more about how lightfantastic.tv can help take Oliver's the Delicatessen to the next level, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be delighted to discuss a customized solution tailored to your business needs.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong."
6,Wellcome (Kimberley Road),+852 3105 2457,https://www.wellcome.com.hk/,onlineshop@wellcome.com.hk,4.0,486 reviews,"53-54 Kimberley Rd, Tsim Sha Tsui, Hong Kong",95,🔥 High Priority,New,No,2026-07-10 09:47:47,"Subject Line: Elevate Your Brand in Hong Kong's Bustling Streets

Dear Wellcome (Kimberley Road) Team,

I came across your store and noticed your excellent 4-star rating on Wellcome's website. As a business owner in a highly competitive market like Hong Kong, you're likely always looking for ways to reach your target audience more effectively.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand directly in front of the people who matter most. Our unique digital screens are strategically placed throughout the city, giving you unparalleled visibility and a chance to connect with customers in a way that feels personal and impactful.

By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately boost sales. And right now, we're offering a special deal for our valued partners. From November 5th to 11th, join our Singles' Day promotion and take advantage of our exclusive rate of HK$120,000 per window. This is an unbeatable opportunity to make a lasting impression on the streets of Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help your business thrive, I'd love to set up a call to discuss the details. Simply reply to this email or reach out to us at hello@lightfantastic.tv.

Looking forward to hearing from you.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets"
7,YATA Supermarket (Mong Kok),+852 2192 2388,https://www.yata.hk/tch/store/mong-kok/,Email Not Found,3.8,1903 reviews,"Hong Kong, Mong Kok, Prince Edward Rd W, 193號, 旺角新世紀廣場 5樓",75,🔥 High Priority,New,No,2026-07-10 09:47:47,"Subject: Maximize Your Reach in Mong Kok with Lightfantastic.tv

Dear YATA Supermarket (Mong Kok) Team,

I came across your store and was impressed by the excellent service you provide to your customers. As a fellow business owner in the Mong Kok area, I'd like to introduce you to lightfantastic.tv, a cutting-edge out-of-home advertising platform that can help amplify your brand's visibility.

Our platform offers a unique opportunity to connect with the local community through engaging, high-impact advertisements displayed on four strategic locations across Hong Kong. By reserving our full peak season, you can not only secure your brand's presence on the streets of Hong Kong but also enjoy significant savings compared to booking individual windows.

To celebrate Singles' Day, we're offering a limited-time promotion from November 5th to 11th, 2026. For just HK$120,000 per window, you can elevate your brand's reach and engage with a vast audience.

If you're interested in learning more about how lightfantastic.tv can help YATA Supermarket (Mong Kok) increase its brand awareness, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Looking forward to hearing from you.

Best regards,

Emily Wong
Sales Representative
Lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong."
8,Shop Easy Superstore,+852 2488 8402,https://shopeasyss.com/,Email Not Found,3.9,183 reviews,"Golden Crown Court, 66-70 Nathan Rd, Tsim Sha Tsui, Hong Kong",75,🔥 High Priority,New,No,2026-07-10 09:47:47,"Subject Line: Elevate Your Brand in Hong Kong's Bustling Streets

Dear Shop Easy Superstore Team,

I came across your store on https://shopeasyss.com/ and noticed your 3.9-star rating, which is a testament to your commitment to customer satisfaction. As a local business, you understand the importance of getting your brand noticed in the competitive Hong Kong market.

Lightfantastic.tv offers an innovative out-of-home advertising solution that lets you put your brand on the streets of Hong Kong. By partnering with us, you can reserve our iconic digital windows for the peak season and save on individual bookings. This means you can reach a wider audience and create a lasting impression in the city's vibrant streets.

To help you make the most of the upcoming Singles' Day, we're offering a special promotion from November 5th to 11th: HK$120,000 per window. This is a fantastic opportunity to boost your brand's visibility and attract new customers.

If you're interested in learning more about how lightfantastic.tv can help your business grow, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss your marketing goals and create a customized solution that suits your needs.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong."
9,3hreesixty Elements Store,+852 2196 8066,https://www.3hreesixtyhk.com/,Website Unreachable,4.0,799 reviews,"Shop 1090, 1, Elements, 1/F Austin Rd W, Tsim Sha Tsui, Hong Kong",80,🔥 High Priority,New,No,2026-07-10 09:47:47,"Subject: Elevate Your Brand in Hong Kong with Lightfantastic.tv

Dear 3hreesixty Elements Store Team,

I've been following your store's exciting developments at https://www.3hreesixtyhk.com/, and I must say, your 4-star rating is a testament to your commitment to quality. As a sales representative for lightfantastic.tv, I'd like to introduce you to a unique out-of-home advertising opportunity that can further amplify your brand's presence in Hong Kong.

Our digital billboard network offers unparalleled visibility, with our high-definition screens strategically placed in prime locations across the city. By partnering with us, you can effectively reach and engage with your target audience, increasing brand awareness and driving foot traffic to your store.

To make your advertising journey even more rewarding, we're offering an exclusive promotion for Singles' Day (5-11 Nov 2026). For just HK$120,000 per window, you can reserve our screens for a full week, ensuring maximum impact during one of the busiest shopping periods of the year.

Don't miss this chance to elevate your brand in Hong Kong. If you're interested in learning more about our services and special offer, please reply to this email at hello@lightfantastic.tv or give me a call to discuss further.

Best regards,
Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong"
10,International (Hilton Place),+852 2724 5675,https://www.pns.hk/,Email Not Found,3.8,195 reviews,"地下B號舖 Shop B on G/F, 九龍尖沙咀加連威老道96號, 96 Granville Rd, Tsim Sha Tsui, Hong Kong",75,🔥 High Priority,New,No,2026-07-10 09:47:47,"Subject: Unlock the Power of Outdoor Advertising in Hong Kong with lightfantastic.tv

Dear International (Hilton Place) Team,

I hope this email finds you well. My name is Emily Wong, and I'm a sales representative from lightfantastic.tv, Hong Kong's leading out-of-home advertising platform. As a valued member of the Hong Kong business community, I wanted to reach out to you with an exclusive opportunity to elevate your brand's visibility and reach a wider audience.

At lightfantastic.tv, we provide a unique solution for businesses like yours to connect with potential customers through our network of premium digital screens located in high-traffic areas throughout Hong Kong. Our platform offers:

- Reserve the full peak season and save against booking each window on its own
- Take all four windows for HK$400,000
- Flexible advertising options to suit your budget and campaign goals

As a well-established company with a 3.8 rating, International (Hilton Place) has a strong reputation in Hong Kong. With our help, you can further amplify your brand's presence and drive engagement with your target audience.

To celebrate Singles' Day, we're offering an exclusive promotion from November 5th to 11th, 2026. You can book one of our premium windows for HK$120,000, a significant discount from our regular rates.

If you're interested in learning more about how lightfantastic.tv can help your business thrive, please don't hesitate to reach out to"
